Unnamed: 0,CIN,WAS
First Downs,18,20
Rush-Yds-TDs,18-70-0,34-164-1
Cmp-Att-Yd-TD-INT,25-44-233-1-1,17-25-166-1-1
Sacked-Yards,4-31,2-5
Net Pass Yards,202,161
Total Yards,272,325
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,3-31,6-49
Third Down Conv.,3-13,4-13
Fourth Down Conv.,0-2,0-0
Time of Possession,29:14,30:46
