Unnamed: 0,CLE,BAL
First Downs,20,23
Rush-Yds-TDs,27-138-0,30-111-2
Cmp-Att-Yd-TD-INT,21-39-189-1-1,21-26-284-3-0
Sacked-Yards,2-21,2-14
Net Pass Yards,168,270
Total Yards,306,381
Fumbles-Lost,3-2,2-1
Turnovers,3,1
Penalties-Yards,8-80,7-66
Third Down Conv.,3-12,6-11
Fourth Down Conv.,0-3,0-0
Time of Possession,30:02,29:58
