Quarter,Time,Tm,Detail,CLE,BAL
1.0,7:41,Ravens,Mark Andrews 5 yard pass from Lamar Jackson (Justin Tucker kick),0,7
,4:38,Ravens,Justin Tucker 41 yard field goal,0,10
,1:41,Browns,David Njoku 1 yard pass from Baker Mayfield (Austin Seibert kick failed),6,10
2.0,2:53,Ravens,J.K. Dobbins 3 yard rush (Justin Tucker kick),6,17
,0:06,Ravens,Mark Andrews 9 yard pass from Lamar Jackson (Justin Tucker kick),6,24
3.0,7:48,Ravens,Willie Snead 19 yard pass from Lamar Jackson (Justin Tucker kick),6,31
4.0,13:00,Ravens,J.K. Dobbins 2 yard rush (Justin Tucker kick),6,38
