Quarter,Time,Tm,Detail,PIT,SDG
1.0,0:35,Steelers,Willie Parker 9 yard rush (Jeff Reed kick),7,0
2.0,4:55,Steelers,Jeff Reed 39 yard field goal,10,0
,1:11,Chargers,Malcom Floyd 9 yard pass from Philip Rivers (Nate Kaeding kick),10,7
,0:09,Steelers,Jeff Reed 44 yard field goal,13,7
3.0,11:30,Chargers,Nate Kaeding 28 yard field goal,13,10
,5:21,Chargers,Antonio Gates 22 yard pass from Philip Rivers (Nate Kaeding kick),13,17
4.0,8:59,Chargers,Nate Kaeding 33 yard field goal,13,20
,1:05,Chargers,Nate Kaeding 22 yard field goal,13,23
