Unnamed: 0,PIT,SDG
First Downs,16,22
Rush-Yds-TDs,18-68-1,31-119-0
Cmp-Att-Yd-TD-INT,20-31-220-0-2,24-37-242-2-1
Sacked-Yards,5-23,4-20
Net Pass Yards,197,222
Total Yards,265,341
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,4-30,2-10
Third Down Conv.,3-9,9-16
Fourth Down Conv.,0-2,0-0
Time of Possession,26:08,33:52
