Quarter,Time,Down,ToGo,Location,PIT,SDG,Detail,EPB,EPA
1,8:59,3,5,SDG 49,0,0,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Ike Taylor),1.290,-0.130
1,8:53,4,5,SDG 49,0,0,Mike Scifres punts 36 yards,-0.130,0.220
1,8:45,1,10,PIT 15,0,0,Willie Parker right tackle for 3 yards (tackle by Donnie Edwards and Igor Olshansky),-0.220,-0.280
1,8:08,2,7,PIT 18,0,0,Willie Parker middle for -1 yards (tackle by Jamal Williams),-0.280,-1.120
1,7:30,3,8,PIT 17,0,0,Ben Roethlisberger pass complete short right to Nate Washington for 13 yards (tackle by Quentin Jammer),-1.120,0.940
1,6:50,,,,0,0,Timeout #1 by Pittsburgh Steelers,0.000,0.940
1,6:50,1,10,PIT 30,0,0,Ben Roethlisberger pass incomplete short middle intended for Heath Miller,0.940,0.390
1,6:44,2,10,PIT 30,0,0,Ben Roethlisberger pass complete short right to Willie Parker for 15 yards (tackle by Terrence Kiel). Penalty on Shawne Merriman: Illegal Contact (Declined),0.390,1.930
1,6:22,1,10,PIT 45,0,0,"Penalty on Marvel Smith: False Start, 5 yards (no play)",1.930,1.600
1,6:06,1,15,PIT 40,0,0,Willie Parker left tackle for 2 yards (tackle by Jamal Williams and Luis Castillo),1.600,0.980
1,5:24,2,13,PIT 42,0,0,Ben Roethlisberger pass incomplete deep left intended for Nate Washington (defended by Antonio Cromartie),0.980,0.300
1,5:18,3,13,PIT 42,0,0,Ben Roethlisberger pass complete short right to Heath Miller for 7 yards (tackle by Quentin Jammer and Marlon McCree),0.300,-0.130
1,4:27,4,6,PIT 49,0,0,"Chris Gardocki punts 51 yards, touchback",-0.130,-0.280
1,4:25,1,10,SDG 20,0,0,Philip Rivers pass complete short right to Keenan McCardell for 4 yards (tackle by Ike Taylor),0.280,0.270
1,3:50,2,6,SDG 24,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates,0.270,-0.430
1,3:46,3,6,SDG 24,0,0,Philip Rivers sacked by Tyrone Carter for -7 yards,-0.430,-2.320
1,3:15,4,13,SDG 17,0,0,"Mike Scifres punts 55 yards, returned by Willie Reid for 11 yards (tackle by David Binn)",-2.320,-1.530
1,3:03,1,10,PIT 39,0,0,Najeh Davenport left end for 1 yard (tackle by Shawne Merriman and Randall Godfrey),1.530,1.120
1,2:24,2,9,PIT 40,0,0,Ben Roethlisberger pass complete short left to Najeh Davenport for 32 yards (tackle by Terrence Kiel),1.120,3.710
1,1:54,1,10,SDG 28,0,0,Willie Parker right end for 4 yards (tackle by Quentin Jammer),3.710,3.710
1,1:16,2,6,SDG 24,0,0,Willie Parker middle for 15 yards (tackle by Terrence Kiel),3.710,5.140
1,0:42,1,9,SDG 9,6,0,"Willie Parker left end for 9 yards, touchdown",5.140,7.000
1,0:42,,,SDG 2,7,0,Jeff Reed kicks extra point good,0.000,0.000
1,0:35,,,PIT 30,7,0,"Jeff Reed kicks off 63 yards, returned by Michael Turner for 15 yards (tackle by Anthony Smith)",0.000,0.410
1,0:31,1,10,SDG 22,7,0,LaDainian Tomlinson middle for no gain (tackle by Brett Keisel),0.410,-0.130
Quarter,Time,Down,ToGo,Location,PIT,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,SDG 22,7,0,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Clark Haggans),-0.130,-0.820
2,14:55,3,10,SDG 22,7,0,Philip Rivers pass complete short middle to Eric Parker for 13 yards (tackle by Ryan Clark),-0.820,1.270
2,14:20,1,10,SDG 35,7,0,LaDainian Tomlinson left tackle for no gain (tackle by Ryan Clark),1.270,0.720
2,13:41,2,10,SDG 35,7,0,Philip Rivers pass complete deep middle to Eric Parker for 16 yards (tackle by Ryan Clark),0.720,2.320
2,13:01,1,10,PIT 49,7,0,LaDainian Tomlinson left end for -5 yards (tackle by Joey Porter),2.320,1.110
2,12:16,2,15,SDG 46,7,0,Philip Rivers sacked by Clark Haggans for -4 yards,1.110,-0.100
2,11:36,3,19,SDG 42,7,0,Philip Rivers pass incomplete deep right intended for Eric Parker,-0.100,-0.590
2,11:30,4,19,SDG 42,7,0,"Mike Scifres punts 43 yards, returned by Santonio Holmes for 1 yard (tackle by Matt Wilhelm)",-0.590,0.140
2,11:19,1,10,PIT 16,7,0,Ben Roethlisberger sacked by Derreck Robinson and Shawne Merriman for -8 yards,-0.140,-1.360
2,10:37,2,18,PIT 8,7,0,Ben Roethlisberger pass complete short left to Willie Parker for 10 yards (tackle by Shaun Phillips),-1.360,-1.070
2,9:54,3,8,PIT 18,7,0,Ben Roethlisberger pass complete short right to Santonio Holmes for 13 yards (tackle by Quentin Jammer),-1.070,1.000
2,9:17,1,10,PIT 31,7,0,Willie Parker middle for -1 yards (tackle by Shaun Phillips),1.000,0.320
2,8:35,2,11,PIT 30,7,0,Ben Roethlisberger pass complete short left to Hines Ward for 12 yards (tackle by Drayton Florence),0.320,1.730
2,7:53,1,10,PIT 42,7,0,Ben Roethlisberger pass complete short middle to Heath Miller for 15 yards (tackle by Marlon McCree),1.730,2.720
2,7:08,1,10,SDG 43,7,0,Willie Parker left end for 14 yards (tackle by Drayton Florence),2.720,3.640
2,6:34,1,10,SDG 29,7,0,Ben Roethlisberger pass incomplete,3.640,3.100
2,6:29,2,10,SDG 29,7,0,Ben Roethlisberger pass complete short right to Hines Ward for 9 yards (tackle by Stephen Cooper and Marlon McCree),3.100,3.600
2,5:46,3,1,SDG 20,7,0,Najeh Davenport right tackle for -1 yards (tackle by Shaun Phillips and Igor Olshansky),3.600,2.180
2,5:00,4,2,SDG 21,10,0,Jeff Reed 39 yard field goal good,2.180,3.000
2,4:55,,,PIT 30,10,0,"Jeff Reed kicks off 77 yards, touchback",0.000,0.280
2,4:55,1,10,SDG 20,10,0,Philip Rivers pass incomplete deep left intended for Keenan McCardell,0.280,-0.270
2,4:49,2,10,SDG 20,10,0,LaDainian Tomlinson middle for 5 yards (tackle by Clark Haggans),-0.270,-0.300
2,4:06,3,5,SDG 25,10,0,Philip Rivers pass complete short middle to Keenan McCardell for 10 yards (tackle by Ike Taylor and Ryan Clark),-0.300,1.270
2,3:35,1,10,SDG 35,10,0,LaDainian Tomlinson right end for 1 yard (tackle by Aaron Smith),1.270,0.860
2,2:55,2,9,SDG 36,10,0,Philip Rivers pass complete short right to Eric Parker for 16 yards (tackle by Ike Taylor),0.860,2.390
2,2:15,1,10,PIT 48,10,0,"Penalty on Shane Olivea: False Start, 5 yards (no play)",2.390,2.060
2,2:00,1,15,SDG 47,10,0,Philip Rivers pass complete short right to LaDainian Tomlinson for 2 yards (tackle by Ryan Clark),2.060,1.440
2,1:54,2,13,SDG 49,10,0,Philip Rivers pass complete short left to Vincent Jackson for 13 yards (tackle by Bryant McFadden),1.440,3.050
2,1:48,1,10,PIT 38,10,0,Philip Rivers pass incomplete short middle intended for LaDainian Tomlinson,3.050,2.510
2,1:40,2,10,PIT 38,10,0,Philip Rivers pass complete short right to Lorenzo Neal for -1 yards (tackle by Deshea Townsend),2.510,1.680
2,1:31,,,,10,0,Timeout #1 by San Diego Chargers,0.000,1.680
2,1:31,3,11,PIT 39,10,0,Philip Rivers pass complete deep middle to Antonio Gates for 22 yards (tackle by Troy Polamalu). Penalty on Ike Taylor: Illegal Contact (Declined),1.680,4.440
2,1:27,1,10,PIT 17,10,0,LaDainian Tomlinson middle for 8 yards (tackle by Ryan Clark),4.440,5.290
2,1:21,,,,10,0,Timeout #2 by San Diego Chargers,0.000,5.290
2,1:21,2,2,PIT 9,10,0,Philip Rivers pass incomplete short right intended for Antonio Gates,5.290,4.570
2,1:16,3,2,PIT 9,10,6,"Philip Rivers pass complete short left to Malcom Floyd for 9 yards, touchdown",4.570,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:16,,,PIT 2,10,7,Nate Kaeding kicks extra point good,0.000,0.000
2,1:11,,,SDG 30,10,7,"Nate Kaeding kicks off 69 yards, returned by Willie Reid for 19 yards (tackle by Tim Dobbins)",0.000,0.280
2,1:06,1,10,PIT 20,10,7,Verron Haynes middle for 13 yards (tackle by Donnie Edwards),0.280,1.140
2,0:46,1,10,PIT 33,10,7,Ben Roethlisberger pass complete short left to Nate Washington for 10 yards (tackle by Drayton Florence),1.140,1.800
2,0:38,,,,10,7,Timeout #2 by Pittsburgh Steelers,0.000,1.800
2,0:38,1,10,PIT 43,10,7,Ben Roethlisberger pass complete short middle to Verron Haynes for 9 yards (tackle by Donnie Edwards),1.800,2.470
2,0:32,,,,10,7,Timeout #3 by Pittsburgh Steelers,0.000,2.470
2,0:32,2,1,SDG 48,10,7,Ben Roethlisberger pass complete deep middle to Nate Washington for 22 yards (tackle by Terrence Kiel),2.470,3.840
2,0:18,1,10,SDG 26,10,7,Ben Roethlisberger spiked the ball,3.840,3.300
2,0:18,2,10,SDG 26,10,7,Ben Roethlisberger pass incomplete short middle intended for Verron Haynes,3.300,2.610
2,0:13,3,10,SDG 26,13,7,Jeff Reed 44 yard field goal good,2.610,3.000
2,0:09,,,PIT 30,13,7,"Jeff Reed kicks off 39 yards, fair catch by Antonio Cromartie",0.000,1.000
2,0:09,1,10,SDG 31,13,7,Philip Rivers kneels for -1 yards,1.000,0.320
Quarter,Time,Down,ToGo,Location,PIT,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,13,7,"Jeff Reed kicks off 63 yards, returned by Michael Turner for 51 yards (tackle by Ike Taylor)",0.000,2.790
3,14:52,1,10,PIT 42,13,7,Philip Rivers pass incomplete deep right intended for Vincent Jackson,2.790,2.240
3,14:46,2,10,PIT 42,13,7,Michael Turner left end for 12 yards (tackle by Clark Haggans),2.240,3.580
3,14:16,1,10,PIT 30,13,7,LaDainian Tomlinson right tackle for 11 yards (tackle by Troy Polamalu and Ryan Clark),3.580,4.310
3,13:38,1,10,PIT 19,13,7,LaDainian Tomlinson right tackle for 1 yard (tackle by Clark Haggans),4.310,3.880
3,12:57,2,9,PIT 18,13,7,Philip Rivers right end for 7 yards (tackle by Clark Haggans),3.880,4.430
3,12:21,3,2,PIT 11,13,7,Philip Rivers middle for 1 yard (tackle by Troy Polamalu),4.430,2.910
3,11:33,4,1,PIT 10,13,10,Nate Kaeding 28 yard field goal good,2.910,3.000
3,11:30,,,SDG 30,13,10,"Nate Kaeding kicks off 70 yards, returned by Santonio Holmes for 27 yards (tackle by Matt Wilhelm)",0.000,0.740
3,11:24,1,10,PIT 27,13,10,Ben Roethlisberger pass complete short right to Santonio Holmes for 9 yards (tackle by Drayton Florence),0.740,1.410
3,10:50,2,1,PIT 36,13,10,Willie Parker left tackle for 2 yards (tackle by Jamal Williams and Donnie Edwards),1.410,1.470
3,10:12,1,10,PIT 38,13,10,Ben Roethlisberger pass incomplete deep middle intended for Santonio Holmes is intercepted by Drayton Florence at SDG-6 and returned for 3 yards,1.470,0.380
,,,,,,,"PIT challenged the ruling, and the original play was overturned.",,
3,10:04,1,10,SDG 9,13,10,LaDainian Tomlinson middle for 1 yard (tackle by Aaron Smith),-0.380,-0.710
3,9:29,2,9,SDG 10,13,10,Philip Rivers pass complete short right to Keenan McCardell for 9 yards (tackle by Ike Taylor),-0.710,0.150
3,8:42,1,10,SDG 19,13,10,Philip Rivers pass incomplete short right intended for Malcom Floyd,0.150,-0.390
3,8:40,2,10,SDG 19,13,10,Philip Rivers pass complete short left to LaDainian Tomlinson for 3 yards (tackle by Deshea Townsend),-0.390,-0.680
3,8:07,3,7,SDG 22,13,10,Philip Rivers pass complete short left to Eric Parker for 16 yards (tackle by Troy Polamalu),-0.680,1.470
3,7:38,1,10,SDG 38,13,10,LaDainian Tomlinson right end for 12 yards (tackle by Ike Taylor),1.470,2.260
3,7:07,1,10,SDG 50,13,10,Philip Rivers pass incomplete short left intended for Eric Parker,2.260,1.710
3,7:03,2,10,SDG 50,13,10,Philip Rivers middle for 3 yards (tackle by James Farrior),1.710,1.420
3,6:17,3,7,PIT 47,13,10,Philip Rivers pass complete to Eric Parker for 25 yards (tackle by Troy Polamalu),1.420,4.110
3,5:32,1,10,PIT 22,13,10,Philip Rivers pass incomplete deep right intended for Malcom Floyd (defended by Ike Taylor),4.110,3.560
3,5:27,2,10,PIT 22,13,16,"Philip Rivers pass complete deep middle to Antonio Gates for 22 yards, touchdown",3.560,7.000
3,5:27,,,PIT 2,13,17,Nate Kaeding kicks extra point good,0.000,0.000
3,5:21,,,SDG 30,13,17,"Nate Kaeding kicks off 74 yards, touchback",0.000,0.280
3,5:21,1,10,PIT 20,13,17,Willie Parker left tackle for 3 yards (tackle by Jamal Williams and Randall Godfrey),0.280,0.140
3,4:42,2,7,PIT 23,13,17,Ben Roethlisberger pass complete short middle to Hines Ward for 24 yards (tackle by Marlon McCree),0.140,2.060
3,4:02,1,10,PIT 47,13,17,Ben Roethlisberger sacked by Igor Olshansky and Luis Castillo for -3 yards,2.060,1.110
3,3:16,2,13,PIT 44,13,17,Ben Roethlisberger sacked by Jamal Williams for -4 yards,1.110,-0.100
3,2:36,3,17,PIT 40,13,17,Ben Roethlisberger pass complete short middle to Verron Haynes for -4 yards (tackle by Jacques Cesaire),-0.100,-0.980
3,1:48,4,21,PIT 36,13,17,"Chris Gardocki punts 40 yards, returned by Eric Parker for -2 yards (tackle by Sean Morey)",-0.980,-0.410
3,1:40,1,10,SDG 22,13,17,Michael Turner left guard for 3 yards (tackle by Larry Foote),0.410,0.270
3,0:59,2,7,SDG 25,13,17,Philip Rivers pass complete short middle to LaDainian Tomlinson for 6 yards (tackle by Joey Porter),0.270,0.370
3,0:22,3,1,SDG 31,13,17,Michael Turner left tackle for 1 yard (tackle by Joey Porter and Deshea Townsend),0.370,1.070
Quarter,Time,Down,ToGo,Location,PIT,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SDG 32,13,17,Philip Rivers pass complete short middle to LaDainian Tomlinson for 19 yards (tackle by Casey Hampton),1.070,2.320
4,14:11,1,10,PIT 49,13,17,Philip Rivers pass complete short left to Malcom Floyd for 9 yards (tackle by Deshea Townsend),2.320,3.000
4,13:31,2,1,PIT 40,13,17,Lorenzo Neal middle for 3 yards (tackle by Larry Foote),3.000,3.120
4,12:50,1,10,PIT 37,13,17,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,3.120,2.570
4,12:45,2,10,PIT 37,13,17,Philip Rivers pass complete short right to Keenan McCardell for 14 yards (tackle by Ryan Clark),2.570,4.040
4,12:03,1,10,PIT 23,13,17,Michael Turner right tackle for 3 yards (tackle by Brett Keisel),4.040,3.900
4,11:24,2,7,PIT 20,13,17,Michael Turner right end for 8 yards (tackle by Ike Taylor and Ryan Clark),3.900,4.780
4,10:42,1,10,PIT 12,13,17,LaDainian Tomlinson middle for 2 yards (tackle by Aaron Smith),4.780,4.450
4,9:59,2,8,PIT 10,13,17,Philip Rivers pass complete short right to LaDainian Tomlinson for 3 yards (tackle by Troy Polamalu),4.450,4.160
4,9:28,3,5,PIT 7,13,17,Philip Rivers sacked by Larry Foote for -8 yards,4.160,2.440
4,9:02,4,13,PIT 15,13,20,Nate Kaeding 33 yard field goal good,2.440,3.000
4,8:59,,,SDG 30,13,20,"Nate Kaeding kicks off 67 yards, returned by Najeh Davenport for 26 yards (tackle by Clinton Hart). Penalty on Sean Morey: Offensive Holding, 10 yards",0.000,0.150
4,8:52,1,10,PIT 19,13,20,Willie Parker right end for -3 yards (tackle by Shawne Merriman),0.150,-0.870
4,8:14,2,13,PIT 16,13,20,Ben Roethlisberger pass complete short right to Willie Parker for 1 yard (tackle by Quentin Jammer). Penalty on Max Starks: Offensive Holding (Declined),-0.870,-1.420
4,7:51,3,12,PIT 17,13,20,"Penalty on Shaun Phillips: Neutral Zone Infraction, 5 yards (no play)",-1.420,-0.680
4,7:37,3,7,PIT 22,13,20,Ben Roethlisberger pass complete short right to Cedrick Wilson for 9 yards (tackle by Quentin Jammer). Penalty on Quentin Jammer: Defensive Holding (Declined),-0.680,1.000
4,7:15,1,10,PIT 31,13,20,Willie Parker middle for 11 yards (tackle by Antonio Cromartie),1.000,1.730
4,6:35,1,10,PIT 42,13,20,Ben Roethlisberger pass complete short right to Hines Ward for 4 yards (tackle by Quentin Jammer),1.730,1.730
4,6:06,2,6,PIT 46,13,20,Ben Roethlisberger pass incomplete short left intended for Cedrick Wilson is intercepted by Marlon McCree at SDG-42,1.730,-1.730
4,5:58,1,10,SDG 42,13,20,Philip Rivers sacked by Brett Keisel for -1 yards,1.730,1.050
4,5:20,2,11,SDG 41,13,20,Michael Turner middle for 2 yards (tackle by Chris Hoke and Joey Porter),1.050,0.630
4,4:36,3,9,SDG 43,13,20,Philip Rivers middle for 15 yards (tackle by James Farrior),0.630,2.790
4,3:46,,,,13,20,Timeout #1 by San Diego Chargers,0.000,2.790
4,3:46,1,10,PIT 42,13,20,Michael Turner middle for -2 yards (tackle by James Farrior),2.790,1.970
4,3:41,,,,13,20,Timeout #1 by Pittsburgh Steelers,0.000,1.970
4,3:41,2,12,PIT 44,13,20,Philip Rivers pass complete short right to Antonio Gates for 11 yards (tackle by Ike Taylor),1.970,2.740
4,3:31,,,,13,20,Timeout #2 by Pittsburgh Steelers,0.000,2.740
4,3:31,3,1,PIT 33,13,20,Michael Turner left tackle for 3 yards (tackle by Joey Porter),2.740,3.580
4,2:47,1,10,PIT 30,13,20,Michael Turner right tackle for 23 yards (tackle by Joey Porter),3.580,5.600
4,2:37,1,7,PIT 7,13,20,Michael Turner middle for 2 yards (tackle by Brett Keisel),5.600,5.150
4,2:00,2,5,PIT 5,13,20,Michael Turner middle for 1 yard (tackle by James Farrior),5.150,4.490
4,1:52,,,,13,20,Timeout #3 by Pittsburgh Steelers,0.000,4.490
4,1:52,3,4,PIT 4,13,20,LaDainian Tomlinson left tackle for no gain (tackle by Joey Porter),4.490,3.030
4,1:07,,,,13,20,Timeout #2 by San Diego Chargers,0.000,3.030
4,1:07,4,4,PIT 4,13,23,Nate Kaeding 22 yard field goal good,3.030,3.000
4,1:05,,,SDG 30,13,23,"Nate Kaeding kicks off 68 yards, returned by Santonio Holmes for 20 yards (tackle by Clinton Hart). Penalty on Arnold Harrison: Offensive Holding, 10 yards",0.000,-0.350
4,1:00,1,10,PIT 12,13,23,Ben Roethlisberger sacked by Luis Castillo for -8 yards,-0.350,-1.360
4,0:37,2,18,PIT 4,13,23,Ben Roethlisberger pass complete short left to Cedrick Wilson for 8 yards (tackle by Antonio Cromartie),-1.360,-1.420
4,0:32,3,10,PIT 12,13,23,"Penalty on Max Starks: False Start, 5 yards (no play)",-1.420,-2.010
4,0:32,3,15,PIT 7,13,23,Ben Roethlisberger pass incomplete short right intended for Nate Washington,-2.010,-2.490
4,0:26,4,15,PIT 7,13,23,Ben Roethlisberger pass incomplete short right intended for Verron Haynes,-2.490,-5.600
4,0:20,1,7,PIT 7,13,23,Philip Rivers kneels for -1 yards,5.600,4.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
