Unnamed: 0,DET,BUF
First Downs,14,20
Rush-Yds-TDs,26-105-1,37-117-1
Cmp-Att-Yd-TD-INT,22-29-208-1-0,13-26-204-1-0
Sacked-Yards,0-0,1-9
Net Pass Yards,208,195
Total Yards,313,312
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,4-81,3-20
Third Down Conv.,5-13,3-12
Fourth Down Conv.,0-0,1-2
Time of Possession,28:54,31:06
