Unnamed: 0,TAM,CLE
First Downs,20,19
Rush-Yds-TDs,26-113-0,27-56-0
Cmp-Att-Yd-TD-INT,17-33-260-2-2,21-34-300-2-2
Sacked-Yards,2-8,4-26
Net Pass Yards,252,274
Total Yards,365,330
Fumbles-Lost,0-0,0-0
Turnovers,2,2
Penalties-Yards,4-33,7-44
Third Down Conv.,4-12,5-14
Fourth Down Conv.,0-1,1-2
Time of Possession,30:32,29:28
