Quarter,Time,Tm,Detail,TAM,CLE
1.0,5:59,Browns,Billy Cundiff 49 yard field goal,0,3
2.0,13:34,Browns,Billy Cundiff 29 yard field goal,0,6
,8:44,Buccaneers,Mike Evans 24 yard pass from Mike Glennon (Patrick Murray kick),7,6
,2:25,Buccaneers,Patrick Murray 40 yard field goal,10,6
,0:00,Browns,Billy Cundiff 43 yard field goal,10,9
3.0,9:10,Browns,Terrance West 2 yard pass from Brian Hoyer (Billy Cundiff kick),10,16
,2:49,Buccaneers,Mike Evans 24 yard pass from Mike Glennon (Patrick Murray kick),17,16
4.0,8:59,Browns,Taylor Gabriel 34 yard pass from Brian Hoyer (pass failed),17,22
