Quarter,Time,Down,ToGo,Location,CLE,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 67 yards, returned by Dante Hall for 18 yards (tackle by Barry Gardner)",0.000,0.340
1,14:56,1,10,KAN 21,0,0,Trent Green pass incomplete intended for Johnnie Morton (defended by Andra Davis),0.340,-0.200
1,14:52,2,10,KAN 21,0,0,Trent Green pass incomplete intended for Priest Holmes,-0.200,-0.890
1,14:48,3,10,KAN 21,0,0,Trent Green sacked by Andra Davis for -13 yards,-0.890,-2.490
1,14:22,4,23,KAN 8,0,0,"Jason Baker punts 44 yards, fair catch by Dennis Northcutt",-2.490,-2.130
1,14:15,1,10,CLE 48,0,0,Kelly Holcomb pass complete to Quincy Morgan for 10 yards (tackle by Scott Fujita),2.130,2.790
1,13:34,1,10,KAN 42,0,0,Kelly Holcomb pass complete to Darnell Sanders for 7 yards (tackle by Mike Maslowski),2.790,3.190
1,12:57,2,3,KAN 35,0,0,James Jackson up the middle for 2 yards (tackle by Scott Fujita),3.190,2.740
1,12:19,3,1,KAN 33,0,0,James Jackson up the middle for no gain (tackle by Greg Wesley),2.740,1.210
1,12:00,4,1,KAN 33,3,0,Phil Dawson 50 yard field goal good,1.210,3.000
1,,,,CLE 30,3,0,"Phil Dawson kicks off 67 yards, returned by Dante Hall for 29 yards (tackle by Brant Boyer)",0.000,1.070
1,11:23,1,10,KAN 32,3,0,Tony Richardson up the middle for 1 yard (tackle by Andra Davis and Courtney Brown),1.070,0.660
1,10:49,2,9,KAN 33,3,0,"Trent Green pass complete to Brian Waters for no gain. Penalty on Gerard Warren: Unnecessary Roughness, 15 yards, Penalty on Brian Waters: Illegal Touch Pass (Declined) (no play)",0.660,2.130
1,10:49,1,10,KAN 48,3,0,Priest Holmes up the middle for 3 yards (tackle by Robert Griffith),2.130,1.990
1,10:49,2,7,CLE 49,3,0,Trent Green pass complete to Priest Holmes for 6 yards (tackle by Robert Griffith),1.990,2.080
1,9:03,3,1,CLE 43,3,0,Priest Holmes left tackle for 4 yards (tackle by Courtney Brown),2.080,2.980
1,9:03,1,10,CLE 39,3,0,"Penalty on Gerard Warren: Encroachment, 5 yards (no play)",2.980,3.710
1,8:04,1,5,CLE 34,3,0,Trent Green pass complete to Priest Holmes for 8 yards (tackle by Orpheus Roye),3.710,3.840
1,7:17,1,10,CLE 26,3,0,Priest Holmes right end for 17 yards (tackle by Anthony Henry),3.840,5.140
1,6:34,1,9,CLE 9,3,0,Priest Holmes right end for 1 yard (tackle by Andra Davis and Kevin Bentley),5.140,4.570
1,5:51,2,8,CLE 8,3,0,Trent Green pass complete to Eddie Kennison for 7 yards (tackle by Daylon McCutcheon),4.570,5.170
1,5:10,3,1,CLE 1,3,6,"Priest Holmes up the middle for 1 yard, touchdown",5.170,7.000
1,,,,CLE 2,3,7,Morten Andersen kicks extra point good,0.000,0.000
1,,,,KAN 30,3,7,"Jason Baker kicks off 57 yards, returned by Andra Davis for 18 yards (tackle by Monty Beisel)",0.000,1.000
1,5:01,1,10,CLE 31,3,7,Kelly Holcomb pass complete to James Jackson for 18 yards (tackle by Greg Wesley),1.000,2.190
1,4:18,1,10,CLE 49,3,7,"James Jackson up the middle for 3 yards (tackle by Vonnie Holliday). James Jackson fumbles (forced by Vonnie Holliday), recovered by Ryan Sims at KAN-48 (tackle by Shaun O'Hara)",2.190,-2.130
1,4:05,1,10,KAN 48,3,7,Trent Green pass complete to Tony Gonzalez for 13 yards (tackle by Robert Griffith),2.130,2.980
1,3:25,1,10,CLE 39,3,7,Priest Holmes up the middle for 4 yards (tackle by Andra Davis),2.980,2.980
1,2:45,2,6,CLE 35,3,7,Trent Green pass complete to Tony Gonzalez for 8 yards (tackle by Kenard Lang),2.980,3.780
1,2:17,1,10,CLE 27,3,7,Priest Holmes up the middle for 2 yards (tackle by Alvin McKinley),3.780,3.500
1,1:51,2,8,CLE 25,3,7,Trent Green pass complete to Dante Hall for 4 yards (tackle by Robert Griffith),3.500,3.340
1,1:06,3,4,CLE 21,3,7,Trent Green pass complete to Johnnie Morton for 12 yards (tackle by Chris Crocker),3.340,5.140
1,0:25,1,9,CLE 9,3,13,"Priest Holmes right end for 9 yards, touchdown",5.140,7.000
1,,,,CLE 2,3,14,Morten Andersen kicks extra point good,0.000,0.000
1,,,,KAN 30,3,14,"Jason Baker kicks off 62 yards, returned by Andra Davis for 19 yards (tackle by Monty Beisel)",0.000,0.740
