Quarter,Time,Tm,Detail,CLE,KAN
1.0,11:31,Browns,Phil Dawson 50 yard field goal,3,0
,5:05,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),3,7
,0:19,Chiefs,Priest Holmes 9 yard rush (Morten Andersen kick),3,14
2.0,11:53,Browns,James Jackson 1 yard rush (Phil Dawson kick),10,14
,9:11,Chiefs,Tony Gonzalez 14 yard pass from Trent Green (Morten Andersen kick),10,21
,4:54,Browns,R.J. Bowers 2 yard pass from Kelly Holcomb (Phil Dawson kick),17,21
,3:13,Chiefs,Morten Andersen 29 yard field goal,17,24
,0:00,Chiefs,Morten Andersen 27 yard field goal,17,27
3.0,7:16,Chiefs,Johnnie Morton 28 yard pass from Trent Green (Morten Andersen kick),17,34
,0:41,Browns,Phil Dawson 22 yard field goal,20,34
4.0,2:19,Chiefs,Eddie Kennison 27 yard pass from Trent Green (Morten Andersen kick),20,41
