Unnamed: 0,BUF,MIA
First Downs,31,15
Rush-Yds-TDs,23-115-0,17-41-2
Cmp-Att-Yd-TD-INT,42-63-400-2-0,13-20-186-1-0
Sacked-Yards,4-18,2-15
Net Pass Yards,382,171
Total Yards,497,212
Fumbles-Lost,4-1,0-0
Turnovers,1,0
Penalties-Yards,7-52,4-20
Third Down Conv.,11-18,3-8
Fourth Down Conv.,2-3,0-0
Time of Possession,40:40,19:20
