Quarter,Time,Down,ToGo,Location,TEN,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,STL 20,0,0,Steven Jackson left guard for 2 yards (tackle by Peter Sirmon),0.280,0.000
1,14:21,2,8,STL 22,0,0,Steven Jackson left end for -2 yards (tackle by Brad Kassell),0.000,-0.960
1,13:42,3,10,STL 20,0,0,Marc Bulger pass incomplete intended for Shaun McDonald,-0.960,-2.030
1,13:36,4,10,STL 20,0,0,"Reggie Hodges punts 48 yards. Penalty on Anthony Hargrove: Ineligible Downfield Kic, 5 yards",-2.030,-1.400
1,13:24,1,10,TEN 37,0,0,Steve McNair pass incomplete intended for Troy Fleming,1.400,0.860
1,13:19,2,10,TEN 37,0,0,Chris Brown right tackle for 7 yards (tackle by Anthony Hargrove),0.860,1.090
1,12:41,3,3,TEN 44,0,0,"Penalty on Michael Roos: False Start, 5 yards (no play)",1.090,0.430
1,12:12,3,8,TEN 39,0,0,Steve McNair pass incomplete intended for Roydell Williams,0.430,-0.780
1,12:06,4,8,TEN 39,0,0,"Craig Hentrich punts 43 yards, fair catch by Shaun McDonald",-0.780,-0.040
1,11:59,1,10,STL 18,0,0,Marc Bulger sacked by Kyle Vanden Bosch for -6 yards,0.040,-1.220
1,11:34,2,16,STL 12,0,0,Marc Bulger pass complete to Torry Holt for 11 yards (tackle by Andre Woolfolk),-1.220,-0.530
1,10:55,3,5,STL 23,0,0,Marc Bulger sacked by Randy Starks for -6 yards,-0.530,-2.320
1,10:33,4,11,STL 17,0,0,"Reggie Hodges punts 36 yards, returned by Andrae Thurman for no gain",-2.320,-2.060
1,10:23,1,10,TEN 47,0,0,Chris Brown left tackle for 4 yards (tackle by Dexter Coakley),2.060,2.060
1,9:43,2,6,STL 49,0,0,Chris Brown right tackle for 9 yards (tackle by Michael Hawthorne),2.060,2.920
1,9:00,1,10,STL 40,0,0,Steve McNair pass complete to Brandon Jones for 12 yards (tackle by Dexter Coakley),2.920,3.710
1,8:14,1,10,STL 28,0,0,Chris Brown right tackle for 5 yards (tackle by Brandon Green),3.710,3.840
1,7:30,2,5,STL 23,0,0,"Penalty on Ryan Pickett: Encroachment, 4 yards (no play)",3.840,4.420
1,7:07,2,1,STL 19,0,0,Chris Brown left guard for 3 yards (tackle by Dexter Coakley),4.420,4.510
1,6:28,1,10,STL 16,6,0,"Steve McNair pass complete to Ben Troupe for 16 yards, touchdown",4.510,7.000
1,,,,STL 2,7,0,Rob Bironas kicks extra point good,0.000,0.000
1,,,,TEN 30,7,0,"Rob Bironas kicks off 73 yards, returned by Chris Johnson for 27 yards (tackle by Robert Reynolds). Penalty on Dexter Coakley: Offensive Holding, 10 yards",0.000,-0.280
1,6:17,1,10,STL 14,7,0,Marc Bulger pass incomplete intended for Brandon Manumaleuna is intercepted by Tank Williams and returned for 1 yard,-0.280,-3.580
1,6:10,1,10,STL 30,7,0,Chris Brown left tackle for 2 yards (tackle by Chris Claiborne),3.580,3.300
1,5:29,2,8,STL 28,7,0,Chris Brown up the middle for no gain (tackle by Anthony Hargrove and Ryan Pickett),3.300,2.610
1,4:47,3,8,STL 28,7,0,Steve McNair pass complete to Erron Kinney for 5 yards (tackle by Dexter Coakley),2.610,2.030
1,4:07,4,3,STL 23,10,0,Rob Bironas 41 yard field goal good,2.030,3.000
1,,,,TEN 30,10,0,"Rob Bironas kicks off 70 yards, returned by Chris Johnson for 22 yards (tackle by Cody Spencer)",0.000,0.410
1,3:55,1,10,STL 22,10,0,Marc Bulger pass incomplete intended for Steven Jackson (defended by Keith Bulluck),0.410,-0.130
1,3:50,,,,10,0,Timeout #1 by St. Louis Rams,0.000,-0.130
1,3:50,2,10,STL 22,10,0,Marc Bulger pass complete to Isaac Bruce for 11 yards (tackle by Lamont Thompson),-0.130,1.140
1,3:12,1,10,STL 33,10,0,Marshall Faulk left guard for 5 yards (tackle by Kyle Vanden Bosch),1.140,1.270
1,2:41,2,5,STL 38,10,0,"Marc Bulger pass complete to Torry Holt for 12 yards (tackle by Lamont Thompson). Penalty on Torry Holt: Illegal Motion, 5 yards (no play)",1.270,0.590
1,2:19,2,10,STL 33,10,0,Marc Bulger pass complete to Kevin Curtis for 2 yards (tackle by Andre Woolfolk),0.590,0.170
1,1:31,3,8,STL 35,10,0,Marc Bulger sacked by Travis LaBoy for -12 yards,0.170,-1.830
1,1:11,4,20,STL 23,10,0,"Reggie Hodges punts 40 yards, fair catch by Andrae Thurman",-1.830,-1.400
1,1:01,1,10,TEN 37,10,0,Steve McNair pass complete to Drew Bennett for 43 yards (tackle by Travis Fisher),1.400,4.240
1,0:33,1,10,STL 20,10,0,Chris Brown left tackle for 5 yards (tackle by DeJuan Groce),4.240,4.450
Quarter,Time,Down,ToGo,Location,TEN,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,STL 15,10,0,Chris Brown left end for 5 yards (tackle by Adam Archuleta),4.450,4.910
2,14:10,1,10,STL 10,10,0,"Chris Brown right tackle for 10 yards. Penalty on Bo Scaife: Offensive Holding, 10 yards (no play)",4.910,4.240
2,14:04,1,20,STL 20,10,0,Travis Henry right tackle for 2 yards (tackle by Ryan Pickett),4.240,3.150
2,13:25,2,18,STL 18,10,0,Travis Henry left guard for -2 yards (tackle by DeJuan Groce),3.150,2.340
2,12:44,,,,10,0,Timeout #1 by Tennessee Titans,0.000,2.340
2,12:44,3,20,STL 20,10,6,"Steve McNair pass incomplete intended for Drew Bennett is intercepted by Adam Archuleta at STL-15 and returned for 85 yards, touchdown",2.340,-7.000
2,,,,TEN 2,10,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,10,7,"Jeff Wilkins kicks off 71 yards, returned by Adam Jones for 22 yards (tackle by Arlen Harris)",0.000,0.340
2,12:23,1,10,TEN 21,10,7,Steve McNair pass incomplete intended for Brandon Jones,0.340,-0.200
2,12:18,2,10,TEN 21,10,7,"Steve McNair pass complete to Tyrone Calico for 18 yards (tackle by Chris Johnson). Tyrone Calico fumbles (forced by Chris Johnson), recovered by Michael Hawthorne at TEN-49 (tackle by Drew Bennett)",-0.200,-2.320
2,12:06,1,10,TEN 49,10,7,Steven Jackson up the middle for 19 yards,2.320,3.580
2,11:39,1,10,TEN 30,10,7,Steven Jackson left end for 3 yards (tackle by Keith Bulluck),3.580,3.440
2,10:57,2,7,TEN 27,10,7,Steven Jackson left end for 6 yards (tackle by Michael Waddell),3.440,3.530
2,10:15,3,1,TEN 21,10,7,Steven Jackson left end for 3 yards (tackle by Kyle Vanden Bosch),3.530,4.370
2,9:30,1,10,TEN 18,10,7,Marc Bulger pass complete to Torry Holt for 4 yards (tackle by Tony Beckham),4.370,4.430
2,8:50,2,6,TEN 14,10,7,Steven Jackson right end for 1 yard (tackle by Lamont Thompson),4.430,3.820
2,8:07,3,5,TEN 13,10,7,"Marc Bulger pass incomplete intended for Marshall Faulk. Penalty on Blaine Saipaia: Unnecessary Roughness, 15 yards",3.820,1.590
2,8:00,4,20,TEN 28,10,10,Jeff Wilkins 46 yard field goal good,1.590,3.000
2,,,,STL 30,10,10,"Jeff Wilkins kicks off 74 yards, returned by Adam Jones for 34 yards (tackle by Brandon Chillar)",0.000,0.940
2,7:48,1,10,TEN 30,10,10,Chris Brown left end for no gain (tackle by Chris Claiborne),0.940,0.390
2,7:05,2,10,TEN 30,10,10,Chris Brown right tackle for 9 yards (tackle by Michael Hawthorne and Ryan Pickett),0.390,0.890
