Quarter,Time,Tm,Detail,TEN,STL
1.0,6:21,Titans,Ben Troupe 16 yard pass from Steve McNair (Rob Bironas kick),7,0
,4:01,Titans,Rob Bironas 41 yard field goal,10,0
2.0,12:28,Rams,Adam Archuleta 85 yard interception return (Jeff Wilkins kick),10,7
,7:55,Rams,Jeff Wilkins 46 yard field goal,10,10
,2:08,Rams,Marshall Faulk 13 yard pass from Marc Bulger (Jeff Wilkins kick),10,17
3.0,9:30,Rams,Torry Holt 32 yard pass from Marc Bulger (Jeff Wilkins kick),10,24
,3:22,Titans,Brandon Jones 4 yard pass from Steve McNair (Rob Bironas kick),17,24
,2:37,Titans,Antwan Odom 25 yard defensive fumble return (Rob Bironas kick),24,24
4.0,14:54,Rams,Kevin Curtis 10 yard pass from Marc Bulger (Jeff Wilkins kick),24,31
,6:02,Titans,Rob Bironas 39 yard field goal,27,31
