Unnamed: 0,NOR,TAM
First Downs,27,13
Rush-Yds-TDs,37-138-1,5-8-0
Cmp-Att-Yd-TD-INT,29-35-282-4-0,22-38-209-0-3
Sacked-Yards,1-0,3-23
Net Pass Yards,282,186
Total Yards,420,194
Fumbles-Lost,3-2,0-0
Turnovers,2,3
Penalties-Yards,3-28,5-39
Third Down Conv.,9-14,1-9
Fourth Down Conv.,1-2,0-3
Time of Possession,40:04,19:56
