Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Latavius Murray,NOR,10,39,0,3,18,1.8,21,2.1,0,
Alvin Kamara,NOR,9,40,1,4,25,2.8,15,1.7,1,9.0
Taysom Hill,NOR,7,54,0,3,38,5.4,16,2.3,0,
Dwayne Washington,NOR,5,9,0,,6,1.2,3,0.6,0,
Jameis Winston,NOR,3,-3,0,0,-3,-1.0,0,0.0,0,
Drew Brees,NOR,2,-2,0,0,-2,-1.0,0,0.0,0,
Michael Burton,NOR,1,1,0,1,0,0.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ronald Jones II,TAM,3,9,0,,5,1.7,4,1.3,0,
Leonard Fournette,TAM,1,0,0,0,0,0.0,0,0.0,0,
Blaine Gabbert,TAM,1,-1,0,,-1,-1.0,0,0.0,0,
