Unnamed: 0,DAL,WAS
First Downs,14,21
Rush-Yds-TDs,21-50-1,24-94-0
Cmp-Att-Yd-TD-INT,15-30-240-2-0,25-43-325-2-0
Sacked-Yards,1-3,5-35
Net Pass Yards,237,290
Total Yards,287,384
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,5-40,7-87
Third Down Conv.,5-13,8-18
Fourth Down Conv.,0-0,0-0
Time of Possession,24:51,35:09
