Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,CHI 35,6,0,"Robbie Gould kicks off 70 yards, returned by Cordarrelle Patterson for 105 yards, touchdown",0.000,-7.000
1,15:00,,,CHI 2,7,0,Blair Walsh kicks extra point good,0.000,0.000
1,15:00,,,MIN 35,7,0,"Blair Walsh kicks off 73 yards, returned by Devin Hester for 76 yards (tackle by Josh Robinson)",0.000,-3.450
1,14:37,1,10,MIN 32,7,0,Matt Forte right guard for no gain (tackle by Harrison Smith),3.450,2.900
1,14:04,2,10,MIN 32,7,0,Matt Forte right guard for 24 yards (tackle by Josh Robinson),2.900,5.370
1,13:35,1,8,MIN 8,7,0,Matt Forte right guard for 4 yards (tackle by Chad Greenway),5.370,5.340
1,12:56,2,4,MIN 4,7,0,Jay Cutler pass complete short left to Matt Forte for 3 yards (tackle by Jamarca Sanford),5.340,5.170
1,12:16,3,1,MIN 1,7,6,"Jay Cutler pass complete short left to Martellus Bennett for 1 yard, touchdown",5.170,7.000
1,12:16,,,MIN 2,7,7,Robbie Gould kicks extra point good,0.000,0.000
1,12:16,,,CHI 35,7,7,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,12:12,1,10,MIN 20,7,7,Adrian Peterson right guard for -3 yards (tackle by Lance Briggs),0.280,-0.790
1,11:33,2,13,MIN 17,7,7,Christian Ponder pass incomplete,-0.790,-1.510
1,11:27,3,13,MIN 17,7,7,Christian Ponder pass complete deep right to Greg Jennings for 18 yards (tackle by Chris Conte),-1.510,1.270
1,11:02,1,10,MIN 35,7,7,Adrian Peterson left guard for 4 yards (tackle by D.J. Williams),1.270,1.260
1,10:31,2,6,MIN 39,7,7,Christian Ponder pass incomplete deep right intended for Greg Jennings,1.260,0.560
1,10:25,3,6,MIN 39,7,7,Christian Ponder pass incomplete short middle intended for Kyle Rudolph,0.560,-0.780
1,10:21,4,6,MIN 39,7,7,Jeff Locke punts 54 yards,-0.780,0.380
1,10:09,1,10,CHI 7,7,7,Matt Forte left guard for 5 yards (tackle by Chris Cook),-0.380,-0.420
1,9:28,2,5,CHI 12,7,7,Jay Cutler pass complete short right to Martellus Bennett for 6 yards (tackle by Harrison Smith),-0.420,0.040
1,8:52,1,10,CHI 18,7,7,Jay Cutler pass complete short middle to Matt Forte for 6 yards (tackle by Harrison Smith),0.040,0.410
1,8:10,2,4,CHI 24,7,7,Matt Forte right tackle for -1 yards (tackle by Josh Robinson),0.410,-0.530
1,7:24,3,5,CHI 23,7,7,Jay Cutler left end for 9 yards (tackle by Jamarca Sanford),-0.530,1.070
1,6:50,1,10,CHI 32,7,7,Jay Cutler left guard for 1 yard (tackle by Chad Greenway),1.070,0.660
1,6:09,2,9,CHI 33,7,7,Michael Bush right end for -1 yards (tackle by Erin Henderson),0.660,-0.160
1,5:28,3,10,CHI 32,7,7,"Jay Cutler pass incomplete short right intended for Alshon Jeffery. Penalty on Alshon Jeffery: Illegal Touch Pass (Declined), Penalty on Jermon Bushrod: Offensive Holding (Declined)",-0.160,-1.240
1,5:21,4,10,CHI 32,7,7,"Adam Podlesh punts 48 yards, fair catch by Marcus Sherels",-1.240,-0.280
1,5:13,1,10,MIN 20,7,7,Adrian Peterson left guard for 3 yards (tackle by Tim Jennings),0.280,0.140
1,4:44,2,7,MIN 23,7,7,Adrian Peterson right tackle for 2 yards (tackle by Major Wright and Lance Briggs),0.140,-0.300
1,4:07,3,5,MIN 25,7,7,Christian Ponder right end for 2 yards (tackle by Lance Briggs),-0.300,-1.570
1,3:58,4,3,MIN 27,7,7,"Jeff Locke punts 50 yards, returned by Devin Hester for 14 yards (tackle by Cullen Loeffler). Penalty on CHI: Defensive 12 On-field, 5 yards (no play)",-1.570,1.070
1,3:45,1,10,MIN 32,7,7,Adrian Peterson right tackle for 3 yards (tackle by Lance Briggs),1.070,0.930
1,3:08,2,7,MIN 35,7,7,Christian Ponder sacked by Corey Wootton for 0 yards,0.930,0.230
1,2:31,3,7,MIN 35,7,7,Christian Ponder pass incomplete (defended by Lance Briggs),0.230,-1.040
1,2:22,4,7,MIN 35,7,7,Jeff Locke punts 51 yards,-1.040,0.280
1,2:10,1,10,CHI 14,7,7,Jay Cutler pass complete short right to Martellus Bennett for 14 yards (tackle by Chad Greenway),-0.280,0.810
1,1:35,1,10,CHI 28,7,7,Alshon Jeffery left end for 38 yards (tackle by Jamarca Sanford),0.810,3.310
1,1:11,1,10,MIN 34,7,13,"Jay Cutler pass complete deep right to Brandon Marshall for 34 yards, touchdown",3.310,7.000
1,1:11,,,MIN 2,7,14,Robbie Gould kicks extra point good,0.000,0.000
1,1:11,,,CHI 35,7,14,"Robbie Gould kicks off 72 yards, returned by Cordarrelle Patterson for 22 yards (tackle by Jonathan Bostic). Penalty on Larry Dean: Offensive Holding, 5 yards",0.000,0.380
1,0:59,1,10,MIN 6,7,14,Adrian Peterson left guard for no gain (tackle by James Anderson),-0.380,-0.780
1,0:25,2,10,MIN 6,7,14,Christian Ponder pass complete short right to Greg Jennings for 13 yards (tackle by Tim Jennings),-0.780,0.150
Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 19,7,14,Christian Ponder pass complete deep middle to Jarius Wright for 21 yards (tackle by Major Wright),0.150,1.600
2,14:43,1,10,MIN 40,7,14,Christian Ponder pass incomplete short middle intended for Zach Line (defended by Lance Briggs),1.600,1.050
2,14:38,2,10,MIN 40,7,14,Christian Ponder pass complete short left to Cordarrelle Patterson for no gain,1.050,0.370
2,14:01,3,10,MIN 40,7,14,"Penalty on Matt Kalil: False Start, 5 yards (no play)",0.370,-0.300
2,13:45,3,15,MIN 35,7,14,Christian Ponder pass incomplete short left intended for Toby Gerhart,-0.300,-1.040
2,13:39,4,15,MIN 35,7,14,"Jeff Locke punts 65 yards, touchback",-1.040,-0.280
2,13:23,1,10,CHI 20,7,14,Matt Forte left guard for 5 yards (tackle by Chad Greenway),0.280,0.410
2,12:41,2,5,CHI 25,7,14,Jay Cutler pass complete short right to Matt Forte for 10 yards (tackle by Marvin Mitchell),0.410,1.270
2,12:17,1,10,CHI 35,7,14,Matt Forte left tackle for no gain (tackle by Chris Cook),1.270,0.720
2,11:40,2,10,CHI 35,7,14,Jay Cutler pass complete short left to Matt Forte for 1 yard (tackle by Marvin Mitchell),0.720,0.170
2,10:50,3,9,CHI 36,7,14,Jay Cutler pass complete short right to Brandon Marshall for 15 yards (tackle by Xavier Rhodes and Chad Greenway),0.170,2.320
2,10:06,1,10,MIN 49,7,14,Jay Cutler pass complete short middle to Brandon Marshall for 6 yards (tackle by Erin Henderson),2.320,2.590
2,9:21,2,4,MIN 43,7,14,Jay Cutler pass complete short left to Matt Forte for 11 yards (tackle by Chris Cook),2.590,3.450
2,8:34,1,10,MIN 32,7,14,Matt Forte left guard for 1 yard (tackle by Jared Allen and Chad Greenway),3.450,3.040
2,8:00,2,9,MIN 31,7,14,Jay Cutler pass incomplete deep middle intended for Martellus Bennett,3.040,2.340
2,7:49,3,9,MIN 31,13,14,"Jay Cutler sacked by Jared Allen for -6 yards. Jay Cutler fumbles (forced by Jared Allen), recovered by Brian Robison at MIN-39 and returned for 61 yards, touchdown",2.340,-7.000
2,7:34,,,CHI 2,14,14,Blair Walsh kicks extra point good,0.000,0.000
2,7:34,,,MIN 35,14,14,"Blair Walsh kicks off 68 yards, returned by Devin Hester for 80 yards (tackle by Josh Robinson)",0.000,-4.040
2,7:22,1,10,MIN 23,14,14,Michael Bush right guard for 1 yard (tackle by Fred Evans),4.040,3.630
2,6:39,2,9,MIN 22,14,14,Matt Forte left guard for 11 yards (tackle by Jared Allen),3.630,4.840
2,6:01,1,10,MIN 11,14,14,Matt Forte left tackle for 8 yards (tackle by Harrison Smith),4.840,5.660
2,5:18,2,2,MIN 3,14,14,Matt Forte right guard for 2 yards (tackle by Jared Allen),5.660,6.970
2,4:36,1,1,MIN 1,14,14,Jay Cutler pass incomplete short middle intended for Steve Maneri is intercepted by Kevin Williams at MIN--2,6.970,-0.280
2,4:28,1,10,MIN 20,14,14,Christian Ponder pass incomplete short right intended for Jerome Simpson (defended by Lance Briggs),0.280,-0.270
2,4:22,2,10,MIN 20,14,14,Adrian Peterson left guard for 8 yards (tackle by Major Wright),-0.270,0.100
2,3:46,3,2,MIN 28,14,14,Christian Ponder right end for 3 yards (tackle by Lance Briggs),0.100,1.000
2,3:02,1,10,MIN 31,14,20,"Christian Ponder pass incomplete short right intended for Jerome Simpson is intercepted by Tim Jennings at MIN-44 and returned for 44 yards, touchdown",1.000,-7.000
2,2:51,,,MIN 2,14,21,Robbie Gould kicks extra point good,0.000,0.000
2,2:51,,,CHI 35,14,21,"Robbie Gould kicks off 66 yards, returned by Cordarrelle Patterson for 26 yards (tackle by Major Wright)",0.000,-0.610
2,2:45,1,10,MIN 25,14,21,Christian Ponder pass complete short left to Greg Jennings for 9 yards (tackle by Isaiah Frey),0.610,1.280
2,2:28,2,1,MIN 34,14,21,Adrian Peterson right guard for no gain (tackle by Lance Briggs),1.280,1.280
2,2:22,2,1,MIN 34,14,21,Timeout #1 by Chicago Bears,1.280,0.560
2,2:22,3,1,MIN 34,14,21,Adrian Peterson right end for 8 yards (tackle by Chris Conte),0.560,1.730
2,2:00,1,10,MIN 42,14,21,Adrian Peterson right guard for 36 yards (tackle by Lance Briggs),1.730,4.110
2,1:50,1,10,CHI 22,14,21,Adrian Peterson right end for 2 yards (tackle by Major Wright),4.110,3.830
2,1:17,2,8,CHI 20,20,21,"Christian Ponder pass complete deep right to Kyle Rudolph for 20 yards, touchdown",3.830,7.000
2,1:17,,,CHI 2,21,21,"Blair Walsh kicks extra point good. Penalty on CHI: Defensive 12 On-field, 5 yards",0.000,0.000
2,1:17,,,MIN 40,21,21,"Blair Walsh kicks off 60 yards, touchback",0.000,-0.280
2,1:11,1,10,CHI 20,21,21,"Matt Forte left guard for 1 yard (tackle by Kevin Williams). Penalty on Jamarca Sanford: Unnecessary Roughness, 15 yards",0.280,1.330
