Unnamed: 0,MIN,CHI
First Downs,19,24
Rush-Yds-TDs,33-123-0,27-127-0
Cmp-Att-Yd-TD-INT,16-30-227-1-1,27-38-292-3-2
Sacked-Yards,1-0,1-8
Net Pass Yards,227,284
Total Yards,350,411
Fumbles-Lost,2-2,2-2
Turnovers,3,4
Penalties-Yards,3-25,4-35
Third Down Conv.,7-16,7-12
Fourth Down Conv.,2-2,0-0
Time of Possession,29:26,30:34
