Quarter,Time,Tm,Detail,CHI,MIN
1.0,10:49,Vikings,Ryan Longwell 31 yard field goal,0,3
,6:20,Bears,Robbie Gould 41 yard field goal,3,3
2.0,1:08,Vikings,Ryan Longwell 26 yard field goal,3,6
3.0,10:53,Bears,Robbie Gould 24 yard field goal,6,6
,3:18,Bears,Robbie Gould 31 yard field goal,9,6
4.0,14:53,Vikings,Antoine Winfield 7 yard interception return (Ryan Longwell kick),9,13
,10:37,Bears,Robbie Gould 49 yard field goal,12,13
,7:27,Vikings,Ryan Longwell 41 yard field goal,12,16
,1:53,Bears,Rashied Davis 24 yard pass from Rex Grossman (Robbie Gould kick),19,16
