Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 63 yards, returned by Troy Williamson for 12 yards (tackle by Leon Joe)",0.000,0.150
1,14:56,1,10,MIN 19,0,0,Brad Johnson pass complete short left to Troy Williamson for 19 yards (tackle by Nathan Vasher and Brian Urlacher),0.150,1.470
1,14:16,1,10,MIN 38,0,0,Chester Taylor left end for 8 yards (tackle by Brian Urlacher),1.470,2.000
1,13:35,2,2,MIN 46,0,0,Chester Taylor right guard for -2 yards (tackle by Brian Urlacher),2.000,1.020
1,12:51,3,4,MIN 44,0,0,Brad Johnson pass complete deep right to Travis Taylor for 36 yards (tackle by Danieal Manning and Charles Tillman),1.020,4.240
1,12:13,1,10,CHI 20,0,0,Brad Johnson pass incomplete deep right intended for Travis Taylor,4.240,3.690
1,12:08,2,10,CHI 20,0,0,Chester Taylor right guard for 2 yards (tackle by Mike Brown and Brian Urlacher),3.690,3.220
1,11:32,3,8,CHI 18,0,0,Brad Johnson pass complete to Mewelde Moore for 5 yards (tackle by Lance Briggs),3.220,2.670
1,10:52,4,3,CHI 13,0,3,Ryan Longwell 31 yard field goal good,2.670,3.000
1,10:49,,,MIN 30,0,3,"Ryan Longwell kicks off 62 yards, returned by Rashied Davis for 35 yards (tackle by Dontarrious Thomas)",0.000,1.800
1,10:40,1,10,CHI 43,0,3,Rex Grossman pass complete to Desmond Clark for 14 yards (tackle by Cedric Griffin),1.800,2.720
1,10:10,1,10,MIN 43,0,3,Thomas Jones left end for 6 yards (tackle by Cedric Griffin),2.720,2.990
1,9:32,2,4,MIN 37,0,3,Rex Grossman pass complete short right to Muhsin Muhammad for 3 yards (tackle by Antoine Winfield),2.990,2.680
1,8:55,3,1,MIN 34,0,3,Thomas Jones left guard for no gain (tackle by Dwight Smith),2.680,1.100
1,8:33,4,1,MIN 34,0,3,Thomas Jones left end for 2 yards (tackle by Dontarrious Thomas),1.100,3.450
1,7:58,1,10,MIN 32,0,3,Rex Grossman pass complete short left to Thomas Jones for 3 yards (tackle by Ben Leber),3.450,3.310
,,,,,,,"MIN challenged the ruling, and the original play was overturned.",,
1,7:03,2,7,MIN 29,0,3,Thomas Jones middle for 5 yards (tackle by Darren Sharper),3.310,3.270
1,6:28,3,2,MIN 24,0,3,Rex Grossman pass incomplete short right intended for Jason McKie (defended by Pat Williams),3.270,1.990
1,6:24,,,,0,3,Timeout #1 by Chicago Bears,0.000,1.990
1,6:24,4,2,MIN 24,3,3,Robbie Gould 41 yard field goal good,1.990,3.000
1,6:20,,,CHI 30,3,3,"Robbie Gould kicks off 61 yards, returned by Artose Pinner for 24 yards (tackle by Todd Johnson)",0.000,1.140
1,6:14,1,10,MIN 33,3,3,Chester Taylor left tackle for 2 yards (tackle by Ian Scott),1.140,0.860
1,5:38,2,8,MIN 35,3,3,Brad Johnson pass complete short right to Travis Taylor for 4 yards (tackle by Charles Tillman),0.860,0.700
1,5:05,3,4,MIN 39,3,3,Brad Johnson pass complete to Troy Williamson for 6 yards (tackle by Brian Urlacher),0.700,1.930
,,,,,,,"CHI challenged the ruling, and the play was upheld.",,
1,4:09,1,10,MIN 45,3,3,Chester Taylor right guard for -2 yards (tackle by Lance Briggs and Alex Brown),1.930,1.110
1,3:25,2,12,MIN 43,3,3,Chester Taylor right tackle for 13 yards (tackle by Charles Tillman),1.110,2.650
1,2:40,1,10,CHI 44,3,3,"Brad Johnson pass complete short left to Chester Taylor for 5 yards (tackle by Brian Urlacher). Penalty on Maurice Mann: Offensive Holding, 10 yards",2.650,2.320
1,2:12,1,15,CHI 49,3,3,Brad Johnson pass complete to Troy Williamson for 4 yards (tackle by Danieal Manning),2.320,1.980
1,1:33,2,11,CHI 45,3,3,"Brad Johnson pass incomplete intended for Artose Pinner. Penalty on Bethel Johnson: Intentional Grounding, 11 yards",1.980,-0.160
1,1:28,3,22,MIN 44,3,3,Brad Johnson pass complete short left to Mewelde Moore for 10 yards (tackle by Nathan Vasher and Dante Wesley),-0.160,0.200
1,0:51,4,12,CHI 46,3,3,"Chris Kluwe punts 20 yards, out of bounds. Penalty on Jamar Williams: Offensive Holding, 10 yards",0.200,0.140
1,0:40,1,10,CHI 16,3,3,"Penalty on Desmond Clark: False Start, 5 yards (no play)",-0.140,-0.540
1,0:40,1,15,CHI 11,3,3,Thomas Jones right end for -3 yards (tackle by Antoine Winfield),-0.540,-1.360
Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,18,CHI 8,3,3,Rex Grossman pass complete short left to Bernard Berrian for 9 yards (tackle by Antoine Winfield),-1.360,-1.200
2,14:25,3,9,CHI 17,3,3,Rex Grossman pass complete short left to Rashied Davis for 21 yards (tackle by Ronyell Whitaker),-1.200,1.470
2,13:51,1,10,CHI 38,3,3,Rex Grossman pass complete to Muhsin Muhammad for 23 yards (tackle by Dwight Smith),1.470,2.980
2,13:09,1,10,MIN 39,3,3,"Rex Grossman pass complete short left to Bernard Berrian for 12 yards. Penalty on Muhsin Muhammad: Illegal Shift, 5 yards (no play)",2.980,2.650
2,12:46,1,15,MIN 44,3,3,Rex Grossman pass incomplete intended for Gabe Reid,2.650,1.770
2,12:43,2,15,MIN 44,3,3,Rex Grossman pass incomplete intended for Gabe Reid,1.770,1.090
