Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
1,9:03,1,10,CHI 25,0,3,Justin Fields pass complete deep left to D.J. Moore for 33 yards (tackle by Ryan Neal),0.610,2.790
1,8:27,1,10,TAM 42,0,3,Justin Fields pass incomplete short right intended for Robert Tonyan,2.790,2.240
1,8:22,2,10,TAM 42,0,3,Justin Fields left end for 5 yards (tackle by Joe Tryon-Shoyinka),2.240,2.210
1,7:37,3,5,TAM 37,0,3,Justin Fields pass complete short left to D.J. Moore for 31 yards (tackle by Antoine Winfield),2.210,5.830
1,6:58,1,6,TAM 6,0,3,Khalil Herbert up the middle for 5 yards (tackle by Ryan Neal),5.830,5.910
1,6:23,2,1,TAM 1,6,3,"Justin Fields right end for 1 yard, touchdown",5.910,7.000
1,6:17,,,TAM 15,7,3,Cairo Santos kicks extra point good,0.000,0.000
1,6:17,,,CHI 35,7,3,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,6:17,1,10,TAM 25,7,3,Rachaad White left tackle for 7 yards (tackle by Gervon Dexter),0.610,1.010
1,5:36,2,3,TAM 32,7,3,Rachaad White up the middle for 2 yards (tackle by Tremaine Edmunds and Zacch Pickens),1.010,0.560
1,4:57,3,1,TAM 34,7,3,Rachaad White up the middle for 5 yards (tackle by Gervon Dexter),0.560,1.530
1,4:21,1,10,TAM 39,7,3,Sean Tucker left tackle for no gain (tackle by T.J. Edwards and Jack Sanborn),1.530,0.990
1,3:40,2,10,TAM 39,7,3,Baker Mayfield pass complete deep middle to Chris Godwin for 24 yards (tackle by Elijah Hicks and Jaylon Johnson),0.990,3.120
1,3:03,1,10,CHI 37,7,3,Sean Tucker for 2 yards (tackle by T.J. Edwards and Tremaine Edmunds),3.120,2.840
1,2:24,2,8,CHI 35,7,3,Baker Mayfield pass complete short right to Cade Otton for 9 yards (tackle by Tremaine Edmunds),2.840,3.840
1,1:42,1,10,CHI 26,7,3,Baker Mayfield scrambles right end for 8 yards (tackle by Quindell Johnson),3.840,4.450
1,1:03,2,2,CHI 18,7,3,Baker Mayfield scrambles up the middle for 1 yard (tackle by Gervon Dexter),4.450,3.950
1,0:19,3,1,CHI 17,7,3,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)",3.950,3.140
Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,CHI 22,7,3,Baker Mayfield pass incomplete deep right intended for Trey Palmer,3.140,2.020
2,14:56,4,6,CHI 22,7,3,Chase McLaughlin 40 yard field goal no good blocked by Rasheem Green,2.020,-2.260
2,14:49,1,10,CHI 50,7,3,Justin Fields sacked by Shaquil Barrett for no gain,2.260,1.710
2,14:10,2,10,CHI 50,7,3,Velus Jones left end for -3 yards (tackle by Ryan Neal),1.710,0.630
2,13:36,3,13,CHI 47,7,3,"Justin Fields sacked by Joe Tryon-Shoyinka for -11 yards. Penalty on Braxton Jones: Offensive Holding, 10 yards (declined)",0.630,-0.980
2,13:30,4,24,CHI 36,7,3,"Trenton Gill punts 47 yards, returned by Deven Thompkins for 6 yards. Deven Thompkins fumbles, ball out of bounds at TB-23 (forced by Noah Sewell). Deven Thompkins fumbles out of bounds. Penalty on K.J. Britt: Defensive Offside, 5 yards (declined)",-0.980,-0.480
2,13:15,1,10,TAM 23,7,3,Baker Mayfield pass complete deep left to Mike Evans for 70 yards (tackle by Jaylon Johnson),0.480,5.600
2,12:22,1,7,CHI 7,7,3,Rachaad White left tackle for 1 yard (tackle by Yannick Ngakoue),5.600,4.950
2,11:44,2,6,CHI 6,7,3,Baker Mayfield pass complete short left to Rachaad White for 2 yards (tackle by Tyrique Stevenson and T.J. Edwards),4.950,4.490
2,10:58,3,4,CHI 4,7,9,"Rachaad White left guard for 4 yards, touchdown",4.490,7.000
2,10:53,,,CHI 15,7,10,Chase McLaughlin kicks extra point good,0.000,0.000
2,10:53,,,TAM 35,7,10,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
2,10:53,1,10,CHI 25,7,10,Justin Fields pass incomplete short right intended for Chase Claypool,0.610,0.060
2,10:49,2,10,CHI 25,7,10,Roschon Johnson left tackle for 1 yard (tackle by Ryan Neal and Mike Greene),0.060,-0.490
2,10:03,3,9,CHI 26,7,10,Justin Fields pass complete short left to D.J. Moore for 1 yard (tackle by Lavonte David),-0.490,-1.570
2,9:29,4,8,CHI 27,7,10,"Trenton Gill punts 55 yards, returned by Deven Thompkins for 1 yard (tackle by Jaylon Jones)",-1.570,-0.150
2,9:19,1,10,TAM 19,7,10,"Baker Mayfield pass complete short right to Cade Otton for no gain. Penalty on Luke Goedeke: Offensive Holding, 9 yards (accepted) (no play)",0.150,-0.720
2,9:04,1,19,TAM 10,7,10,Sean Tucker right guard for 2 yards (tackle by Gervon Dexter),-0.720,-1.290
2,8:22,2,17,TAM 12,7,10,Rachaad White up the middle for 9 yards (tackle by Tremaine Edmunds),-1.290,-0.810
2,7:40,3,8,TAM 21,7,10,Baker Mayfield pass complete short middle to Cade Otton for 7 yards (tackle by Jaylon Jones and Tremaine Edmunds),-0.810,-1.500
2,6:57,4,1,TAM 28,7,10,"Jake Camarda punts 72 yards, touchback.",-1.500,-0.280
2,6:49,1,10,CHI 20,7,10,Roschon Johnson up the middle for 2 yards (tackle by Joe Tryon-Shoyinka and Greg Gaines),0.280,0.000
2,6:12,2,8,CHI 22,7,10,Justin Fields pass complete short left to Chase Claypool for 8 yards (tackle by Jamel Dean),0.000,0.940
2,5:37,1,10,CHI 30,7,10,Roschon Johnson left tackle for 29 yards (tackle by Jamel Dean),0.940,2.850
2,4:57,1,10,TAM 41,7,10,"Penalty on Darnell Wright: False Start, 5 yards (accepted) (no play)",2.850,2.520
2,4:40,1,15,TAM 46,7,10,Justin Fields pass incomplete deep right intended for Cole Kmet (defended by Antoine Winfield),2.520,1.630
2,4:32,2,15,TAM 46,7,10,Justin Fields pass complete short left to Cole Kmet for 11 yards (tackle by Jamel Dean and Devin White),1.630,2.410
2,3:50,3,4,TAM 35,7,10,Justin Fields pass complete short left to Cole Kmet for 11 yards (tackle by Antoine Winfield),2.410,3.970
2,3:12,1,10,TAM 24,7,10,Justin Fields sacked by and Vita Vea for -3 yards and Logan Hall for -3 yards,3.970,3.030
2,2:24,2,13,TAM 27,7,10,Justin Fields pass incomplete short right intended for Khalil Herbert,3.030,2.350
2,2:21,3,13,TAM 27,7,10,"Justin Fields sacked by Cam Gill for -7 yards. Justin Fields fumbles (forced by Cam Gill), recovered by Lucas Patrick at TB-34 (tackle by Cam Gill)",2.350,1.060
2,2:00,4,20,TAM 34,10,10,Cairo Santos 52 yard field goal good,1.060,3.000
2,1:55,,,CHI 35,10,10,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,1:55,1,10,TAM 25,10,10,Baker Mayfield pass complete short middle to Cade Otton for 8 yards (tackle by Tremaine Edmunds and T.J. Edwards),0.610,1.140
2,1:36,2,2,TAM 33,10,10,Rachaad White up the middle for 5 yards (tackle by Justin Jones),1.140,1.470
2,1:17,1,10,TAM 38,10,10,Baker Mayfield pass complete short middle to Rachaad White for 9 yards (tackle by T.J. Edwards and Greg Stroman),1.470,2.140
2,0:57,2,1,TAM 47,10,10,Rachaad White up the middle for 3 yards (tackle by Tremaine Edmunds),2.140,2.260
2,0:53,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,0:53,1,10,TAM 50,10,10,Baker Mayfield pass complete short left to Mike Evans for 7 yards (tackle by T.J. Edwards),2.260,2.660
2,0:36,2,3,CHI 43,10,10,Baker Mayfield pass incomplete short left intended for Mike Evans,2.660,1.950
2,0:31,3,3,CHI 43,10,10,Baker Mayfield pass complete deep right to Trey Palmer for 20 yards (tackle by Elijah Hicks),1.950,4.040
2,0:26,1,10,CHI 23,10,10,Baker Mayfield pass incomplete deep right intended for Chris Godwin,4.040,3.500
2,0:22,2,10,CHI 23,10,10,"Baker Mayfield scrambles left end for 9 yards (tackle by Greg Stroman). Penalty on Greg Stroman: Unnecessary Roughness / Defense, 7 yards (accepted)",3.500,5.600
2,0:14,1,7,CHI 7,10,10,Baker Mayfield up the middle for 1 yard (tackle by Zacch Pickens),5.600,4.950
2,0:09,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,0:09,,,,,,Timeout #1 by Chicago Bears,,
2,0:09,2,6,CHI 6,10,10,Baker Mayfield pass incomplete short left,4.950,4.040
2,0:03,3,6,CHI 6,10,13,Chase McLaughlin 25 yard field goal good,4.040,3.000
Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,10,13,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CHI 25,10,13,Khalil Herbert up the middle for 8 yards (tackle by Ryan Neal and Antoine Winfield),0.610,1.140
3,14:24,2,2,CHI 33,10,13,Justin Fields pass incomplete short right intended for Chase Claypool,1.140,0.430
3,14:18,3,2,CHI 33,10,13,Khalil Herbert up the middle for 4 yards (tackle by Shaquil Barrett),0.430,1.400
3,13:49,1,10,CHI 37,10,13,Khalil Herbert right guard for 2 yards (tackle by Vita Vea),1.400,1.130
3,13:18,2,8,CHI 39,10,13,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",1.130,0.450
3,12:59,2,13,CHI 34,10,13,Justin Fields sacked by Joe Tryon-Shoyinka for -10 yards,0.450,-1.550
3,12:18,3,23,CHI 24,10,13,Justin Fields pass complete short right to Roschon Johnson for 8 yards (tackle by Zyon McCollum and Devin White),-1.550,-1.240
3,11:42,4,15,CHI 32,10,13,"Trenton Gill punts 47 yards downed by Velus Jones. Penalty on Josh Hayes: Offensive Holding, 10 yards (accepted)",-1.240,0.370
3,11:31,1,10,TAM 11,10,13,"Sean Tucker right tackle for no gain (tackle by Jack Sanborn). Penalty on Yannick Ngakoue: Defensive Offside, 5 yards (accepted) (no play)",-0.370,0.170
3,11:03,1,5,TAM 16,10,13,Sean Tucker up the middle for -3 yards (tackle by Andrew Billings and Jack Sanborn),0.170,-0.630
3,10:20,2,8,TAM 13,10,13,Baker Mayfield pass complete short left to Mike Evans for 36 yards (tackle by Tyrique Stevenson),-0.630,2.190
3,9:49,1,10,TAM 49,10,13,Sean Tucker up the middle for 7 yards (tackle by Greg Stroman and Elijah Hicks),2.190,2.590
3,9:12,2,3,CHI 44,10,13,Sean Tucker left guard for 2 yards (tackle by Rasheem Green),2.590,2.150
3,8:31,3,1,CHI 42,10,13,Baker Mayfield pass complete short middle to David Wells for 1 yard (tackle by Tremaine Edmunds),2.150,2.850
3,7:52,1,10,CHI 41,10,13,Baker Mayfield pass incomplete short middle intended for Chris Godwin (defended by Dominique Robinson),2.850,2.310
3,7:48,2,10,CHI 41,10,13,Rachaad White up the middle for 4 yards (tackle by Elijah Hicks and Yannick Ngakoue),2.310,2.080
3,7:02,3,7,CHI 37,10,13,Baker Mayfield pass complete short middle to Cade Otton for 5 yards (tackle by Tremaine Edmunds and T.J. Edwards),2.080,1.300
3,6:18,4,2,CHI 32,10,13,Rachaad White right end for 4 yards (tackle by Tyrique Stevenson),1.300,3.710
3,5:43,1,10,CHI 28,10,13,Baker Mayfield pass complete short left to Rakim Jarrett for 7 yards (tackle by Jaylon Johnson),3.710,4.110
3,5:02,2,3,CHI 21,10,13,"Baker Mayfield pass complete short right to David Wells for -11 yards. David Wells fumbles (forced by Jaylon Johnson), recovered by Baker Mayfield at CHI-32 (tackle by Jaylon Johnson)",4.110,1.950
3,4:14,3,14,CHI 32,10,19,"Baker Mayfield pass complete deep left to Mike Evans for 32 yards, touchdown",1.950,7.000
3,4:06,,,CHI 15,10,20,Chase McLaughlin kicks extra point good,0.000,0.000
3,4:06,,,TAM 35,10,20,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,4:06,1,10,CHI 25,10,20,Justin Fields left end for -3 yards (tackle by Christian Izien and Jamel Dean),0.610,-0.340
3,3:20,2,13,CHI 22,10,20,Justin Fields pass complete short right to D.J. Moore for 5 yards (tackle by Zyon McCollum and Christian Izien),-0.340,-0.360
3,2:42,3,8,CHI 27,10,20,Justin Fields pass complete short middle to Cole Kmet for 9 yards (tackle by Ryan Neal and Zyon McCollum),-0.360,1.330
3,2:06,1,10,CHI 36,10,20,Justin Fields pass incomplete deep left intended for Robert Tonyan,1.330,0.790
3,2:01,2,10,CHI 36,10,20,Khalil Herbert right end for 8 yards (tackle by Ryan Neal and Christian Izien),0.790,1.160
3,1:15,3,2,CHI 44,10,20,Khalil Herbert left end for 2 yards (tackle by Jamel Dean),1.160,1.990
3,0:52,1,10,CHI 46,10,20,Justin Fields pass incomplete short middle intended for Chase Claypool,1.990,1.450
3,0:48,2,10,CHI 46,10,20,"Justin Fields sacked by Devin White for no gain. Justin Fields fumbles (forced by Devin White), recovered by Christian Izien at CHI-48 (tackle by Tyler Scott) Replay Assistant challenged the fumble ruling, and the original play was overturned. Justin Fields pass incomplete short right intended for D.J. Moore (defended by Devin White)",1.450,0.760
3,0:46,3,10,CHI 46,10,20,"Justin Fields pass intended for Chase Claypool is intercepted by Zyon McCollum at TB-44 and returned for no gain Replay Assistant challenged the pass completion ruling, and the original play was overturned. Justin Fields pass incomplete short right intended for Chase Claypool (defended by Zyon McCollum)",0.760,-0.320
3,0:41,4,10,CHI 46,10,20,Trenton Gill punts 34 yards downed by Travis Homer,-0.320,-0.280
3,0:32,1,10,TAM 20,10,20,Baker Mayfield pass complete short left to Cade Otton for 3 yards (tackle by Andrew Billings and Tremaine Edmunds),0.280,0.140
Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,TAM 23,10,20,Sean Tucker up the middle for -3 yards (tackle by Greg Stroman),0.140,-0.960
4,14:31,3,10,TAM 20,10,20,Baker Mayfield pass complete short right to Cade Otton for 9 yards (tackle by Tremaine Edmunds and Jaquan Brisker),-0.960,-1.440
4,13:42,4,1,TAM 29,10,20,Jake Camarda punts 55 yards out of bounds,-1.440,0.140
4,13:34,1,10,CHI 16,10,20,Justin Fields pass incomplete short left,-0.140,-0.660
4,13:26,2,10,CHI 16,10,20,Roschon Johnson left guard for no gain (tackle by Greg Gaines),-0.660,-1.320
4,12:45,3,10,CHI 16,10,20,Justin Fields pass incomplete short right intended for Cole Kmet (defended by Logan Hall),-1.320,-2.390
4,12:39,4,10,CHI 16,10,20,Trenton Gill punts 49 yards out of bounds,-2.390,-1.270
4,12:31,1,10,TAM 35,10,20,Rachaad White right tackle for 2 yards (tackle by Jack Sanborn),1.270,0.990
4,12:05,2,8,TAM 37,10,20,"Baker Mayfield pass complete short left to Chris Godwin for 1 yard (tackle by Elijah Hicks). Penalty on Mike Evans: Offensive Holding, 10 yards (accepted)",0.990,-0.220
4,11:43,2,17,TAM 28,10,20,Baker Mayfield pass complete short left to Rachaad White for 8 yards (tackle by T.J. Edwards),-0.220,0.170
4,11:02,3,9,TAM 36,10,20,Baker Mayfield pass complete short middle to Mike Evans for 6 yards (tackle by Greg Stroman),0.170,-0.590
4,10:18,4,3,TAM 42,10,20,"Jake Camarda punts 48 yards, fair catch by Trent Taylor at CHI-10",-0.590,0.380
4,10:10,1,10,CHI 10,10,20,Justin Fields pass complete short left to Cole Kmet for 7 yards (tackle by Jamel Dean),-0.380,-0.090
4,9:37,2,3,CHI 17,10,20,Khalil Herbert up the middle for 6 yards (tackle by Ryan Neal and Lavonte David),-0.090,0.480
4,9:12,1,10,CHI 23,10,20,Justin Fields pass complete short left to Khalil Herbert for 23 yards (tackle by Jamel Dean),0.480,1.990
4,8:41,1,10,CHI 46,10,20,"Justin Fields aborted snap, recovered by Justin Fields at CHI-38 and returned for -8 yards",1.990,0.370
4,7:59,2,18,CHI 38,10,20,Justin Fields pass complete short right to Chase Claypool for 8 yards (tackle by Christian Izien),0.370,0.760
4,7:21,3,10,CHI 46,10,20,Justin Fields pass complete deep middle to D.J. Moore for 22 yards (tackle by Jamel Dean),0.760,3.450
4,6:59,1,10,TAM 32,10,20,Justin Fields pass complete short left to D.J. Moore for 12 yards,3.450,4.240
4,6:23,1,10,TAM 20,16,20,"Justin Fields pass complete deep middle to Chase Claypool for 20 yards, touchdown",4.240,7.000
4,6:17,,,TAM 15,17,20,Cairo Santos kicks extra point good,0.000,0.000
4,6:17,,,CHI 35,17,20,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
4,6:17,1,10,TAM 25,17,20,Rachaad White up the middle for 5 yards (tackle by T.J. Edwards and Tyrique Stevenson),0.610,0.740
4,5:39,2,5,TAM 30,17,20,Baker Mayfield pass incomplete short right,0.740,0.040
4,5:31,3,5,TAM 30,17,20,Baker Mayfield pass complete short right to Rachaad White for 8 yards (tackle by Elijah Hicks and Tremaine Edmunds),0.040,1.470
4,4:56,1,10,TAM 38,17,20,Rachaad White up the middle for 3 yards (tackle by Tremaine Edmunds and Jaquan Brisker),1.470,1.330
4,4:12,2,7,TAM 41,17,20,Rachaad White right end for 13 yards (tackle by Jaquan Brisker and Tyrique Stevenson),1.330,2.520
4,3:27,1,10,CHI 46,17,20,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",2.520,2.190
4,3:27,1,15,TAM 49,17,20,Sean Tucker right guard for no gain (tackle by Jack Sanborn),2.190,1.300
4,2:49,2,15,TAM 49,17,20,Rachaad White right end for -2 yards (tackle by DeMarcus Walker),1.300,0.370
4,2:43,,,,,,Timeout #1 by Chicago Bears,,
4,2:43,3,17,TAM 47,17,20,Baker Mayfield pass complete short middle to Chris Godwin for 10 yards (tackle by Greg Stroman and Tremaine Edmunds),0.370,0.400
4,2:38,,,,,,Timeout #2 by Chicago Bears,,
4,2:38,4,7,CHI 43,17,20,Jake Camarda punts 36 yards downed by Derrek Pitts,0.400,0.380
4,2:24,1,10,CHI 7,17,20,"Penalty on Shaquil Barrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.380,-0.120
4,2:24,1,5,CHI 12,17,20,"Justin Fields pass complete short right to Khalil Herbert for no gain (tackle by Lavonte David). Penalty on Chase Claypool: Offensive Pass Interference, 6 yards (accepted) (no play)",-0.120,-0.420
4,2:12,1,11,CHI 6,17,26,"Justin Fields pass short middle intended for Khalil Herbert is intercepted by Shaquil Barrett at CHI-4 and returned for 4 yards, touchdown",-0.420,-7.000
4,2:03,,,CHI 15,17,27,Chase McLaughlin kicks extra point good,0.000,0.000
4,2:03,,,TAM 35,17,27,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
4,2:03,1,10,CHI 25,17,27,Justin Fields pass complete short right to Roschon Johnson for 2 yards (tackle by YaYa Diaby),0.610,0.330
4,1:55,2,8,CHI 27,17,27,Justin Fields sacked by Vita Vea for -11 yards,0.330,-2.140
4,1:17,3,19,CHI 16,17,27,Justin Fields pass short middle (defended by Antoine Winfield) intended for Chase Claypool is intercepted by Christian Izien at CHI-29 and returned for 4 yards (tackle by Roschon Johnson),-2.140,-3.910
4,1:07,1,10,CHI 25,17,27,Baker Mayfield kneels for -1 yards,3.910,3.230
4,0:39,2,11,CHI 26,17,27,Baker Mayfield kneels for -1 yards,3.230,2.410
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
