Unnamed: 0,CHI,TAM
First Downs,14,19
Rush-Yds-TDs,16-67-1,34-120-1
Cmp-Att-Yd-TD-INT,16-29-211-1-2,26-34-317-1-0
Sacked-Yards,6-42,0-0
Net Pass Yards,169,317
Total Yards,236,437
Fumbles-Lost,2-0,2-0
Turnovers,2,0
Penalties-Yards,5-28,7-54
Third Down Conv.,6-13,8-15
Fourth Down Conv.,0-0,1-1
Time of Possession,24:04,35:56
