Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Khalil Herbert,CHI,7,35,0,3,12,1.7,23,3.3,5,1.4
Justin Fields,CHI,4,3,1,1,-2,-0.5,5,1.3,1,4.0
Roschon Johnson,CHI,4,32,0,1,30,7.5,2,0.5,1,4.0
Velus Jones Jr.,CHI,1,-3,0,,-3,-3.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Rachaad White,TAM,17,73,1,6,31,1.8,42,2.5,4,4.3
Sean Tucker,TAM,8,7,0,,2,0.3,5,0.6,1,8.0
Baker Mayfield,TAM,6,17,0,0,8,1.3,9,1.5,1,6.0
Chase Edmonds,TAM,2,12,0,1,10,5.0,2,1.0,0,
Deven Thompkins,TAM,1,11,0,1,9,9.0,2,2.0,0,
