Unnamed: 0,KAN,NYG
First Downs,22,20
Rush-Yds-TDs,29-134-0,32-112-1
Cmp-Att-Yd-TD-INT,27-41-230-0-3,19-36-205-0-1
Sacked-Yards,1-1,0-0
Net Pass Yards,229,205
Total Yards,363,317
Fumbles-Lost,1-0,1-0
Turnovers,3,1
Penalties-Yards,9-87,5-48
Third Down Conv.,3-11,3-13
Fourth Down Conv.,1-1,2-3
Time of Possession,37:16,30:50
