Quarter,Time,Tm,Detail,KAN,NYG
2,13:26,Giants,Orleans Darkwa 1 yard rush (Aldrick Rosas kick failed),0,6
,4:09,Chiefs,Harrison Butker 31 yard field goal,3,6
4,13:30,Chiefs,Harrison Butker 31 yard field goal,6,6
,1:38,Giants,Aldrick Rosas 26 yard field goal,6,9
,0:01,Chiefs,Harrison Butker 23 yard field goal,9,9
OT,1:54,Giants,Aldrick Rosas 23 yard field goal,9,12
