Quarter,Time,Down,ToGo,Location,KAN,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Aldrick Rosas kicks off 58 yards, returned by Akeem Hunt for 10 yards (tackle by Wayne Gallman)",0.000,0.060
1,14:53,1,10,KAN 17,0,0,Alex Smith pass complete short right to Travis Kelce for 22 yards (tackle by Ross Cockrell and Calvin Munson),-0.060,1.530
1,14:26,1,10,KAN 39,0,0,Alex Smith pass complete short right to Tyreek Hill for 5 yards (tackle by Damon Harrison),1.530,1.660
1,13:57,2,5,KAN 44,0,0,Alex Smith pass incomplete deep left intended for Travis Kelce,1.660,0.960
1,13:50,3,5,KAN 44,0,0,"Alex Smith sacked by Olivier Vernon for -2 yards. Penalty on Jason Pierre-Paul: Defensive Offside, 5 yards (no play)",0.960,2.190
1,13:25,1,10,KAN 49,0,0,Kareem Hunt left end for 1 yard (tackle by Dalvin Tomlinson and Calvin Munson),2.190,1.780
1,12:49,2,9,,0,0,Akeem Hunt right tackle for 3 yards (tackle by Calvin Munson and Jonathan Casillas),1.780,1.490
1,12:06,3,6,NYG 47,0,0,Alex Smith pass complete short right to Charcandrick West for 1 yard (tackle by Landon Collins),1.490,0.200
1,11:21,4,5,NYG 46,0,0,"Dustin Colquitt punts 28 yards, fair catch by Kalif Raymond",0.200,-0.040
1,11:13,1,10,NYG 18,0,0,Eli Manning pass complete short right to Evan Engram for 9 yards (tackle by Ron Parker),0.040,0.820
1,10:33,2,1,NYG 27,0,0,Orleans Darkwa middle for 5 yards (tackle by Frank Zombo),0.820,1.070
1,9:59,1,10,NYG 32,0,0,Orleans Darkwa middle for -1 yards (tackle by Reggie Ragland),1.070,0.390
1,9:14,2,11,NYG 31,0,0,Shane Vereen left guard for 1 yard (tackle by Justin Houston),0.390,-0.160
1,8:37,3,10,NYG 32,0,0,Eli Manning pass complete short middle to Travis Rudolph for 9 yards (tackle by Steven Nelson and Derrick Johnson),-0.160,-0.650
1,7:59,4,1,NYG 41,0,0,Nat Berhe middle for 2 yards (tackle by Kevin Pierre-Louis),-0.650,1.800
1,7:14,1,10,NYG 43,0,0,Eli Manning pass complete short right to Rhett Ellison for 7 yards (tackle by Justin Houston and Marcus Peters),1.800,2.200
1,6:42,2,3,,0,0,Orleans Darkwa left guard for no gain (tackle by Reggie Ragland and Justin Houston),2.200,1.490
1,5:58,3,3,,0,0,Eli Manning pass complete deep left to Travis Rudolph for 19 yards,1.490,3.510
1,5:32,1,10,KAN 31,0,0,Eli Manning pass complete short middle to Shane Vereen for 7 yards (tackle by Daniel Sorensen),3.510,3.910
1,4:55,2,3,KAN 24,0,0,Orleans Darkwa right guard for 6 yards (tackle by Reggie Ragland),3.910,4.370
1,4:19,1,10,KAN 18,0,0,Shane Vereen pass incomplete deep right intended for Evan Engram is intercepted by Daniel Sorensen at KAN-1 and returned for 3 yards,4.370,0.380
1,4:09,1,10,KAN 4,0,0,Alex Smith pass complete short middle to Travis Kelce for 4 yards (tackle by Ross Cockrell and Calvin Munson),-0.380,-0.490
1,3:30,2,6,KAN 8,0,0,Alex Smith pass complete short right to Tyreek Hill for 5 yards (tackle by Janoris Jenkins),-0.490,-0.370
1,2:54,3,1,KAN 13,0,0,Kareem Hunt right guard for 7 yards (tackle by Darian Thompson),-0.370,0.280
1,2:15,1,10,KAN 20,0,0,Kareem Hunt left guard for 7 yards (tackle by Calvin Munson),0.280,0.680
1,1:32,2,3,KAN 27,0,0,Alex Smith pass complete short left to Demarcus Robinson for 7 yards,0.680,1.200
1,0:59,1,10,KAN 34,0,0,Alex Smith pass incomplete,1.200,0.660
1,0:51,2,10,KAN 34,0,0,Alex Smith pass incomplete short middle intended for Travis Kelce is intercepted by Damon Harrison at KAN-35 and returned for 9 yards,0.660,-3.840
1,0:43,1,10,KAN 26,0,0,Eli Manning pass incomplete short right intended for Orleans Darkwa,3.840,3.300
1,0:39,2,10,KAN 26,0,0,Orleans Darkwa left tackle for 2 yards (tackle by Steven Nelson and Daniel Sorensen),3.300,2.870
Quarter,Time,Down,ToGo,Location,KAN,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,KAN 24,0,0,Eli Manning right end for 8 yards (tackle by Ron Parker),2.870,4.510
2,14:19,1,10,KAN 16,0,0,Orleans Darkwa right guard for 3 yards (tackle by Kevin Pierre-Louis),4.510,4.390
2,13:39,2,7,KAN 13,0,0,Eli Manning pass incomplete short left intended for Orleans Darkwa,4.390,3.540
2,13:35,3,7,KAN 13,0,0,"Eli Manning pass incomplete short right intended for Tavarres King (defended by Marcus Peters). Penalty on Marcus Peters: Defensive Pass Interference, 12 yards (no play)",3.540,6.970
2,13:30,1,1,KAN 1,0,6,"Orleans Darkwa right tackle for 1 yard, touchdown",6.970,7.000
2,13:26,,,KAN 15,0,6,Aldrick Rosas kicks extra point no good,0.000,-1.000
2,13:26,,,NYG 35,0,6,"Aldrick Rosas kicks off 68 yards, returned by De'Anthony Thomas for 39 yards (tackle by Nat Berhe). Penalty on Kenneth Acker: Offensive Holding, 10 yards",0.000,-0.670
2,13:18,1,10,KAN 26,0,6,Kareem Hunt left tackle for 5 yards (tackle by Landon Collins and Jay Bromley),0.670,0.810
2,12:44,2,5,KAN 31,0,6,Charcandrick West left guard for 3 yards (tackle by Dalvin Tomlinson),0.810,0.500
2,12:07,3,2,KAN 34,0,6,Alex Smith right end for 2 yards (tackle by Jason Pierre-Paul),0.500,1.330
2,11:26,1,10,KAN 36,0,6,Tyreek Hill left end for 16 yards (tackle by Ross Cockrell),1.330,2.390
2,10:53,1,10,NYG 48,0,6,Alex Smith pass complete short middle to Anthony Sherman for 11 yards (tackle by Calvin Munson),2.390,3.120
2,10:11,1,10,NYG 37,0,6,Alex Smith pass complete short left to Kareem Hunt for 2 yards (tackle by Andrew Adams),3.120,2.840
2,9:44,2,8,NYG 35,0,6,"Alex Smith pass complete short middle to Kareem Hunt for 12 yards (tackle by Ross Cockrell and Jonathan Casillas). Penalty on Laurent Duvernay-Tardif: Ineligible Downfield Pass, 5 yards (no play)",2.840,2.170
2,9:11,2,13,NYG 40,0,6,Alex Smith pass complete short right to Travis Kelce for 9 yards (tackle by Andrew Adams),2.170,2.680
2,8:23,3,4,NYG 31,0,6,Alex Smith sacked by Devon Kennard for -1 yards,2.680,0.000
2,7:36,,,,,,Timeout #1 by Kansas City Chiefs,0.000,-1.260
2,7:36,4,5,NYG 32,0,6,Alex Smith right guard for 6 yards (tackle by Jason Pierre-Paul and Dominique Rodgers-Cromartie),1.260,3.840
2,6:57,1,10,NYG 26,0,6,"Kareem Hunt left end for 18 yards (tackle by Janoris Jenkins). Penalty on Zach Fulton: Offensive Holding, 10 yards (no play)",3.840,3.180
2,6:26,1,20,NYG 36,0,6,Charcandrick West right tackle for 1 yard (tackle by Avery Moss and Landon Collins),3.180,2.080
2,5:44,2,19,NYG 35,0,6,Alex Smith pass complete deep right to Travis Kelce for 21 yards (tackle by Darian Thompson),2.080,4.650
2,5:04,1,10,NYG 14,0,6,Alex Smith pass incomplete (defended by Jason Pierre-Paul),4.650,4.000
2,4:59,2,10,NYG 14,0,6,Alex Smith pass complete short right to Kareem Hunt for 1 yard (tackle by Jonathan Casillas),4.000,3.260
2,4:16,3,9,NYG 13,0,6,Alex Smith pass incomplete short left intended for Travis Kelce,3.260,2.570
2,4:13,4,9,NYG 13,3,6,Harrison Butker 31 yard field goal good,2.570,3.000
2,4:09,,,KAN 35,3,6,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
2,4:09,1,10,NYG 25,3,6,Wayne Gallman right tackle for 9 yards (tackle by Ron Parker),0.610,1.280
2,3:33,2,1,NYG 34,3,6,Eli Manning pass incomplete short left intended for Evan Engram,1.280,0.560
2,3:29,3,1,NYG 34,3,6,Wayne Gallman left guard for no gain (tackle by Cam Thomas and Marcus Peters),0.560,-1.110
2,2:55,4,1,NYG 34,3,6,"Brad Wing punts 48 yards, out of bounds",-1.110,-0.040
2,2:47,1,10,KAN 18,3,6,Alex Smith pass incomplete short left intended for Kareem Hunt,0.040,-0.490
2,2:43,2,10,KAN 18,3,6,Alex Smith pass complete short middle to Travis Kelce for 8 yards (tackle by Calvin Munson and Jonathan Casillas),-0.490,-0.140
2,2:00,3,2,KAN 26,3,6,Alex Smith pass incomplete deep right intended for Ross Travis,-0.140,-1.630
2,1:54,4,2,KAN 26,3,6,"Dustin Colquitt punts 49 yards, muffed catch by Kalif Raymond, recovered by Kalif Raymond and returned for no gain",-1.630,-0.810
2,1:43,1,10,NYG 28,3,6,Eli Manning pass complete short left to Shane Vereen for no gain,0.810,0.260
2,1:22,2,10,NYG 28,3,6,Eli Manning pass incomplete short left intended for Travis Rudolph,0.260,-0.430
2,1:18,3,10,NYG 28,3,6,Eli Manning pass complete short middle to Travis Rudolph for 6 yards (tackle by Steven Nelson),-0.430,0.000
2,1:10,,,,,,Timeout #2 by Kansas City Chiefs,0.000,1.110
