Unnamed: 0,GNB,CHI
First Downs,17,21
Rush-Yds-TDs,19-79-1,31-108-1
Cmp-Att-Yd-TD-INT,19-24-240-4-0,33-42-252-0-1
Sacked-Yards,1-3,1-4
Net Pass Yards,237,248
Total Yards,316,356
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,4-30,1-16
Third Down Conv.,4-7,6-15
Fourth Down Conv.,0-0,5-6
Time of Possession,24:32,35:28
