Unnamed: 0,WAS,JAX
First Downs,23,18
Rush-Yds-TDs,16-68-0,32-142-2
Cmp-Att-Yd-TD-INT,27-51-256-1-3,19-29-194-0-0
Sacked-Yards,2-17,3-27
Net Pass Yards,239,167
Total Yards,307,309
Fumbles-Lost,1-0,1-0
Turnovers,3,0
Penalties-Yards,6-49,8-55
Third Down Conv.,3-12,6-15
Fourth Down Conv.,1-3,0-0
Time of Possession,26:17,33:43
