Quarter,Time,Tm,Detail,WAS,GNB
1.0,9:06,Packers,Aaron Jones 4 yard rush (Mason Crosby kick),0,7
,0:34,Packers,Robert Tonyan 12 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2.0,3:44,Redskins,Adrian Peterson 2 yard rush (Dustin Hopkins kick failed),6,14
3.0,10:08,Packers,Mason Crosby 32 yard field goal,6,17
,0:11,Redskins,Dustin Hopkins 52 yard field goal,9,17
4.0,2:34,Packers,Mason Crosby 33 yard field goal,9,20
,1:17,Redskins,Terry McLaurin 13 yard pass from Dwayne Haskins (run failed),15,20
