Unnamed: 0,WAS,GNB
First Downs,18,18
Rush-Yds-TDs,28-121-1,28-174-1
Cmp-Att-Yd-TD-INT,16-27-170-1-1,18-28-195-1-0
Sacked-Yards,4-29,4-28
Net Pass Yards,141,167
Total Yards,262,341
Fumbles-Lost,2-0,1-1
Turnovers,1,1
Penalties-Yards,3-25,5-34
Third Down Conv.,4-11,5-13
Fourth Down Conv.,0-0,2-2
Time of Possession,29:36,30:24
