Quarter,Time,Down,ToGo,Location,WAS,GNB,Detail,EPB,EPA
2,11:22,1,10,GNB 12,0,14,Aaron Jones up the middle for 42 yards (tackle by Montae Nicholson),-0.350,2.520
2,10:34,1,10,WAS 46,0,14,Aaron Rodgers pass incomplete deep left intended for Jimmy Graham,2.520,1.980
2,10:27,2,10,WAS 46,0,14,Aaron Jones left end for 1 yard (tackle by Cole Holcomb),1.980,1.420
2,9:42,3,9,WAS 45,0,14,Aaron Rodgers pass incomplete short middle intended for Jimmy Graham (defended by Shaun Dion Hamilton),1.420,0.270
2,9:37,4,9,WAS 45,0,14,"JK Scott punts 40 yards, fair catch by Steven Sims at WAS-5",0.270,0.380
2,9:30,1,10,WAS 5,0,14,Derrius Guice left tackle for 7 yards (tackle by Blake Martinez and B.J. Goodson),-0.380,-0.270
2,8:53,2,3,WAS 12,0,14,Derrius Guice left guard for 7 yards (tackle by Blake Martinez and Rashan Gary),-0.270,0.150
2,8:18,1,10,WAS 19,0,14,Derrius Guice up the middle for 4 yards (tackle by Ibraheim Campbell),0.150,0.210
2,7:40,2,6,WAS 23,0,14,Adrian Peterson up the middle for 11 yards (tackle by Tramon Williams and B.J. Goodson),0.210,1.200
2,7:03,1,10,WAS 34,0,14,Derrius Guice right end for 23 yards (tackle by Darnell Savage),1.200,2.720
2,6:42,1,10,GNB 43,0,14,Adrian Peterson left guard for 1 yard (tackle by Blake Martinez and Tyler Lancaster),2.720,2.310
2,6:05,2,9,GNB 42,0,14,Adrian Peterson up the middle for 13 yards (tackle by B.J. Goodson and Blake Martinez),2.310,3.640
2,5:24,1,10,GNB 29,0,14,"Adrian Peterson left end for -3 yards (tackle by Za'Darius Smith). Adrian Peterson fumbles (forced by Za'Darius Smith), recovered by Adrian Peterson at GB-32",3.640,2.700
2,4:41,2,13,GNB 32,0,14,Dwayne Haskins pass incomplete short left intended for Steven Sims (defended by Blake Martinez),2.700,2.020
2,4:37,3,13,GNB 32,0,14,Dwayne Haskins pass complete deep middle to Kelvin Harmon for 30 yards (tackle by Adrian Amos and Darnell Savage),2.020,6.740
2,3:48,1,2,GNB 2,6,14,"Adrian Peterson right end for 2 yards, touchdown",6.740,7.000
2,3:44,,,GNB 15,6,14,Dustin Hopkins kicks extra point no good wide right,0.000,-1.000
2,3:44,,,WAS 35,6,14,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,3:44,1,10,GNB 25,6,14,Aaron Rodgers pass complete short left to Allen Lazard for 2 yards (tackle by Fabian Moreau),0.610,0.330
2,3:01,2,8,GNB 27,6,14,Aaron Rodgers pass incomplete short left intended for Jamaal Williams,0.330,-0.360
2,2:57,3,8,GNB 27,6,14,Aaron Rodgers pass complete short middle to Allen Lazard for 17 yards (tackle by Jimmy Moreland),-0.360,1.860
2,2:14,1,10,GNB 44,6,14,Aaron Rodgers pass complete short right to Davante Adams for 15 yards (tackle by Simeon Thomas),1.860,2.850
2,2:00,1,10,WAS 41,6,14,"Penalty on Allen Lazard: False Start, 5 yards (no play)",2.850,2.520
2,2:00,1,15,WAS 46,6,14,Aaron Rodgers sacked by Da'Ron Payne for -2 yards,2.520,1.360
2,1:16,2,17,WAS 48,6,14,Aaron Rodgers pass complete short left to Davante Adams for 12 yards (tackle by Simeon Thomas and Jimmy Moreland),1.360,2.280
2,1:10,,,,,,Timeout #2 by Green Bay Packers,,
2,1:10,3,5,WAS 36,6,14,Aaron Rodgers pass incomplete short left intended for Davante Adams,2.280,0.880
2,1:05,4,5,WAS 36,6,14,Aaron Rodgers pass complete short left to Davante Adams for 9 yards (tackle by Landon Collins),0.880,3.780
2,0:58,1,10,WAS 27,6,14,"Aaron Rodgers sacked by Ryan Anderson for -13 yards. Aaron Rodgers fumbles (forced by Ryan Anderson), recovered by Ryan Anderson at WAS-40 (tackle by Bryan Bulaga)",3.780,-1.600
2,0:51,1,10,WAS 40,6,14,Dwayne Haskins pass complete short right to Chris Thompson for 3 yards (tackle by Chandon Sullivan),1.600,1.460
2,0:28,2,7,WAS 43,6,14,Dwayne Haskins pass complete short middle to Steven Sims for 11 yards (tackle by Adrian Amos),1.460,2.520
2,0:21,,,,,,Timeout #1 by Washington Redskins,,
2,0:21,1,10,GNB 46,6,14,"Dwayne Haskins sacked by Blake Martinez for no gain. Penalty on Josh Jackson: Illegal Substitution, 5 yards (no play)",2.520,3.250
2,0:15,1,5,GNB 41,6,14,Dwayne Haskins pass incomplete deep middle intended for Kelvin Harmon,3.250,2.650
2,0:08,2,5,GNB 41,6,14,Dwayne Haskins pass deep left intended for Kelvin Harmon is intercepted by Adrian Amos at GB-24 and returned for 3 yards,2.650,-0.740
2,0:01,1,10,GNB 27,6,14,Aaron Rodgers kneels for -1 yards,0.740,0.060
Quarter,Time,Down,ToGo,Location,WAS,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,6,14,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,6,14,Aaron Rodgers pass complete short left to Aaron Jones for 15 yards (tackle by Cole Holcomb),0.610,1.600
3,14:29,1,10,GNB 40,6,14,Aaron Jones right end for 23 yards (tackle by Jonathan Allen),1.600,3.120
3,13:40,1,10,WAS 37,6,14,Aaron Jones right guard for 5 yards (tackle by Jonathan Allen),3.120,3.250
3,13:01,2,5,WAS 32,6,14,Aaron Rodgers pass complete short left to Aaron Jones for 4 yards (tackle by Cole Holcomb),3.250,3.070
3,12:35,3,1,WAS 28,6,14,Aaron Rodgers pass incomplete short right,3.070,1.720
3,12:30,4,1,WAS 28,6,14,Jamaal Williams left guard for 7 yards (tackle by Nate Orchard and Cole Holcomb),1.720,4.170
3,11:50,1,10,WAS 21,6,14,Aaron Jones left end for no gain (tackle by Montez Sweat),4.170,3.630
3,11:05,2,10,WAS 21,6,14,Aaron Jones right end for 6 yards (tackle by Matthew Ioannidis),3.630,3.810
3,10:19,3,4,WAS 15,6,14,Aaron Rodgers pass incomplete short right intended for Davante Adams,3.810,2.520
3,10:11,4,4,WAS 15,6,17,Mason Crosby 32 yard field goal good,2.520,3.000
3,10:08,,,GNB 35,6,17,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,10:08,1,10,WAS 25,6,17,"Adrian Peterson right end for 18 yards (tackle by Tramon Williams). Penalty on Morgan Moses: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,9:43,1,20,WAS 15,6,17,Dwayne Haskins pass incomplete short middle intended for Steven Sims,-0.410,-1.430
3,9:38,2,20,WAS 15,6,17,"Dwayne Haskins pass complete short middle to Chris Thompson for 3 yards (tackle by Darnell Savage). Chris Thompson fumbles (forced by Darnell Savage), recovered by Terry McLaurin at WAS-25 (tackle by Dean Lowry)",-1.430,-0.620
3,8:51,3,10,WAS 25,6,17,Dwayne Haskins sacked by Kenny Clark for -9 yards,-0.620,-2.390
3,8:09,4,19,WAS 16,6,17,"Tress Way punts 44 yards, returned by Tyler Ervin for 11 yards (tackle by Jeremy Reaves)",-2.390,-2.320
3,7:58,1,10,WAS 49,6,17,Aaron Rodgers pass incomplete short left intended for Danny Vitale,2.320,1.780
3,7:50,2,10,WAS 49,6,17,Aaron Rodgers pass complete short right to Marcedes Lewis for 5 yards (tackle by Jimmy Moreland),1.780,1.750
3,7:02,3,5,WAS 44,6,17,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,1.750,0.330
3,6:52,4,5,WAS 44,6,17,"JK Scott punts 44 yards, touchback.",0.330,-0.280
3,6:45,1,10,WAS 20,6,17,Adrian Peterson right end for 5 yards (tackle by Tyler Lancaster),0.280,0.410
3,6:11,2,5,WAS 25,6,17,Adrian Peterson up the middle for 1 yard (tackle by Adrian Amos and Blake Martinez),0.410,-0.160
3,5:33,3,4,WAS 26,6,17,Dwayne Haskins pass complete short left to Steven Sims for 8 yards (tackle by Tramon Williams),-0.160,1.200
3,5:04,1,10,WAS 34,6,17,Adrian Peterson left end for 5 yards (tackle by B.J. Goodson),1.200,1.330
3,4:26,2,5,WAS 39,6,17,Dwayne Haskins pass incomplete deep left intended for Steven Sims (defended by Adrian Amos),1.330,0.630
3,4:19,3,5,WAS 39,6,17,"Penalty on Morgan Moses: False Start, 5 yards (no play)",0.630,-0.030
3,4:19,3,10,WAS 34,6,17,"Dwayne Haskins pass incomplete short middle intended for Steven Sims. Penalty on Tramon Williams: Defensive Pass Interference, 14 yards (no play)",-0.030,2.130
3,4:14,1,10,WAS 48,6,17,Adrian Peterson left end for 4 yards (tackle by Adrian Amos),2.130,2.120
3,3:30,2,6,GNB 48,6,17,Wendell Smallwood left tackle for 4 yards (tackle by Kenny Clark),2.120,1.950
3,2:47,3,2,GNB 44,6,17,Dwayne Haskins pass complete short middle to Terry McLaurin for 8 yards (tackle by Jaire Alexander),1.950,3.180
3,2:03,1,10,GNB 36,6,17,Adrian Peterson left end for 1 yard (tackle by Rashan Gary),3.180,2.770
3,1:24,2,9,GNB 35,6,17,Dwayne Haskins left end for -1 yards (tackle by Za'Darius Smith),2.770,1.950
3,0:59,3,10,GNB 36,6,17,Dwayne Haskins pass complete short right to Chris Thompson for 2 yards (tackle by Kyler Fackrell and Blake Martinez),1.950,1.060
3,0:16,4,8,GNB 34,9,17,Dustin Hopkins 52 yard field goal good,1.060,3.000
3,0:11,,,WAS 35,9,17,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,0:11,1,10,GNB 25,9,17,Aaron Jones left end for 10 yards (tackle by Jimmy Moreland),0.610,1.270
Quarter,Time,Down,ToGo,Location,WAS,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 35,9,17,Aaron Jones right end for -5 yards (tackle by Jimmy Moreland),1.270,0.050
4,14:22,2,15,GNB 30,9,17,Aaron Rodgers up the middle for 6 yards (tackle by Jonathan Bostic),0.050,0.170
4,13:36,3,9,GNB 36,9,17,Aaron Rodgers pass incomplete deep left intended for Aaron Jones,0.170,-0.980
4,13:30,4,9,GNB 36,9,17,"JK Scott punts 40 yards, returned by Steven Sims for 6 yards (tackle by Will Redmond and Ibraheim Campbell)",-0.980,-0.940
4,13:19,1,10,WAS 30,9,17,Adrian Peterson right guard for 4 yards (tackle by Tyler Lancaster),0.940,0.930
4,12:46,2,6,WAS 34,9,17,Adrian Peterson right tackle for 4 yards (tackle by Adrian Amos and Blake Martinez),0.930,0.760
4,12:22,3,2,WAS 38,9,17,Dwayne Haskins pass complete short right to Steven Sims for 8 yards (tackle by Chandon Sullivan),0.760,1.990
4,11:36,1,10,WAS 46,9,17,Adrian Peterson up the middle for 4 yards (tackle by Dean Lowry and Tyler Lancaster),1.990,1.990
4,10:49,2,6,WAS 50,9,17,Wendell Smallwood left guard for no gain (tackle by B.J. Goodson),1.990,1.290
4,10:10,3,6,WAS 50,9,17,Dwayne Haskins pass incomplete deep middle intended for Kelvin Harmon,1.290,-0.060
4,10:05,4,6,WAS 50,9,17,"Tress Way punts 39 yards, fair catch by Tyler Ervin at GB-11",-0.060,0.370
4,9:58,1,10,GNB 11,9,17,Aaron Rodgers sacked by Matthew Ioannidis for -6 yards,-0.370,-1.220
4,9:14,2,16,GNB 5,9,17,Aaron Rodgers pass complete short right to Aaron Jones for 2 yards (tackle by Shaun Dion Hamilton),-1.220,-1.890
4,8:28,3,14,GNB 7,9,17,Aaron Rodgers pass complete deep right to Aaron Jones for 25 yards (tackle by Montae Nicholson),-1.890,1.070
4,7:26,1,10,GNB 32,9,17,Jamaal Williams right tackle for 2 yards (tackle by Jonathan Bostic),1.070,0.800
4,6:44,2,8,GNB 34,9,17,Jamaal Williams right end for 5 yards (tackle by Montez Sweat and Shaun Dion Hamilton),0.800,0.760
4,5:59,3,3,GNB 39,9,17,Aaron Jones up the middle for 5 yards (tackle by Jonathan Allen and Jonathan Bostic),0.760,1.860
4,5:14,1,10,GNB 44,9,17,Aaron Rodgers pass complete short right to Jimmy Graham for 4 yards (tackle by Landon Collins),1.860,1.860
4,4:39,2,6,GNB 48,9,17,Aaron Rodgers pass complete short right to Geronimo Allison for 11 yards (tackle by Fabian Moreau),1.860,2.850
4,4:21,1,10,WAS 41,9,17,Aaron Rodgers pass complete short right to Davante Adams for 5 yards (tackle by Jimmy Moreland),2.850,2.980
4,3:44,2,5,WAS 36,9,17,Aaron Jones right tackle for 12 yards (tackle by Simeon Thomas and Jonathan Bostic),2.980,3.970
4,3:34,,,,,,Timeout #1 by Washington Redskins,,
4,3:34,1,10,WAS 24,9,17,Aaron Jones right guard for 5 yards (tackle by Ryan Anderson and Jonathan Bostic),3.970,4.120
4,3:27,,,,,,Timeout #2 by Washington Redskins,,
4,3:27,2,5,WAS 19,9,17,Jamaal Williams up the middle for 3 yards (tackle by Jonathan Allen),4.120,3.950
4,2:43,3,2,WAS 16,9,17,Jamaal Williams up the middle for 1 yard (tackle by Jonathan Bostic),3.950,2.590
4,2:38,,,,,,Timeout #3 by Washington Redskins,,
4,2:38,4,1,WAS 15,9,20,Mason Crosby 33 yard field goal good,2.590,3.000
4,2:34,,,GNB 35,9,20,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
4,2:34,1,10,WAS 25,9,20,Dwayne Haskins pass complete short middle to Terry McLaurin for 15 yards (tackle by Jaire Alexander),0.610,1.600
4,2:13,1,10,WAS 40,9,20,Dwayne Haskins pass complete short middle to Chris Thompson for 11 yards (tackle by Blake Martinez),1.600,2.320
4,2:00,1,10,GNB 49,9,20,Dwayne Haskins pass complete short left to Chris Thompson for 1 yard (tackle by Josh Jackson),2.320,1.920
4,1:54,2,9,GNB 48,9,20,Dwayne Haskins pass complete short middle to Terry McLaurin for 21 yards (tackle by Blake Martinez),1.920,3.780
4,1:35,1,10,GNB 27,9,20,Dwayne Haskins spiked the ball,3.780,3.230
4,1:34,2,10,GNB 27,9,20,Dwayne Haskins pass complete short left to Chris Thompson for 14 yards (tackle by Chandon Sullivan),3.230,4.710
4,1:26,1,10,GNB 13,9,20,Dwayne Haskins pass incomplete short left intended for Chris Thompson,4.710,4.050
4,1:22,2,10,GNB 13,15,20,"Dwayne Haskins pass complete short middle to Terry McLaurin for 13 yards, touchdown",4.050,7.000
4,1:17,,,GNB 2,15,20,"Two Point Attempt: Dwayne Haskins rushes, conversion fails.",1.000,-1.000
4,1:17,,,WAS 35,15,20,"Dustin Hopkins kicks onside 12 yards, returned by Davante Adams for no gain",0.000,2.460
4,1:16,1,10,WAS 47,15,20,Aaron Rodgers kneels for -1 yards,2.460,1.780
4,0:38,2,11,WAS 48,15,20,Aaron Rodgers kneels for -1 yards,1.780,0.960
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
