Unnamed: 0,CAR,NOR
First Downs,25,15
Rush-Yds-TDs,42-132-1,11-30-0
Cmp-Att-Yd-TD-INT,22-29-294-1-0,20-40-251-3-2
Sacked-Yards,4-25,1-1
Net Pass Yards,269,250
Total Yards,401,280
Fumbles-Lost,1-0,2-1
Turnovers,0,3
Penalties-Yards,6-44,10-104
Third Down Conv.,6-15,4-10
Fourth Down Conv.,0-0,1-1
Time of Possession,41:51,18:09
