Quarter,Time,Tm,Detail,GNB,WAS
1,8:59,Packers,Donald Lee 5 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
2,7:30,Packers,Mason Crosby 52 yard field goal,10,0
,0:13,Redskins,Graham Gano 26 yard field goal,10,3
3,7:34,Packers,Mason Crosby 36 yard field goal,13,3
4,11:35,Redskins,Anthony Armstrong 48 yard pass from Donovan McNabb (Graham Gano kick),13,10
,1:07,Redskins,Graham Gano 45 yard field goal,13,13
OT,8:06,Redskins,Graham Gano 33 yard field goal,13,16
