Unnamed: 0,GNB,WAS
First Downs,17,21
Rush-Yds-TDs,17-157-0,21-51-0
Cmp-Att-Yd-TD-INT,27-46-293-1-1,26-49-357-1-1
Sacked-Yards,4-23,5-35
Net Pass Yards,270,322
Total Yards,427,373
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,9-63,4-28
Third Down Conv.,2-13,5-17
Fourth Down Conv.,0-1,0-1
Time of Possession,32:40,34:14
