Quarter,Time,Down,ToGo,Location,BAL,SFO,Detail,EPB,EPA
1,10:42,3,4,SFO 13,0,6,"Joe Flacco pass complete short middle to Anquan Boldin for 13 yards, touchdown",3.960,7.000
1,10:42,,,SFO 2,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,10:36,,,BAL 35,0,7,"Justin Tucker kicks off 74 yards, touchback",0.000,0.280
1,10:36,1,10,SFO 20,0,7,Frank Gore right guard for -1 yards (tackle by Dannell Ellerbe),0.280,-0.460
1,9:58,2,11,SFO 19,0,7,Colin Kaepernick pass complete short middle to Michael Crabtree for 19 yards (tackle by Corey Graham),-0.460,1.470
1,9:27,1,10,SFO 38,0,7,Frank Gore right guard for no gain (tackle by Dannell Ellerbe),1.470,0.920
1,8:47,2,10,SFO 38,0,7,Frank Gore right guard for 9 yards (tackle by Corey Graham),0.920,1.420
1,8:06,3,1,SFO 47,0,7,Colin Kaepernick right guard for 9 yards (tackle by Bernard Pollard),1.420,2.650
1,7:28,1,10,BAL 44,0,7,Colin Kaepernick left tackle for 7 yards (tackle by Haloti Ngata),2.650,3.060
1,6:40,2,3,BAL 37,0,7,Frank Gore left guard for 5 yards (tackle by Paul Kruger),3.060,3.450
1,6:01,1,10,BAL 32,0,7,Colin Kaepernick pass complete deep left to Vernon Davis for 24 yards (tackle by Ed Reed),3.450,5.370
1,5:15,1,8,BAL 8,0,7,Frank Gore left tackle for no gain (tackle by Albert McClellan),5.370,4.570
1,4:31,2,8,BAL 8,0,7,Colin Kaepernick pass incomplete short right intended for Michael Crabtree,4.570,3.580
1,4:26,3,8,BAL 8,0,7,Colin Kaepernick sacked by Paul Kruger for -10 yards,3.580,2.250
1,4:03,4,18,BAL 18,3,7,David Akers 36 yard field goal good,2.250,3.000
1,,,,SFO 35,,,"David Akers kicks off 73 yards, returned by Jacoby Jones for 30 yards (tackle by Delanie Walker)",,
1,3:54,1,10,BAL 22,3,7,Joe Flacco pass complete short left to Dennis Pitta for 9 yards (tackle by Donte Whitner),0.410,1.080
1,3:18,2,1,BAL 31,3,7,Ray Rice right guard for no gain (tackle by Navorro Bowman and Isaac Sopoaga),1.080,0.370
1,2:43,3,1,BAL 31,3,7,Ray Rice left tackle for 2 yards (tackle by Donte Whitner and Aldon Smith),0.370,1.140
1,2:08,1,10,BAL 33,3,7,Ray Rice left guard for 3 yards (tackle by Aldon Smith),1.140,1.000
1,1:34,2,7,BAL 36,3,7,Joe Flacco pass incomplete short left intended for Anquan Boldin,1.000,0.300
1,1:31,3,7,BAL 36,3,7,Joe Flacco pass complete deep right to Anquan Boldin for 30 yards (tackle by Chris Culliver),0.300,3.310
1,1:06,1,10,SFO 34,3,7,Joe Flacco pass complete short right to Vonta Leach for -3 yards (tackle by Navorro Bowman),3.310,2.370
1,0:23,2,13,SFO 37,3,7,Joe Flacco pass incomplete deep right intended for Torrey Smith,2.370,1.690
1,0:17,3,13,SFO 37,3,7,Joe Flacco sacked by Ray McDonald for -5 yards,1.690,0.460
Quarter,Time,Down,ToGo,Location,BAL,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,18,SFO 42,3,7,"Sam Koch punts 42 yards, touchback",0.460,-0.280
2,14:52,1,10,SFO 20,3,7,Colin Kaepernick pass complete short middle to Vernon Davis for 29 yards (tackle by Cary Williams),0.280,2.190
2,14:10,1,10,SFO 49,3,7,Colin Kaepernick pass complete short right to Vernon Davis for 11 yards (tackle by Courtney Upshaw),2.190,2.920
2,13:24,1,10,BAL 40,3,7,LaMichael James left guard for 9 yards (tackle by Courtney Upshaw and Ray Lewis),2.920,3.590
2,12:46,2,1,BAL 31,3,7,Frank Gore left guard for 7 yards (tackle by Dannell Ellerbe),3.590,3.970
2,12:04,1,10,BAL 24,3,7,"LaMichael James right end for -1 yards (tackle by Courtney Upshaw and Corey Graham). LaMichael James fumbles (forced by Courtney Upshaw), recovered by Arthur Jones at BAL-25 (tackle by Delanie Walker)",3.970,-0.610
2,11:53,1,10,BAL 25,3,7,Bernard Pierce left end for 5 yards (tackle by Patrick Willis),0.610,0.740
2,11:34,2,5,BAL 30,3,7,Bernard Pierce left tackle for 4 yards (tackle by Ray McDonald),0.740,0.560
2,10:55,3,1,BAL 34,3,7,Bernard Pierce left end for 3 yards (tackle by Ricky Jean-Francois),0.560,1.400
2,10:22,1,10,BAL 37,3,7,Joe Flacco pass complete short left to Dennis Pitta for 9 yards (tackle by Donte Whitner),1.400,2.070
2,10:03,2,1,BAL 46,3,7,Bernard Pierce right tackle for 2 yards (tackle by Patrick Willis),2.070,2.130
2,9:16,1,10,BAL 48,3,7,Joe Flacco pass complete deep left to Ed Dickson for 23 yards (tackle by Dashon Goldson),2.130,3.640
2,8:40,1,10,SFO 29,3,7,Ray Rice right tackle for 7 yards (tackle by Navorro Bowman),3.640,4.050
2,8:10,2,3,SFO 22,3,7,"Joe Flacco pass complete short left to Ed Dickson for 14 yards (tackle by Donte Whitner). Penalty on Donte Whitner: Face Mask (15 Yards), 4 yards",4.050,6.280
2,7:50,1,4,SFO 4,3,7,Ray Rice right guard for 3 yards (tackle by Donte Whitner),6.280,5.910
2,7:15,2,1,SFO 1,3,13,"Joe Flacco pass complete short right to Dennis Pitta for 1 yard, touchdown",5.910,7.000
2,7:15,,,SFO 2,3,14,Justin Tucker kicks extra point good,0.000,0.000
2,7:10,,,BAL 35,3,14,"Justin Tucker kicks off 70 yards, returned by LaMichael James for 26 yards (tackle by Anthony Allen)",0.000,0.340
2,7:06,1,10,SFO 21,3,14,"Colin Kaepernick pass incomplete deep middle intended for Randy Moss is intercepted by Ed Reed at SFO-44 and returned for 6 yards (tackle by Vernon Davis). Penalty on Joe Staley: Unnecessary Roughness (Offsetting), Penalty on Corey Graham: Unnecessary Roughness (Offsetting)",0.340,-3.050
2,6:55,1,10,SFO 38,3,14,Ray Rice right guard for 5 yards (tackle by Navorro Bowman),3.050,3.180
2,6:23,2,5,SFO 33,3,14,Joe Flacco pass complete short left to Vonta Leach for 5 yards (tackle by Tarell Brown),3.180,3.710
2,5:45,1,10,SFO 28,3,14,Ray Rice right tackle for 1 yard (tackle by Isaac Sopoaga),3.710,3.300
2,5:16,2,9,SFO 27,3,14,Ray Rice left tackle for 5 yards (tackle by Patrick Willis),3.300,3.270
2,4:37,3,4,SFO 22,3,14,Joe Flacco pass complete short right to Ray Rice for 7 yards (tackle by Chris Culliver and Tarell Brown),3.270,4.580
2,4:00,1,10,SFO 15,3,14,Bernard Pierce right end for 1 yard (tackle by Dashon Goldson),4.580,4.110
2,3:21,2,9,SFO 14,3,14,Joe Flacco pass incomplete short left intended for Anquan Boldin,4.110,3.240
2,3:17,3,9,SFO 14,3,14,Joe Flacco pass incomplete short right intended for Torrey Smith,3.240,2.510
2,3:12,4,9,SFO 14,3,14,Justin Tucker left end for 8 yards (tackle by Darcel McBath),2.510,0.380
2,3:05,1,10,SFO 6,3,14,Frank Gore right end for no gain (tackle by Courtney Upshaw),-0.380,-0.780
2,2:37,2,10,SFO 6,3,14,Colin Kaepernick pass incomplete short left intended for Randy Moss (defended by Cary Williams),-0.780,-1.420
2,2:31,3,10,SFO 6,3,14,Frank Gore right guard for 6 yards (tackle by Deangelo Tyson),-1.420,-2.490
2,2:19,,,,3,14,Timeout #1 by Baltimore Ravens,0.000,-2.490
2,2:19,4,4,SFO 12,3,14,"Andy Lee punts 55 yards, muffed catch by Jacoby Jones, recovered by Jacoby Jones and returned for 11 yards (tackle by Tavares Gooden)",-2.490,-1.860
2,2:07,1,10,BAL 44,3,14,Joe Flacco pass incomplete short right intended for Jacoby Jones (defended by Chris Culliver),1.860,1.320
2,2:04,2,10,BAL 44,3,14,Joe Flacco pass incomplete deep right intended for Torrey Smith (defended by Chris Culliver),1.320,0.630
2,1:58,3,10,BAL 44,3,20,"Joe Flacco pass complete deep middle to Jacoby Jones for 56 yards, touchdown",0.630,7.000
2,1:58,,,SFO 2,3,21,Justin Tucker kicks extra point good,0.000,0.000
2,1:45,,,BAL 35,3,21,"Justin Tucker kicks off 74 yards, touchback",0.000,0.280
2,1:45,1,10,SFO 20,3,21,Colin Kaepernick pass complete short middle to Michael Crabtree for 6 yards (tackle by Ed Reed),0.280,0.540
2,1:21,2,4,SFO 26,3,21,"Colin Kaepernick pass complete short right to Delanie Walker for 14 yards (tackle by Corey Graham). Penalty on Haloti Ngata: Roughing the Passer, 15 yards",0.540,2.590
2,1:15,1,10,BAL 45,3,21,Colin Kaepernick pass incomplete short right intended for Randy Moss (defended by Jimmy Smith),2.590,2.040
2,1:12,2,10,BAL 45,3,21,Colin Kaepernick pass complete deep middle to Delanie Walker for 28 yards (tackle by Ed Reed),2.040,4.440
2,0:57,,,,3,21,Timeout #1 by San Francisco 49ers,0.000,4.440
2,0:57,1,10,BAL 17,3,21,Colin Kaepernick pass complete short middle to Vernon Davis for 8 yards (tackle by Bernard Pollard and Ray Lewis),4.440,5.290
2,0:25,2,2,BAL 9,3,21,Frank Gore right guard for no gain (tackle by Arthur Jones),5.290,4.570
2,0:21,,,,3,21,Timeout #2 by San Francisco 49ers,0.000,4.570
2,0:21,3,2,BAL 9,3,21,Colin Kaepernick sacked by Paul Kruger for 0 yards,4.570,2.950
2,0:03,,,,3,21,Timeout #3 by San Francisco 49ers,0.000,2.950
2,0:03,4,2,BAL 9,6,21,David Akers 27 yard field goal good,2.950,3.000
Quarter,Time,Down,ToGo,Location,BAL,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,6,27,"David Akers kicks off 73 yards, returned by Jacoby Jones for 108 yards, touchdown",0.000,7.000
3,15:00,,,SFO 2,6,28,Justin Tucker kicks extra point good,0.000,0.000
3,14:49,,,BAL 35,6,28,"Justin Tucker kicks off 72 yards, returned by LaMichael James for 21 yards (tackle by James Ihedigbo)",0.000,-0.280
3,14:44,1,10,SFO 14,6,28,Colin Kaepernick pass complete short left to Michael Crabtree for 29 yards (tackle by Cary Williams),-0.280,1.800
3,14:11,1,10,SFO 43,6,28,Frank Gore left guard for 3 yards (tackle by Terrell Suggs),1.800,1.660
3,13:28,2,7,SFO 46,6,28,Colin Kaepernick sacked by Arthur Jones for -6 yards,1.660,0.170
3,13:04,3,13,SFO 40,6,28,Colin Kaepernick pass complete short right to Delanie Walker for 6 yards (tackle by Jimmy Smith),0.170,-0.320
3,12:17,4,7,SFO 46,6,28,"Andy Lee punts 54 yards, touchback",-0.320,-0.280
3,12:10,1,10,BAL 20,6,28,Joe Flacco pass complete short right to Torrey Smith for 15 yards (tackle by Donte Whitner and Patrick Willis),0.280,1.270
3,11:40,1,10,BAL 35,6,28,Ray Rice left guard for 2 yards (tackle by Patrick Willis),1.270,0.990
3,11:11,2,8,BAL 37,6,28,Joe Flacco pass incomplete short left intended for Anquan Boldin,0.990,0.300
3,11:07,3,8,BAL 37,6,28,Joe Flacco pass complete short middle to Ray Rice for 7 yards (tackle by Dashon Goldson),0.300,-0.460
3,10:35,4,1,BAL 44,6,28,"Sam Koch punts 56 yards, touchback",-0.460,-0.280
3,10:26,1,10,SFO 20,6,28,Colin Kaepernick for 5 yards (tackle by Haloti Ngata),0.280,0.410
3,9:55,2,5,SFO 25,6,28,Colin Kaepernick for 15 yards (tackle by Dannell Ellerbe),0.410,1.600
3,9:16,1,10,SFO 40,6,28,Frank Gore left guard for 2 yards (tackle by Ma'ake Kemoeatu and Terrell Suggs),1.600,1.320
3,8:39,2,8,SFO 42,6,28,Colin Kaepernick pass incomplete deep right intended for Michael Crabtree (defended by Corey Graham),1.320,0.630
3,8:32,3,8,SFO 42,6,28,Colin Kaepernick pass complete short left to Randy Moss for 9 yards (tackle by Cary Williams),0.630,2.320
3,7:53,,,,6,28,Timeout #1 by San Francisco 49ers,0.000,2.320
3,7:53,1,10,BAL 49,6,28,Colin Kaepernick pass complete deep right to Vernon Davis for 18 yards,2.320,3.510
3,7:28,1,10,BAL 31,12,28,"Colin Kaepernick pass complete deep left to Michael Crabtree for 31 yards, touchdown",3.510,7.000
3,7:28,,,BAL 2,13,28,David Akers kicks extra point good,0.000,0.000
3,7:20,,,SFO 35,13,28,"David Akers kicks off 70 yards, returned by Jacoby Jones for 22 yards (tackle by Anthony Dixon)",0.000,-0.060
3,7:15,1,10,BAL 17,13,28,Joe Flacco pass incomplete deep left intended for Anquan Boldin,-0.060,-0.580
3,7:10,2,10,BAL 17,13,28,Bernard Pierce left end for no gain (tackle by Ahmad Brooks),-0.580,-1.250
3,6:27,3,10,BAL 17,13,28,Joe Flacco sacked by Ahmad Brooks for -8 yards,-1.250,-2.490
3,6:03,4,18,BAL 9,13,28,"Sam Koch punts 43 yards, returned by Ted Ginn Jr. for 32 yards (tackle by Sam Koch)",-2.490,-4.240
3,5:47,1,10,BAL 20,13,28,Colin Kaepernick pass complete short left to Vernon Davis for 14 yards (tackle by Courtney Upshaw),4.240,5.830
3,5:05,1,6,BAL 6,19,28,"Frank Gore right end for 6 yards, touchdown",5.830,7.000
3,5:05,,,BAL 2,20,28,David Akers kicks extra point good,0.000,0.000
3,4:59,,,SFO 35,20,28,"David Akers kicks off 69 yards, touchback",0.000,0.280
3,4:59,1,10,BAL 20,20,28,Ray Rice left guard for 3 yards (tackle by Justin Smith),0.280,0.140
3,4:17,2,7,BAL 23,20,28,"Joe Flacco pass complete short left to Ray Rice for 1 yard (tackle by Tarell Brown). Ray Rice fumbles (forced by Tarell Brown), recovered by Tarell Brown at BAL-24 (tackle by Dennis Pitta)",0.140,-3.970
3,4:10,1,10,BAL 24,20,28,Colin Kaepernick pass incomplete deep left intended for Vernon Davis,3.970,3.430
3,4:05,2,10,BAL 24,20,28,Frank Gore left guard for 3 yards (tackle by Ray Lewis and Deangelo Tyson),3.430,3.140
3,3:25,3,7,BAL 21,20,28,Colin Kaepernick pass incomplete deep left intended for Ted Ginn Jr. (defended by Cary Williams),3.140,2.060
3,3:19,4,7,BAL 21,20,28,"David Akers 39 yard field goal no good. Penalty on Chykie Brown: Running Into the Kicker, 5 yards (no play)",2.060,2.500
3,3:14,4,2,BAL 16,23,28,David Akers 34 yard field goal good,2.500,3.000
3,3:10,,,SFO 35,23,28,"David Akers kicks off 62 yards, returned by Jacoby Jones for 25 yards (tackle by Delanie Walker)",0.000,0.810
3,3:04,1,10,BAL 28,23,28,Bernard Pierce right guard for 4 yards (tackle by Patrick Willis),0.810,0.800
3,2:36,2,6,BAL 32,23,28,Bernard Pierce left end for 3 yards (tackle by Dashon Goldson),0.800,0.500
3,1:59,3,3,BAL 35,23,28,Joe Flacco pass complete short right to Anquan Boldin for 30 yards (tackle by Chris Culliver),0.500,3.250
3,1:30,1,10,SFO 35,23,28,Joe Flacco pass complete short right to Dennis Pitta for 7 yards (tackle by Patrick Willis),3.250,3.650
3,0:58,2,3,SFO 28,23,28,Ray Rice right tackle for 2 yards (tackle by Ahmad Brooks),3.650,3.200
3,0:16,3,1,SFO 26,23,28,Bernard Pierce left end for 8 yards (tackle by Dashon Goldson),3.200,4.370
Quarter,Time,Down,ToGo,Location,BAL,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 18,23,28,Ray Rice right guard for 4 yards (tackle by Isaac Sopoaga),4.370,4.430
4,14:24,2,6,SFO 14,23,28,Joe Flacco pass complete short right to Anquan Boldin for 9 yards (tackle by Carlos Rogers),4.430,6.060
4,14:02,1,5,SFO 5,23,28,Ray Rice left guard for 4 yards (tackle by Ricky Jean-Francois and Dashon Goldson),6.060,5.910
4,13:30,2,1,SFO 1,23,28,Ray Rice left guard for no gain (tackle by Justin Smith),5.910,5.170
4,13:05,3,1,SFO 1,23,28,Joe Flacco pass incomplete,5.170,3.550
4,12:57,4,1,SFO 1,23,31,Justin Tucker 19 yard field goal good,3.550,3.000
4,12:54,,,BAL 35,23,31,"Justin Tucker kicks off 69 yards, returned by LaMichael James for 28 yards (tackle by Anthony Allen)",0.000,0.540
4,12:47,1,10,SFO 24,23,31,Frank Gore right end for 5 yards (tackle by Deangelo Tyson and Dannell Ellerbe),0.540,0.670
4,12:00,2,5,SFO 29,23,31,Colin Kaepernick pass complete deep left to Randy Moss for 32 yards (tackle by Ed Reed),0.670,2.980
4,11:34,1,10,BAL 39,23,31,Frank Gore left end for 21 yards (tackle by Corey Graham),2.980,4.370
4,10:44,1,10,BAL 18,23,31,Colin Kaepernick left guard for 3 yards (tackle by Ray Lewis and Terrence Cody),4.370,4.250
4,10:04,2,7,BAL 15,29,31,"Colin Kaepernick left end for 15 yards, touchdown",4.250,7.000
4,10:04,,,,29,31,"Two Point Attempt: Colin Kaepernick pass incomplete intended for Randy Moss, conversion fails",0.000,-1.000
4,9:57,,,SFO 35,29,31,"David Akers kicks off 65 yards, returned by Jacoby Jones for 21 yards (tackle by Delanie Walker)",0.000,0.340
4,9:51,1,10,BAL 21,29,31,Joe Flacco pass complete short middle to Ray Rice for 4 yards (tackle by Isaac Sopoaga and Patrick Willis),0.340,0.340
4,9:18,2,6,BAL 25,29,31,Ray Rice right end for -3 yards (tackle by Navorro Bowman),0.340,-0.760
4,8:35,3,9,BAL 22,29,31,"Joe Flacco pass incomplete short right intended for Torrey Smith. Penalty on Chris Culliver: Defensive Pass Interference, 14 yards (no play)",-0.760,1.330
4,8:30,1,10,BAL 36,29,31,Bernard Pierce right tackle for 2 yards (tackle by Patrick Willis),1.330,1.060
4,7:57,2,8,BAL 38,29,31,Joe Flacco pass complete short right to Anquan Boldin for 7 yards (tackle by Carlos Rogers),1.060,1.290
,,,,,,,"SFO challenged the first down ruling, and the original play was overturned.",,
4,7:14,3,1,BAL 45,29,31,Joe Flacco pass complete short right to Anquan Boldin for 15 yards (tackle by Carlos Rogers),1.290,2.920
4,6:30,1,10,SFO 40,29,31,Ray Rice left tackle for 12 yards (tackle by Dashon Goldson),2.920,3.710
4,5:51,1,10,SFO 28,29,31,Ray Rice right tackle for 2 yards (tackle by Navorro Bowman),3.710,3.440
4,5:13,2,8,SFO 26,29,31,Bernard Pierce left tackle for 1 yard (tackle by Navorro Bowman),3.440,2.870
4,4:32,3,7,SFO 25,29,31,"Joe Flacco pass incomplete. Penalty on Ahmad Brooks: Defensive Offside (Declined), Penalty on Aldon Smith: Defensive Offside, 5 yards (no play)",2.870,3.530
4,4:28,3,2,SFO 20,29,31,Joe Flacco pass incomplete short right intended for Dennis Pitta,3.530,2.250
4,4:23,4,2,SFO 20,29,34,Justin Tucker 38 yard field goal good,2.250,3.000
4,4:19,,,BAL 35,29,34,"Justin Tucker kicks off 65 yards, touchback",0.000,0.280
4,4:19,1,10,SFO 20,29,34,Frank Gore right guard for 8 yards (tackle by Dannell Ellerbe and Ray Lewis),0.280,0.810
4,3:40,2,2,SFO 28,29,34,Colin Kaepernick for 8 yards (tackle by Dannell Ellerbe),0.810,1.330
4,3:32,1,10,SFO 36,29,34,Colin Kaepernick pass incomplete deep right intended for Vernon Davis,1.330,0.790
4,3:25,2,10,SFO 36,29,34,Colin Kaepernick pass complete deep middle to Michael Crabtree for 24 yards (tackle by Ray Lewis and Corey Graham),0.790,2.920
4,2:47,1,10,BAL 40,29,34,Frank Gore left end for 33 yards (tackle by Ed Reed),2.920,5.600
4,2:39,1,7,BAL 7,29,34,LaMichael James right guard for 2 yards (tackle by Dannell Ellerbe and Deangelo Tyson),5.600,5.150
4,2:00,2,5,BAL 5,29,34,Colin Kaepernick pass incomplete short right intended for Michael Crabtree (defended by Corey Graham),5.150,4.260
4,1:55,,,,29,34,Timeout #2 by San Francisco 49ers,0.000,4.260
4,1:55,3,5,BAL 5,29,34,Colin Kaepernick pass incomplete short right intended for Michael Crabtree (defended by Jimmy Smith),4.260,3.010
4,1:50,4,5,BAL 5,29,34,Colin Kaepernick pass incomplete short right intended for Michael Crabtree,3.010,0.380
4,1:46,1,10,BAL 5,29,34,Ray Rice left guard for 2 yards (tackle by Navorro Bowman and Dashon Goldson),-0.380,-0.630
4,1:42,,,,29,34,Timeout #3 by San Francisco 49ers,0.000,-0.630
4,1:42,2,8,BAL 7,29,34,Bernard Pierce left end for no gain (tackle by Ahmad Brooks),-0.630,-1.190
4,0:56,3,8,BAL 7,29,34,Vonta Leach right guard for 1 yard (tackle by Ray McDonald and Navorro Bowman),-1.190,-2.490
4,0:12,,,,29,34,Timeout #2 by Baltimore Ravens,0.000,-2.490
4,0:12,4,7,BAL 8,31,34,"Sam Koch for -8 yards, safety",-2.490,-2.000
4,0:04,,,BAL 20,31,34,"Sam Koch kicks off 61 yards, returned by Ted Ginn Jr. for 31 yards (tackle by Josh Bynes)",0.000,0.280
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
