Unnamed: 0,BAL,SFO
First Downs,21,23
Rush-Yds-TDs,35-93-0,29-182-2
Cmp-Att-Yd-TD-INT,22-33-287-3-0,16-28-302-1-1
Sacked-Yards,2-13,3-16
Net Pass Yards,274,286
Total Yards,367,468
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,2-20,5-33
Third Down Conv.,9-16,2-9
Fourth Down Conv.,0-2,0-1
Time of Possession,32:23,27:37
