Quarter,Time,Tm,Detail,BAL,SFO
1.0,10:36,Ravens,Anquan Boldin 13 yard pass from Joe Flacco (Justin Tucker kick),7,0
,3:58,49ers,David Akers 36 yard field goal,7,3
2.0,7:10,Ravens,Dennis Pitta 1 yard pass from Joe Flacco (Justin Tucker kick),14,3
,1:45,Ravens,Jacoby Jones 56 yard pass from Joe Flacco (Justin Tucker kick),21,3
,0:00,49ers,David Akers 27 yard field goal,21,6
3.0,14:49,Ravens,Jacoby Jones 108 yard kickoff return (Justin Tucker kick),28,6
,7:20,49ers,Michael Crabtree 31 yard pass from Colin Kaepernick (David Akers kick),28,13
,4:59,49ers,Frank Gore 6 yard rush (David Akers kick),28,20
,3:10,49ers,David Akers 34 yard field goal,28,23
4.0,12:54,Ravens,Justin Tucker 19 yard field goal,31,23
,9:57,49ers,Colin Kaepernick 15 yard rush (pass failed),31,29
,4:19,Ravens,Justin Tucker 38 yard field goal,34,29
,0:04,49ers,"Safety, Sam Koch rushed out of bounds in end zone.",34,31
