Unnamed: 0,LAR,CIN
First Downs,15,19
Rush-Yds-TDs,13-71-0,23-67-1
Cmp-Att-Yd-TD-INT,18-33-269-1-2,26-49-259-0-1
Sacked-Yards,6-48,2-17
Net Pass Yards,221,242
Total Yards,292,309
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,4-28,7-49
Third Down Conv.,1-11,5-17
Fourth Down Conv.,1-1,1-1
Time of Possession,24:00,36:00
