Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Joe Burrow pass incomplete deep right,0.610,0.060
1,14:54,2,10,CIN 25,0,0,Joe Burrow pass complete short left to Tyler Boyd for 9 yards (tackle by Cobie Durant),0.060,0.560
1,14:19,3,1,CIN 34,0,0,Joe Burrow pass complete short middle to Tyler Boyd for 12 yards (tackle by Ernest Jones and Russ Yeast),0.560,1.990
1,13:33,1,10,CIN 46,0,0,Joe Mixon up the middle for 4 yards (tackle by Derion Kendrick and Ernest Jones),1.990,1.990
1,12:57,2,6,LAR 50,0,0,Joe Burrow pass complete short left to Charlie Jones for 6 yards (tackle by Derion Kendrick),1.990,2.650
1,12:13,1,10,LAR 44,0,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,2.650,2.110
1,12:08,2,10,LAR 44,0,0,Joe Mixon left tackle for 6 yards (tackle by Aaron Donald),2.110,2.210
1,11:36,3,4,LAR 38,0,0,Joe Burrow pass incomplete short middle intended for Tanner Hudson,2.210,0.790
1,11:31,4,3,LAR 37,0,0,Evan McPherson 56 yard field goal no good,0.790,-1.990
1,11:26,1,10,LAR 46,0,0,Matthew Stafford pass complete short middle to Tyler Higbee for 12 yards (tackle by Cam Taylor-Britt),1.990,2.790
1,10:55,1,10,CIN 42,0,0,Kyren Williams left guard for 6 yards (tackle by B.J. Hill),2.790,3.050
1,10:16,2,4,CIN 36,0,0,Matthew Stafford pass complete short middle to Puka Nacua for 12 yards (tackle by Cam Taylor-Britt and Germaine Pratt),3.050,3.970
1,9:32,1,10,CIN 24,0,0,"Tutu Atwell right end for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Tutu Atwell right end for 22 yards (tackle by Nick Scott)",3.970,6.740
1,9:12,1,2,CIN 2,0,0,Matthew Stafford sacked by D.J. Reader for -9 yards,6.740,4.020
1,8:34,2,11,CIN 11,0,0,Matthew Stafford pass incomplete short right intended for Kyren Williams,4.020,3.120
1,8:31,3,11,CIN 11,0,0,Matthew Stafford pass incomplete short middle intended for Kyren Williams,3.120,2.700
1,8:26,4,11,CIN 11,3,0,Brett Maher 30 yard field goal good,2.700,3.000
1,8:22,,,LAR 35,3,0,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
1,8:22,1,10,CIN 25,3,0,Joe Mixon left tackle for 2 yards (tackle by Byron Young),0.610,0.330
1,7:44,2,8,CIN 27,3,0,Joe Burrow pass complete short left to Mitchell Wilcox for 7 yards (tackle by Russ Yeast),0.330,0.560
1,7:23,3,1,CIN 34,3,0,"Penalty on Joe Mixon: False Start, 5 yards (accepted) (no play)",0.560,-0.100
1,6:59,3,6,CIN 29,3,0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",-0.100,-0.760
1,6:37,3,11,CIN 24,3,0,Joe Burrow pass complete short right to Tyler Boyd for 4 yards (tackle by Quentin Lake),-0.760,-1.500
1,6:02,4,7,CIN 28,3,0,"Brad Robbins punts 46 yards, fair catch by Kyren Williams at LA-26",-1.500,-0.670
1,5:55,1,10,LAR 26,3,0,Kyren Williams right tackle for 1 yard (tackle by Germaine Pratt),0.670,0.270
1,5:14,2,9,LAR 27,3,0,Matthew Stafford pass complete short middle to Puka Nacua for 8 yards (tackle by Logan Wilson and Sam Hubbard),0.270,0.630
1,4:38,3,1,LAR 35,3,0,Matthew Stafford pass incomplete short left intended for Kyren Williams,0.630,-1.040
1,4:32,4,1,LAR 35,3,0,"Ethan Evans punts 51 yards, returned by Charlie Jones for 7 yards (tackle by Tre'Vius Tomlinson and Michael Hoecht)",-1.040,-0.340
1,4:22,1,10,CIN 21,3,0,Joe Burrow pass complete short left to Tanner Hudson for 4 yards (tackle by Russ Yeast),0.340,0.340
1,3:42,2,6,CIN 25,3,0,Joe Mixon left tackle for 2 yards (tackle by Jonah Williams and Christian Rozeboom),0.340,-0.100
1,3:04,3,4,CIN 27,3,0,Joe Burrow pass complete short left to Ja'Marr Chase for 6 yards (tackle by Derion Kendrick),-0.100,1.140
1,2:24,1,10,CIN 33,3,0,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Ernest Jones),1.140,1.270
1,1:37,2,5,CIN 38,3,0,Joe Burrow pass complete short middle to Ja'Marr Chase for 10 yards (tackle by Christian Rozeboom),1.270,2.130
1,0:58,1,10,CIN 48,3,0,Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards,2.130,2.530
1,0:20,2,3,LAR 45,3,0,Joe Mixon left guard for 7 yards (tackle by Ernest Jones),2.530,3.050
Quarter,Time,Down,ToGo,Location,LAR,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 38,3,0,Joe Burrow pass complete short left to Mitchell Wilcox for 3 yards (tackle by Christian Rozeboom and Derion Kendrick),3.050,2.910
2,14:16,,,,,,Timeout #1 by Cincinnati Bengals,,
2,14:16,2,7,LAR 35,3,0,"Joe Burrow pass incomplete short right intended for Tee Higgins. Penalty on Cobie Durant: Defensive Holding, 5 yards (accepted) (no play)",2.910,3.580
2,14:11,1,10,LAR 30,3,0,Joe Burrow pass incomplete short right,3.580,3.030
2,14:07,2,10,LAR 30,3,0,Joe Burrow pass complete short left to Tyler Boyd for 4 yards (tackle by Cobie Durant),3.030,2.940
2,13:23,3,5,LAR 26,3,0,"Penalty on Tyler Boyd: False Start, 5 yards (accepted) (no play)",2.940,2.280
2,13:04,3,10,LAR 31,3,0,Joe Burrow pass incomplete short left intended for Tanner Hudson,2.280,1.320
2,13:00,4,10,LAR 31,3,3,Evan McPherson 49 yard field goal good,1.320,3.000
2,12:55,,,CIN 35,3,3,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
2,12:55,1,10,LAR 25,3,3,Matthew Stafford pass complete short right to Puka Nacua for 11 yards (tackle by Cam Taylor-Britt),0.610,1.330
2,12:14,1,10,LAR 36,3,3,Matthew Stafford pass complete short middle to Tyler Higbee for 15 yards (tackle by Daxton Hill),1.330,2.320
2,11:27,1,10,CIN 49,3,3,Matthew Stafford pass complete deep left to Tutu Atwell for 37 yards (tackle by Daxton Hill),2.320,4.780
2,10:43,1,10,CIN 12,3,3,Matthew Stafford pass incomplete short right intended for Kyren Williams,4.780,4.100
2,10:39,2,10,CIN 12,3,3,Kyren Williams right tackle for 7 yards (tackle by Chidobe Awuzie),4.100,4.610
