Quarter,Time,Tm,Detail,LAR,CIN
1.0,8:22,Rams,Brett Maher 30 yard field goal,3,0
2.0,12:55,Bengals,Evan McPherson 49 yard field goal,3,3
,9:49,Rams,Brett Maher 23 yard field goal,6,3
,0:00,Bengals,Evan McPherson 53 yard field goal,6,6
3.0,10:37,Rams,Brett Maher 42 yard field goal,9,6
,5:34,Bengals,Joe Mixon 14 yard rush (Evan McPherson kick),9,13
,3:09,Bengals,Evan McPherson 48 yard field goal,9,16
4.0,7:13,Bengals,Evan McPherson 54 yard field goal,9,19
,1:03,Rams,Tutu Atwell 1 yard pass from Matthew Stafford (Brett Maher kick),16,19
