Unnamed: 0,CIN,LAC
First Downs,19,17
Rush-Yds-TDs,32-144-1,25-85-1
Cmp-Att-Yd-TD-INT,18-27-170-1-0,19-29-220-1-0
Sacked-Yards,3-19,2-17
Net Pass Yards,151,203
Total Yards,295,288
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-34,6-38
Third Down Conv.,5-13,5-13
Fourth Down Conv.,0-1,1-1
Time of Possession,32:38,27:22
