Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA
1,1:17,1,10,CIN 25,3,7,"Austin Ekeler left end for 4 yards (tackle by Jessie Bates). Penalty on Keenan Allen: Offensive Holding, 10 yards",3.910,3.510
1,0:47,1,16,CIN 31,3,7,Austin Ekeler right end for 5 yards (tackle by Jessie Bates),3.510,3.230
1,0:04,2,11,CIN 26,3,7,Philip Rivers pass complete short left to Austin Ekeler for 21 yards (tackle by Darqueze Dennard),3.230,6.060
Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,CIN 5,3,7,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Darqueze Dennard) (defended by Carlos Dunlap),6.060,5.150
2,14:56,2,5,CIN 5,3,13,"Austin Ekeler up the middle for 5 yards, touchdown",5.150,7.000
2,14:51,,,CIN 15,3,14,Michael Badgley kicks extra point good,0.000,0.000
2,14:51,,,LAC 35,3,14,"Michael Badgley kicks off 66 yards, returned by Alex Erickson for no gain (tackle by Jeff Richards)",0.000,0.610
2,14:46,1,10,CIN 25,3,14,Joe Mixon left end for 9 yards (tackle by Jahleel Addae and Jatavis Brown),0.610,1.280
2,14:11,2,1,CIN 34,3,14,Joe Mixon up the middle for 9 yards (tackle by Jahleel Addae),1.280,1.800
2,13:38,1,10,CIN 43,3,14,Jeff Driskel pass incomplete short middle intended for Joe Mixon (defended by Damion Square),1.800,1.250
2,13:33,2,10,CIN 43,3,14,Joe Mixon right end for -2 yards (tackle by Darius Philon),1.250,0.300
2,12:51,3,12,CIN 41,3,14,"Jeff Driskel pass complete short middle to Tyler Boyd for 10 yards (tackle by Adrian Phillips). Penalty on Melvin Ingram: Defensive Offside, 5 yards (no play)",0.300,0.960
2,12:21,,,,,,Timeout #1 by Cincinnati Bengals,,
2,12:21,3,7,CIN 46,3,14,Jeff Driskel pass incomplete short left intended for Tyler Boyd,0.960,-0.320
2,12:16,4,7,CIN 46,3,14,"Kevin Huber punts 47 yards, fair catch by Desmond King at LAC-7",-0.320,0.380
2,12:08,1,10,LAC 7,3,14,Justin Jackson up the middle for -2 yards (tackle by Christian Ringo),-0.380,-0.930
2,11:27,2,12,LAC 5,3,14,Philip Rivers pass complete short left to Keenan Allen for no gain (tackle by William Jackson),-0.930,-1.650
2,10:42,3,12,LAC 5,3,14,Philip Rivers pass incomplete deep left intended for Mike Williams,-1.650,-2.490
2,10:32,4,12,LAC 5,3,14,Donnie Jones punts 41 yards downed by Rayshawn Jenkins,-2.490,-2.520
2,10:22,1,10,LAC 46,3,14,Jeff Driskel pass complete short left to C.J. Uzomah for 6 yards (tackle by Jatavis Brown and Desmond King),2.520,2.790
2,9:48,2,4,LAC 40,3,14,Giovani Bernard left tackle for 6 yards (tackle by Casey Hayward),2.790,3.310
2,9:06,1,10,LAC 34,3,14,Jeff Driskel pass incomplete short right intended for John Ross,3.310,2.770
2,9:02,2,10,LAC 34,3,14,Jeff Driskel left end for 3 yards (tackle by Joey Bosa),2.770,2.480
2,8:14,3,7,LAC 31,3,14,"Penalty on Bobby Hart: False Start, 5 yards (no play)",2.480,1.820
2,7:59,3,12,LAC 36,3,14,Jeff Driskel pass complete deep middle to Tyler Boyd for 19 yards (tackle by Michael Davis),1.820,4.440
2,7:24,1,10,LAC 17,3,14,Alex Erickson right end for 14 yards (tackle by Jahleel Addae),4.440,6.510
2,6:58,1,3,LAC 3,3,14,Giovani Bernard up the middle for 1 yard (tackle by Jatavis Brown and Isaac Rochell),6.510,5.720
2,6:15,2,2,LAC 2,3,14,Joe Mixon up the middle for 1 yard (tackle by Derwin James),5.720,5.170
2,5:35,3,1,LAC 1,3,14,Jeff Driskel sacked by Kyle Emanuel for no gain,5.170,3.550
2,5:19,4,1,LAC 1,3,14,"Penalty on Alex Redmond: False Start, 4 yards (no play)",3.550,3.010
2,5:05,4,5,LAC 5,6,14,Randy Bullock 23 yard field goal good,3.010,3.000
2,5:01,,,CIN 35,6,14,"Randy Bullock kicks off 65 yards, returned by Travis Benjamin for no gain (tackle by Cody Core)",0.000,-0.060
2,4:55,1,10,LAC 17,6,14,Philip Rivers pass incomplete short left intended for Tyrell Williams (defended by Nick Vigil),-0.060,-0.580
2,4:50,2,10,LAC 17,6,14,Philip Rivers pass complete short right to Tyrell Williams for no gain (tackle by Shawn Williams),-0.580,-1.250
2,4:09,3,10,LAC 17,6,14,Philip Rivers pass incomplete deep right intended for Austin Ekeler,-1.250,-2.320
2,4:03,4,10,LAC 17,6,14,"Donnie Jones punts 54 yards, returned by Alex Erickson for 3 yards (tackle by Nick Dzubnar and Rayshawn Jenkins). Penalty on Uchenna Nwosu: Illegal Formation, 5 yards (no play)",-2.320,-2.490
2,3:50,4,15,LAC 12,6,14,"Donnie Jones punts 56 yards, returned by Alex Erickson for 14 yards (tackle by Kyle Emanuel and Nick Dzubnar)",-2.490,-1.990
2,3:37,1,10,CIN 46,6,14,Joe Mixon right end for -1 yards (tackle by Adrian Phillips),1.990,1.320
2,2:57,2,11,CIN 45,6,14,Jeff Driskel sacked by Joey Bosa for -10 yards,1.320,-0.690
2,2:18,3,21,CIN 35,6,14,Jeff Driskel pass incomplete short middle,-0.690,-1.040
2,2:13,4,21,CIN 35,6,14,"Kevin Huber punts 50 yards, returned by Desmond King for no gain (tackle by Cody Core). Penalty on Jeff Richards: Offensive Holding, 8 yards",-1.040,0.380
2,2:01,1,10,LAC 7,6,14,Philip Rivers pass complete short right to Antonio Gates for 9 yards (tackle by KeiVarae Russell),-0.380,-0.020
2,1:56,2,1,LAC 16,6,14,Philip Rivers pass incomplete short middle intended for Austin Ekeler (defended by Carlos Dunlap),-0.020,-0.370
2,1:51,3,1,LAC 16,6,14,Philip Rivers sacked by Carlos Dunlap for -10 yards,-0.370,-2.490
2,1:44,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:44,4,11,LAC 6,6,14,"Donnie Jones punts 38 yards, returned by Alex Erickson for 9 yards (tackle by Kyle Emanuel and Jeff Richards)",-2.490,-3.250
2,1:35,1,10,LAC 35,6,14,Joe Mixon up the middle for 3 yards (tackle by Joey Bosa),3.250,3.110
2,1:17,2,7,LAC 32,6,14,Joe Mixon up the middle for 6 yards (tackle by Melvin Ingram),3.110,3.200
2,0:54,3,1,LAC 26,6,14,Joe Mixon up the middle for 13 yards (tackle by Derwin James),3.200,4.710
2,0:30,1,10,LAC 13,6,14,Jeff Driskel pass complete short left to Cody Core for 7 yards (tackle by Michael Davis and Derwin James),4.710,5.340
2,0:25,2,3,LAC 6,12,14,"Jeff Driskel pass complete short middle to John Ross for 6 yards, touchdown",5.340,7.000
2,0:20,,,LAC 2,12,14,"Two Point Attempt: Jeff Driskel pass complete to Giovani Bernard, conversion fails",0.000,-1.000
2,0:20,,,CIN 35,12,14,"Randy Bullock kicks off 68 yards, returned by Desmond King for no gain (tackle by Davontae Harris)",0.000,1.070
2,0:10,1,10,LAC 32,12,14,Philip Rivers pass complete short right to Travis Benjamin for 11 yards,1.070,1.800
2,0:04,1,10,LAC 43,12,14,Philip Rivers pass complete short right to Keenan Allen for 11 yards (tackle by KeiVarae Russell),1.800,2.520
2,0:01,1,10,CIN 46,12,14,"Philip Rivers sacked by Sam Hubbard and Carlos Dunlap for no gain. Penalty on Jordan Willis: Defensive Offside, 5 yards (no play)",2.520,3.250
2,0:00,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:00,1,5,CIN 41,12,17,Michael Badgley 59 yard field goal good,3.250,3.000
Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,12,17,"Michael Badgley kicks off 57 yards, returned by Alex Erickson for no gain (tackle by Jeff Richards)",0.000,0.670
3,14:51,1,10,CIN 26,12,17,Jeff Driskel pass complete short left to C.J. Uzomah for 7 yards (tackle by Joey Bosa),0.670,1.070
3,14:16,2,3,CIN 33,12,17,"Penalty on Bobby Hart: False Start, 5 yards (no play)",1.070,0.400
3,13:55,2,8,CIN 28,12,17,Joe Mixon up the middle for 6 yards (tackle by Adrian Phillips),0.400,0.500
3,13:20,3,2,CIN 34,12,17,Joe Mixon up the middle for 1 yard (tackle by Melvin Ingram),0.500,-1.040
3,12:51,4,1,CIN 35,12,17,Joe Mixon up the middle for no gain (tackle by Michael Davis and Jahleel Addae),-1.040,-3.250
3,12:44,1,10,CIN 35,12,17,Austin Ekeler left end for 1 yard (tackle by Carlos Dunlap),3.250,2.840
3,12:09,2,9,CIN 34,12,17,Austin Ekeler right guard for 8 yards (tackle by Jessie Bates),2.840,3.200
3,11:50,3,1,CIN 26,12,17,Austin Ekeler up the middle for no gain (tackle by Carlos Dunlap),3.200,1.890
3,11:09,4,1,CIN 26,12,17,Austin Ekeler up the middle for 2 yards (tackle by Michael Johnson and Nick Vigil),1.890,3.970
3,10:36,1,10,CIN 24,12,17,Philip Rivers pass complete short right to Derek Watt for 2 yards,3.970,3.700
3,10:03,2,8,CIN 22,12,17,Austin Ekeler left end for 2 yards (tackle by Niles Scott),3.700,3.270
3,9:18,3,6,CIN 20,12,17,Philip Rivers pass complete short right to Tyrell Williams for 7 yards,3.270,4.710
3,8:41,1,10,CIN 13,12,17,Austin Ekeler right tackle for no gain (tackle by Nick Vigil and Christian Ringo),4.710,4.050
3,7:55,2,10,CIN 13,12,17,Philip Rivers pass incomplete short right intended for Austin Ekeler,4.050,3.120
3,7:51,3,10,CIN 13,12,17,Philip Rivers pass incomplete short right intended for Mike Williams,3.120,2.570
3,7:42,4,10,CIN 13,12,20,Michael Badgley 31 yard field goal good,2.570,3.000
3,7:38,,,LAC 35,12,20,"Michael Badgley kicks off 60 yards, returned by Alex Erickson for no gain (tackle by Adrian Phillips)",0.000,0.810
3,7:31,1,10,CIN 28,12,20,Jeff Driskel pass complete short left to Joe Mixon for 8 yards (tackle by Adrian Phillips),0.810,1.340
3,6:47,2,2,CIN 36,12,20,Giovani Bernard right tackle for no gain (tackle by Derwin James),1.340,0.630
3,6:09,3,2,CIN 36,12,20,Jeff Driskel pass complete short right to Joe Mixon for 3 yards (tackle by Jatavis Brown),0.630,1.530
3,5:31,1,10,CIN 39,12,20,Jeff Driskel pass complete deep right to C.J. Uzomah for 24 yards (tackle by Jahleel Addae),1.530,3.120
3,5:01,1,10,LAC 37,12,20,Joe Mixon left end for 3 yards (tackle by Jahleel Addae),3.120,2.980
3,4:17,2,7,LAC 34,12,20,Jeff Driskel pass incomplete short right,2.980,2.280
3,4:12,3,7,LAC 34,12,20,Jeff Driskel pass incomplete short middle intended for John Ross (defended by Jatavis Brown),2.280,1.060
3,4:07,4,7,LAC 34,12,20,"Jeff Driskel pass incomplete short middle. Penalty on Billy Price: False Start, 5 yards (no play)",1.060,0.660
3,4:07,4,12,LAC 39,12,20,Kevin Huber punts 35 yards downed by Alex Erickson,0.660,0.380
3,3:59,1,10,LAC 4,12,20,Philip Rivers pass incomplete short left intended for Mike Williams,-0.380,-0.780
3,3:54,2,10,LAC 4,12,20,Philip Rivers pass complete short left to Mike Williams for 9 yards (tackle by William Jackson),-0.780,-0.370
3,3:22,3,1,LAC 13,12,20,Justin Jackson right guard for 2 yards (tackle by KeiVarae Russell),-0.370,-0.220
3,2:42,1,10,LAC 15,12,20,Philip Rivers pass complete short left to Justin Jackson for 6 yards (tackle by Jordan Evans),-0.220,0.210
3,2:02,2,4,LAC 21,12,20,Justin Jackson up the middle for 2 yards (tackle by Jordan Willis),0.210,-0.390
3,1:16,3,2,LAC 23,12,20,Philip Rivers pass incomplete deep left intended for Keenan Allen (defended by William Jackson),-0.390,-1.830
3,1:10,4,2,LAC 23,12,20,Donnie Jones punts 38 yards out of bounds,-1.830,-1.530
3,1:00,1,10,CIN 39,12,20,Joe Mixon up the middle for 4 yards (tackle by Adrian Phillips),1.530,1.530
3,0:21,2,6,CIN 43,12,20,Jeff Driskel pass complete short left to Tyler Boyd for 13 yards (tackle by Casey Hayward),1.530,2.650
Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LAC 44,12,20,Joe Mixon left end for -3 yards (tackle by Melvin Ingram),2.650,1.710
4,14:17,2,13,LAC 47,12,20,Jeff Driskel pass complete short middle to Cody Core for 14 yards (tackle by Derwin James),1.710,3.380
4,13:41,1,10,LAC 33,12,20,Jeff Driskel pass complete short right to Giovani Bernard for 4 yards (tackle by Jatavis Brown),3.380,3.380
4,13:05,2,6,LAC 29,12,20,Joe Mixon up the middle for 1 yard (tackle by Joey Bosa),3.380,2.810
4,12:22,3,5,LAC 28,12,20,Jeff Driskel pass incomplete short middle intended for Tyler Boyd (defended by Adrian Phillips),2.810,1.630
4,12:17,4,5,LAC 28,15,20,Randy Bullock 46 yard field goal good,1.630,3.000
4,12:12,,,CIN 35,15,20,"Randy Bullock kicks off 71 yards, returned by Desmond King for no gain (tackle by Brandon Wilson and Clayton Fejedelem)",0.000,0.610
4,12:06,1,10,LAC 25,15,20,Philip Rivers pass complete deep left to Keenan Allen for 37 yards (tackle by Darqueze Dennard),0.610,3.050
4,11:20,1,10,CIN 38,15,20,Austin Ekeler right end for 5 yards (tackle by Jordan Evans),3.050,3.180
4,10:39,2,5,CIN 33,15,20,Austin Ekeler left end for -5 yards (tackle by Michael Johnson),3.180,1.820
4,9:54,3,10,CIN 38,15,20,Philip Rivers pass complete deep middle to Mike Williams for 17 yards (tackle by Jessie Bates and KeiVarae Russell),1.820,4.170
4,9:12,1,10,CIN 21,15,20,Keenan Allen right end for no gain (tackle by Jordan Willis),4.170,3.630
4,8:29,2,10,CIN 21,15,20,Philip Rivers pass complete short middle to Tyrell Williams for 7 yards (tackle by Jessie Bates),3.630,4.020
4,7:54,,,,,,Timeout #1 by Cincinnati Bengals,,
4,7:54,3,3,CIN 14,15,20,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by William Jackson),4.020,2.610
4,7:50,4,3,CIN 14,15,23,Michael Badgley 32 yard field goal good,2.610,3.000
4,7:45,,,LAC 35,15,23,"Michael Badgley kicks off 65 yards, returned by Alex Erickson for no gain (tackle by Rayshawn Jenkins and Derek Watt)",0.000,0.340
4,7:39,1,10,CIN 21,15,23,Joe Mixon up the middle for 3 yards (tackle by Joey Bosa),0.340,0.210
4,7:01,2,7,CIN 24,15,23,Jeff Driskel pass complete short right to Tyler Boyd for 20 yards (tackle by Jahleel Addae),0.210,1.860
4,6:24,1,10,CIN 44,15,23,Joe Mixon right guard for no gain (tackle by Darius Philon),1.860,1.320
4,5:45,2,10,CIN 44,15,23,Jeff Driskel pass complete short right to Joe Mixon for 4 yards (tackle by Jatavis Brown),1.320,1.160
4,5:02,3,6,CIN 48,15,23,Jeff Driskel pass complete short left to Giovani Bernard for 9 yards (tackle by Desmond King),1.160,2.720
4,4:20,1,10,LAC 43,15,23,Jeff Driskel pass incomplete deep right intended for Tyler Boyd,2.720,2.180
4,4:14,2,10,LAC 43,15,23,Joe Mixon left end for 4 yards (tackle by Justin Jones),2.180,2.010
4,3:31,3,6,LAC 39,15,23,"Jeff Driskel pass incomplete short middle intended for John Ross (defended by Casey Hayward). Penalty on Casey Hayward: Defensive Pass Interference, 9 yards (no play)",2.010,3.580
4,3:26,1,10,LAC 30,15,23,Joe Mixon up the middle for 19 yards (tackle by Jahleel Addae),3.580,4.840
4,3:02,1,10,LAC 11,15,23,Joe Mixon up the middle for 4 yards (tackle by Damion Square),4.840,4.890
4,2:26,2,6,LAC 7,15,23,Joe Mixon left guard for 5 yards (tackle by Michael Davis and Jahleel Addae),4.890,5.120
4,2:00,3,1,LAC 2,15,23,"Jeff Driskel pass incomplete short right. Penalty on Jahleel Addae: Defensive Holding, 1 yard (no play)",5.120,6.970
4,1:54,1,1,LAC 1,21,23,"Joe Mixon up the middle for 1 yard, touchdown",6.970,7.000
4,1:50,,,LAC 2,21,23,Two Point Attempt: Jeff Driskel pass complete to,0.000,-1.000
4,1:50,,,CIN 35,21,23,"Randy Bullock kicks onside 9 yards, returned by Adrian Phillips for no gain. Penalty on Clayton Fejedelem: Illegal Block Above the Waist, 10 yards",0.000,-3.310
4,1:50,1,10,CIN 34,21,23,Justin Jackson up the middle for 3 yards (tackle by Michael Johnson),3.310,3.180
4,1:45,,,,,,Timeout #2 by Cincinnati Bengals,,
4,1:45,2,7,CIN 31,21,23,Justin Jackson up the middle for 2 yards (tackle by Shawn Williams),3.180,2.740
4,1:41,,,,,,Timeout #3 by Cincinnati Bengals,,
4,1:41,3,5,CIN 29,21,23,Philip Rivers right end for 2 yards (tackle by Carlos Dunlap),2.740,1.770
4,0:54,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:54,4,3,CIN 27,21,26,Michael Badgley 45 yard field goal good,1.770,3.000
4,0:49,,,LAC 35,21,26,"Michael Badgley kicks off 59 yards, returned by Alex Erickson for no gain (tackle by Brandon Facyson)",0.000,0.480
4,0:43,1,10,CIN 23,21,26,Jeff Driskel pass incomplete short left intended for Cody Core,0.480,-0.070
4,0:39,2,10,CIN 23,21,26,Jeff Driskel sacked by Uchenna Nwosu for -9 yards,-0.070,-2.340
4,0:18,3,19,CIN 14,21,26,Jeff Driskel pass complete short right to Cody Core for 9 yards (tackle by Michael Davis),-2.340,-1.830
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
