Quarter,Time,Tm,Detail,CIN,LAC
1.0,11:39,Chargers,Keenan Allen 14 yard pass from Philip Rivers (Michael Badgley kick),0,7
,6:23,Bengals,Randy Bullock 47 yard field goal,3,7
2.0,14:51,Chargers,Austin Ekeler 5 yard rush (Michael Badgley kick),3,14
,5:01,Bengals,Randy Bullock 23 yard field goal,6,14
,0:20,Bengals,John Ross 6 yard pass from Jeff Driskel (pass failed),12,14
,0:00,Chargers,Michael Badgley 59 yard field goal,12,17
3.0,7:38,Chargers,Michael Badgley 31 yard field goal,12,20
4.0,12:12,Bengals,Randy Bullock 46 yard field goal,15,20
,7:45,Chargers,Michael Badgley 32 yard field goal,15,23
,1:50,Bengals,Joe Mixon 1 yard rush,21,23
,0:49,Chargers,Michael Badgley 45 yard field goal,21,26
