Quarter,Time,Tm,Detail,DAL,PHI
2.0,3:17,Cowboys,Dan Bailey 38 yard field goal,3,0
3.0,9:17,Cowboys,Phillip Tanner 1 yard rush (Dan Bailey kick),10,0
4.0,14:57,Eagles,Alex Henery 31 yard field goal,10,3
,9:25,Cowboys,Terrance Williams 9 yard pass from Tony Romo (Dan Bailey kick),17,3
