Unnamed: 0,DAL,PHI
First Downs,22,19
Rush-Yds-TDs,26-74-1,23-84-0
Cmp-Att-Yd-TD-INT,28-47-317-1-2,22-49-209-0-3
Sacked-Yards,2-23,3-15
Net Pass Yards,294,194
Total Yards,368,278
Fumbles-Lost,1-0,0-0
Turnovers,2,3
Penalties-Yards,12-75,5-33
Third Down Conv.,5-16,4-18
Fourth Down Conv.,0-0,1-1
Time of Possession,36:13,23:47
