Unnamed: 0,CAR,DAL
First Downs,15,19
Rush-Yds-TDs,28-75-1,25-65-1
Cmp-Att-Yd-TD-INT,9-25-175-1-1,29-43-254-2-1
Sacked-Yards,1-6,1-0
Net Pass Yards,169,254
Total Yards,244,319
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,11-68,10-123
Third Down Conv.,1-11,4-16
Fourth Down Conv.,0-1,0-0
Time of Possession,25:58,34:02
