Unnamed: 0,ARI,SEA
First Downs,23,21
Rush-Yds-TDs,16-50-0,28-80-0
Cmp-Att-Yd-TD-INT,28-46-337-3-5,22-33-272-4-0
Sacked-Yards,5-32,1-3
Net Pass Yards,305,269
Total Yards,355,349
Fumbles-Lost,1-0,1-0
Turnovers,5,0
Penalties-Yards,7-55,5-23
Third Down Conv.,3-10,4-12
Fourth Down Conv.,1-2,1-1
Time of Possession,30:37,29:23
