Quarter,Time,Down,ToGo,Location,LAC,GNB,Detail,EPB,EPA
1,6:07,1,10,LAC 30,0,0,Joshua Kelley up the middle for 3 yards (tackle by Lukas Van Ness),0.940,0.800
1,5:30,2,7,LAC 33,0,0,Justin Herbert pass complete short middle to Keenan Allen for 9 yards (tackle by De'Vondre Campbell),0.800,1.730
1,4:54,1,10,LAC 42,0,0,Justin Herbert scrambles right end for 8 yards (tackle by De'Vondre Campbell),1.730,2.270
1,4:18,2,2,LAC 50,0,0,Austin Ekeler left end for 1 yard (tackle by Lukas Van Ness),2.270,1.690
1,3:41,3,1,GNB 49,0,0,Austin Ekeler left end for 37 yards (tackle by Anthony Johnson),1.690,4.780
1,2:54,1,10,GNB 12,0,0,Joshua Kelley right tackle for 1 yard (tackle by De'Vondre Campbell),4.780,4.270
1,2:14,2,9,GNB 11,0,0,Justin Herbert pass complete short right to Quentin Johnston for 4 yards (tackle by Carrington Valentine and Quay Walker),4.270,4.160
1,1:31,3,5,GNB 7,0,0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Carrington Valentine),4.160,2.980
1,1:24,4,5,GNB 7,3,0,Cameron Dicker 25 yard field goal good,2.980,3.000
1,1:22,,,LAC 35,3,0,"Cameron Dicker kicks off 64 yards, returned by Keisean Nixon for 30 yards (tackle by Nick Niemann)",0.000,1.000
1,1:17,1,10,GNB 31,3,0,Jordan Love pass incomplete deep left intended for Romeo Doubs (defended by Michael Davis),1.000,0.460
1,1:10,2,10,GNB 31,3,0,Jayden Reed left end for 15 yards (tackle by Khalil Mack),0.460,1.990
1,0:30,1,10,GNB 46,3,0,Jordan Love pass incomplete short left,1.990,1.450
1,0:25,2,10,GNB 46,3,0,Jordan Love pass complete short right to AJ Dillon for 2 yards (tackle by Alohi Gilman),1.450,1.030
1,0:02,,,,,,Timeout #1 by Los Angeles Chargers,,
1,0:02,3,8,GNB 48,3,0,Jordan Love pass complete short right to AJ Dillon for 20 yards (tackle by Kenneth Murray),1.030,3.450
Quarter,Time,Down,ToGo,Location,LAC,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 32,3,6,"Jayden Reed right end for 32 yards, touchdown",3.450,7.000
2,14:53,,,LAC 15,3,7,Anders Carlson kicks extra point good,0.000,0.000
2,14:53,,,GNB 35,3,7,"Anders Carlson kicks off 65 yards, touchback.",0.000,0.610
2,14:53,1,10,LAC 25,3,7,Justin Herbert sacked by Karl Brooks for -6 yards,0.610,-0.810
2,14:11,2,16,LAC 19,3,7,Justin Herbert scrambles left end for 11 yards (tackle by De'Vondre Campbell),-0.810,0.040
2,13:31,3,5,LAC 30,3,7,Justin Herbert pass complete short middle to Alex Erickson for 12 yards (tackle by Keisean Nixon),0.040,1.730
2,12:56,1,10,LAC 42,3,7,Joshua Kelley right tackle for 7 yards (tackle by Preston Smith and Jonathan Owens),1.730,2.130
2,12:33,2,3,LAC 49,3,7,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by Corey Ballentine),2.130,1.420
2,12:25,3,3,LAC 49,9,7,"Justin Herbert pass complete deep middle to Stone Smartt for 51 yards, touchdown",1.420,7.000
2,12:16,,,GNB 15,10,7,Cameron Dicker kicks extra point good,0.000,0.000
2,12:16,,,LAC 35,10,7,"Cameron Dicker kicks off 49 yards, returned by Malik Heath for 1 yard (tackle by Ja'Sir Taylor)",0.000,-0.060
2,12:15,1,10,GNB 17,10,7,Jordan Love sacked by Sebastian Joseph-Day for -5 yards,-0.060,-1.150
2,11:30,2,15,GNB 12,10,7,Jordan Love pass complete deep middle to Dontayvion Wicks for 29 yards (tackle by Derwin James),-1.150,1.660
2,10:47,1,10,GNB 41,10,7,"Aaron Jones right guard for 9 yards (tackle by Derwin James and Kenneth Murray). Penalty on Austin Johnson: Face Mask (15 Yards), 15 yards (accepted)",1.660,3.250
2,10:24,1,10,LAC 35,10,7,Emanuel Wilson right guard for 5 yards (tackle by Eric Kendricks),3.250,3.380
2,9:44,2,5,LAC 30,10,7,Emanuel Wilson left guard for 4 yards (tackle by Kenneth Murray and Eric Kendricks),3.380,3.200
2,9:03,3,1,LAC 26,10,7,AJ Dillon left guard for 3 yards (tackle by Kenneth Murray),3.200,4.040
2,8:21,1,10,LAC 23,10,7,Jordan Love pass incomplete short left intended for Aaron Jones (defended by Khalil Mack),4.040,3.500
2,8:16,2,10,LAC 23,10,7,Jordan Love pass incomplete short middle intended for Luke Musgrave,3.500,2.810
2,8:12,3,10,LAC 23,10,7,"Penalty on Yosh Nijman: False Start, 5 yards (accepted) (no play)",2.810,2.150
2,8:12,3,15,LAC 28,10,7,"Jordan Love aborted snap, recovered by Jordan Love at LAC-35 and returned for -6 yards (tackle by Eric Kendricks)",2.150,1.060
2,7:21,4,21,LAC 34,10,7,Anders Carlson 52 yard field goal no good,1.060,-1.730
2,7:16,1,10,LAC 42,10,7,Austin Ekeler left tackle for -2 yards (tackle by De'Vondre Campbell and Quay Walker),1.730,0.920
2,6:41,2,12,LAC 40,10,7,Justin Herbert scrambles up the middle for 7 yards (tackle by Keisean Nixon),0.920,1.160
2,6:07,3,5,LAC 47,10,7,Justin Herbert pass incomplete short right intended for Quentin Johnston (defended by Carrington Valentine),1.160,-0.260
2,6:01,4,5,LAC 47,10,7,"JK Scott punts 41 yards, returned by Jayden Reed for 7 yards (tackle by Deane Leonard)",-0.260,-0.150
2,5:51,1,10,GNB 19,10,7,Jordan Love pass complete short left to Malik Heath for 7 yards (tackle by Michael Davis),0.150,0.610
2,5:19,2,3,GNB 26,10,7,AJ Dillon left guard for 5 yards (tackle by Eric Kendricks),0.610,1.000
2,4:38,1,10,GNB 31,10,7,Jordan Love pass complete short right to Aaron Jones for 3 yards (tackle by Eric Kendricks),1.000,0.870
2,3:54,2,7,GNB 34,10,7,Jordan Love pass incomplete short left intended for Dontayvion Wicks,0.870,0.170
2,3:49,3,7,GNB 34,10,7,"Penalty on Christian Watson: False Start, 5 yards (accepted) (no play)",0.170,-0.490
2,3:49,3,12,GNB 29,10,7,Jordan Love pass complete short middle to Jayden Reed for 17 yards (tackle by Ja'Sir Taylor),-0.490,1.990
2,3:10,1,10,GNB 46,10,7,Aaron Jones left tackle for 2 yards (tackle by Kenneth Murray and Nick Williams),1.990,1.720
2,2:47,2,8,GNB 48,10,7,Jordan Love pass complete short left to Jayden Reed for 6 yards (tackle by Alohi Gilman and Kenneth Murray),1.720,1.820
2,2:19,3,2,LAC 46,10,7,AJ Dillon up the middle for 3 yards (tackle by Tuli Tuipulotu),1.820,2.720
2,2:00,1,10,LAC 43,10,7,Jordan Love pass incomplete short right intended for Emanuel Wilson (defended by Asante Samuel),2.720,2.180
2,1:56,2,10,LAC 43,10,7,Jordan Love pass complete short right to Jayden Reed for 19 yards (tackle by Eric Kendricks),2.180,3.970
2,1:17,1,10,LAC 24,10,7,Emanuel Wilson up the middle for 3 yards (tackle by Khalil Mack),3.970,3.840
2,0:42,2,7,LAC 21,10,7,Jordan Love pass complete short right to Emanuel Wilson for 9 yards (tackle by Kenneth Murray),3.840,4.780
2,0:34,,,,,,Timeout #1 by Green Bay Packers,,
2,0:34,1,10,LAC 12,10,7,Jordan Love pass complete short middle to AJ Dillon for 1 yard (tackle by Tuli Tuipulotu),4.780,4.270
2,0:21,,,,,,Timeout #2 by Green Bay Packers,,
2,0:21,2,9,LAC 11,10,7,Jordan Love scrambles right end for 1 yard (tackle by Derwin James),4.270,3.480
2,0:11,,,,,,Timeout #3 by Green Bay Packers,,
2,0:11,3,8,LAC 10,10,7,"Jordan Love pass complete to Christian Watson for 9 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jordan Love pass incomplete short left intended for Christian Watson",3.480,2.760
2,0:11,4,8,LAC 10,10,10,Anders Carlson 28 yard field goal good,2.760,3.000
2,0:07,,,GNB 35,10,10,"Anders Carlson kicks off 63 yards, returned by Derius Davis for 21 yards (tackle by Robert Rochell)",0.000,0.480
2,0:03,1,10,LAC 23,10,10,Justin Herbert kneels for -1 yards,0.480,-0.200
Quarter,Time,Down,ToGo,Location,LAC,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,10,10,"Anders Carlson kicks off 63 yards, returned by Derius Davis for 20 yards (tackle by Malik Heath)",0.000,0.410
3,14:56,1,10,LAC 22,10,10,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Keisean Nixon),0.410,1.080
3,14:17,2,1,LAC 31,10,10,Austin Ekeler up the middle for 14 yards (tackle by Carrington Valentine and Anthony Johnson),1.080,1.930
3,13:43,1,10,LAC 45,10,10,Justin Herbert pass complete short right to Quentin Johnston for 17 yards (tackle by Jonathan Owens),1.930,3.050
3,13:12,1,10,GNB 38,10,10,Justin Herbert pass incomplete deep right intended for Keenan Allen,3.050,2.510
3,13:04,2,10,GNB 38,10,10,Joshua Kelley left end for 3 yards (tackle by Jonathan Owens),2.510,2.210
3,12:29,3,7,GNB 35,10,10,Justin Herbert scrambles up the middle for 28 yards (tackle by Corey Ballentine),2.210,5.600
3,12:02,1,7,GNB 7,10,10,Austin Ekeler right guard for 3 yards (tackle by Quay Walker and Rashan Gary),5.600,5.340
3,11:28,2,4,GNB 4,10,10,Justin Herbert pass complete short left to Derius Davis for -3 yards (tackle by Keisean Nixon),5.340,3.810
3,10:51,3,7,GNB 7,10,10,Justin Herbert pass incomplete short middle intended for Keenan Allen,3.810,2.970
3,10:47,4,7,GNB 7,13,10,Cameron Dicker 26 yard field goal good,2.970,3.000
3,10:44,,,LAC 35,13,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,10:44,1,10,GNB 25,13,10,AJ Dillon up the middle for -5 yards (tackle by Khalil Mack),0.610,-0.610
3,10:06,2,15,GNB 20,13,10,Jordan Love pass complete short right to Tucker Kraft for 5 yards (tackle by Dean Marlowe),-0.610,-0.620
3,9:20,3,10,GNB 25,13,10,Jordan Love pass complete short left to Luke Musgrave for 10 yards (tackle by Derwin James),-0.620,1.270
3,8:39,1,10,GNB 35,13,10,AJ Dillon left end for 6 yards (tackle by Kenneth Murray),1.270,1.530
3,8:01,2,4,GNB 41,13,10,AJ Dillon left end for 3 yards (tackle by Khalil Mack),1.530,1.220
3,7:20,3,1,GNB 44,13,10,Jordan Love pass complete short right to Jayden Reed for 4 yards (tackle by Ja'Sir Taylor),1.220,2.130
3,6:54,1,10,GNB 48,13,10,Jordan Love pass complete short left to Christian Watson for 10 yards (tackle by Kenneth Murray and Alohi Gilman),2.130,2.790
3,6:13,1,10,LAC 42,13,10,Jordan Love pass complete short right to Luke Musgrave for 8 yards (tackle by Asante Samuel),2.790,3.320
3,5:37,2,2,LAC 34,13,10,AJ Dillon up the middle for -4 yards (tackle by Tuli Tuipulotu),3.320,2.080
3,4:54,3,6,LAC 38,13,10,Jordan Love sacked by Khalil Mack for -11 yards,2.080,0.000
3,4:16,4,17,LAC 49,13,10,"Daniel Whelan punts 39 yards, fair catch by Derius Davis at LAC-10",0.000,0.380
3,4:07,1,10,LAC 10,13,10,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Jonathan Owens),-0.380,0.070
3,3:34,2,2,LAC 18,13,10,Joshua Kelley up the middle for -3 yards (tackle by Kingsley Enagbare),0.070,-0.840
3,3:11,3,5,LAC 15,13,10,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Keisean Nixon),-0.840,-2.140
3,2:35,4,1,LAC 19,13,10,"JK Scott punts 57 yards, recovered by Keisean Nixon at GB-29 (tackle by Deane Leonard)",-2.140,-0.940
3,2:25,1,10,GNB 30,13,10,Jordan Love pass complete deep middle to Dontayvion Wicks for 27 yards (tackle by Alohi Gilman),0.940,2.720
3,1:48,1,10,LAC 43,13,10,AJ Dillon up the middle for 4 yards (tackle by Dean Marlowe and Austin Johnson),2.720,2.720
3,1:04,2,6,LAC 39,13,10,"Jordan Love pass complete short right to Tucker Kraft for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Jordan Love pass complete short right to Tucker Kraft for 27 yards (tackle by Dean Marlowe)",2.720,4.780
3,0:58,1,10,LAC 12,13,10,Jordan Love pass complete short left to Romeo Doubs for 1 yard (tackle by Eric Kendricks and Alohi Gilman),4.780,4.270
3,0:08,2,9,LAC 11,13,16,"Jordan Love pass complete short left to Christian Watson for 11 yards, touchdown",4.270,7.000
3,0:04,,,LAC 15,13,16,Anders Carlson kicks extra point no good,0.000,-1.000
3,0:04,,,GNB 35,13,16,"Anders Carlson kicks off 57 yards, returned by Derius Davis for 17 yards (tackle by Malik Heath)",0.000,0.610
Quarter,Time,Down,ToGo,Location,LAC,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LAC 25,13,16,Justin Herbert pass complete deep right to Keenan Allen for 38 yards (tackle by Anthony Johnson),0.610,3.120
4,14:18,1,10,GNB 37,13,16,Justin Herbert pass complete deep right to Donald Parham for 21 yards,3.120,4.510
4,13:38,1,10,GNB 16,13,16,Justin Herbert pass complete short middle to Donald Parham for 14 yards (tackle by Anthony Johnson and Jonathan Owens),4.510,6.740
4,12:58,1,2,GNB 2,13,16,Justin Herbert pass incomplete short left intended for Keenan Allen,6.740,5.720
4,12:54,2,2,GNB 2,13,16,"Austin Ekeler up the middle for -1 yards. Austin Ekeler fumbles (forced by Kenny Clark), recovered by Rashan Gary at GB-6 (tackle by Kenny Clark)",5.720,0.380
4,12:44,1,10,GNB 6,13,16,Jordan Love pass incomplete short right intended for Jayden Reed (defended by Tuli Tuipulotu),-0.380,-0.780
4,12:41,2,10,GNB 6,13,16,AJ Dillon up the middle for 6 yards (tackle by Alohi Gilman and Eric Kendricks),-0.780,-0.720
4,12:09,3,4,GNB 12,13,16,Jordan Love pass complete short left to Romeo Doubs for 5 yards (tackle by Dean Marlowe),-0.720,-0.060
4,11:27,1,10,GNB 17,13,16,Jordan Love pass incomplete short left intended for Luke Musgrave,-0.060,-0.580
4,11:19,2,10,GNB 17,13,16,Jordan Love pass incomplete short right intended for Dontayvion Wicks,-0.580,-1.250
4,11:14,3,10,GNB 17,13,16,"Jordan Love pass incomplete short left. Penalty on Jordan Love: Intentional Grounding, 9 yards (accepted)",-1.250,-2.490
4,11:10,4,19,GNB 8,13,16,"Daniel Whelan punts 61 yards, returned by Derius Davis for 6 yards (tackle by Zayne Anderson)",-2.490,-1.400
4,11:00,1,10,LAC 37,13,16,Joshua Kelley right guard for 2 yards (tackle by Tedarrell Slaton and De'Vondre Campbell),1.400,1.130
4,10:32,2,8,LAC 39,13,16,Justin Herbert pass incomplete short right intended for Donald Parham,1.130,0.430
4,10:23,3,8,LAC 39,13,16,Justin Herbert pass complete short middle to Donald Parham for 12 yards (tackle by Jonathan Owens),0.430,2.320
4,9:43,1,10,GNB 49,13,16,Justin Herbert pass complete short right to Keenan Allen for 11 yards (tackle by Carrington Valentine),2.320,3.050
4,9:08,1,10,GNB 38,13,16,"Justin Herbert pass incomplete intended for Stone Smartt. Penalty on Stone Smartt: Offensive Pass Interference, 10 yards (accepted) (no play)",3.050,2.390
4,8:58,1,20,GNB 48,13,16,Justin Herbert pass complete deep left to Keenan Allen for 17 yards (tackle by Corey Ballentine),2.390,3.450
4,8:23,2,3,GNB 31,13,16,Justin Herbert scrambles left end for 9 yards (tackle by Corey Ballentine),3.450,4.110
4,7:40,1,10,GNB 22,13,16,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",4.110,3.780
4,7:40,1,15,GNB 27,13,16,Austin Ekeler up the middle for 5 yards (tackle by Quay Walker and Corey Ballentine),3.780,3.560
4,7:01,2,10,GNB 22,13,16,Justin Herbert scrambles up the middle for 11 yards (tackle by Quay Walker),3.560,4.840
4,6:14,1,10,GNB 11,13,16,Austin Ekeler left tackle for 1 yard (tackle by Corey Ballentine and Jonathan Owens),4.840,4.320
4,5:32,2,9,GNB 10,13,16,Justin Herbert pass incomplete short middle intended for Stone Smartt,4.320,3.300
4,5:29,3,9,GNB 10,19,16,"Justin Herbert pass complete short middle to Keenan Allen for 10 yards, touchdown",3.300,7.000
4,5:24,,,GNB 15,20,16,Cameron Dicker kicks extra point good,0.000,0.000
4,5:24,,,LAC 35,20,16,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,5:24,1,10,GNB 25,20,16,Christian Watson left end for 1 yard (tackle by Alohi Gilman),0.610,0.200
4,4:43,2,9,GNB 26,20,16,"Jordan Love sacked by Khalil Mack for -11 yards. Jordan Love fumbles (forced by Khalil Mack), recovered by Zach Tom at GB-15 (tackle by Khalil Mack)",0.200,-2.350
4,3:59,3,20,GNB 15,20,16,"Jordan Love pass incomplete deep middle intended for Dontayvion Wicks. Penalty on Asante Samuel: Defensive Pass Interference, 24 yards (accepted) (no play)",-2.350,1.530
4,3:53,1,10,GNB 39,20,16,Jordan Love pass incomplete deep left intended for Christian Watson,1.530,0.990
4,3:47,2,10,GNB 39,20,16,Jordan Love pass complete short middle to Dontayvion Wicks for 35 yards (tackle by Eric Kendricks),0.990,3.840
4,2:59,1,10,LAC 26,20,16,AJ Dillon left guard for 2 yards (tackle by Derwin James),3.840,3.570
4,2:38,2,8,LAC 24,20,22,"Jordan Love pass complete deep left to Romeo Doubs for 24 yards, touchdown",3.570,7.000
4,2:33,,,LAC 15,20,23,Anders Carlson kicks extra point good,0.000,0.000
4,2:33,,,GNB 35,20,23,"Anders Carlson kicks off 65 yards, touchback.",0.000,0.610
4,2:33,1,10,LAC 25,20,23,Justin Herbert pass incomplete short left intended for Quentin Johnston,0.610,0.060
4,2:29,2,10,LAC 25,20,23,Justin Herbert pass incomplete short right intended for Austin Ekeler,0.060,-0.620
4,2:26,3,10,LAC 25,20,23,Justin Herbert sacked by Rashan Gary for -10 yards,-0.620,-2.440
4,2:00,4,20,LAC 15,20,23,"JK Scott punts 45 yards, returned by Keisean Nixon for 1 yard (tackle by Deane Leonard)",-2.440,-1.660
4,1:47,1,10,GNB 41,20,23,AJ Dillon left tackle for 4 yards (tackle by Alohi Gilman and Michael Davis),1.660,1.660
4,1:42,,,,,,Timeout #1 by Los Angeles Chargers,,
4,1:42,2,6,GNB 45,20,23,AJ Dillon right end for no gain (tackle by Kenneth Murray),1.660,0.960
4,1:38,,,,,,Timeout #2 by Los Angeles Chargers,,
4,1:38,3,6,GNB 45,20,23,AJ Dillon up the middle for 2 yards (tackle by Sebastian Joseph-Day and Derwin James),0.960,-0.260
4,1:35,,,,,,Timeout #3 by Los Angeles Chargers,,
4,1:35,4,4,GNB 47,20,23,"Daniel Whelan punts 53 yards, touchback.",-0.260,-0.280
4,1:27,1,10,LAC 20,20,23,Justin Herbert pass complete short right to Austin Ekeler for 6 yards (tackle by Quay Walker),0.280,0.540
4,1:20,2,4,LAC 26,20,23,"Justin Herbert aborted snap, recovered by Justin Herbert at LAC-22 and returned for -4 yards",0.540,-0.690
4,0:59,3,8,LAC 22,20,23,"Justin Herbert pass incomplete short middle intended for Keenan Allen. Penalty on Anthony Johnson: Defensive Pass Interference, 4 yards (accepted) (no play)",-0.690,0.670
4,0:58,1,10,LAC 26,20,23,Justin Herbert pass incomplete deep right intended for Keenan Allen,0.670,0.130
4,0:51,2,10,LAC 26,20,23,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Keisean Nixon),0.130,-0.030
4,0:31,3,6,LAC 30,20,23,Justin Herbert pass incomplete deep right intended for Quentin Johnston,-0.030,-1.370
4,0:23,,,,,,Timeout #1 by Green Bay Packers,,
4,0:23,4,6,LAC 30,20,23,"Penalty on Rashan Gary: Defensive Offside, 5 yards (accepted) (no play)",-1.370,-1.040
4,0:23,4,1,LAC 35,20,23,Justin Herbert pass incomplete short middle intended for Stone Smartt (defended by Kenny Clark),-1.040,-3.250
4,0:19,1,10,LAC 35,20,23,Jordan Love kneels for -1 yards,3.250,2.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
