Unnamed: 0,LAC,GNB
First Downs,17,23
Rush-Yds-TDs,24-150-0,28-102-1
Cmp-Att-Yd-TD-INT,21-36-260-2-0,27-40-322-2-0
Sacked-Yards,2-16,3-27
Net Pass Yards,244,295
Total Yards,394,397
Fumbles-Lost,2-1,3-0
Turnovers,1,0
Penalties-Yards,4-54,7-46
Third Down Conv.,7-14,7-14
Fourth Down Conv.,0-2,0-1
Time of Possession,28:02,31:58
