Quarter,Time,Tm,Detail,LAC,GNB
1.0,1:22,Chargers,Cameron Dicker 25 yard field goal,3,0
2.0,14:53,Packers,Jayden Reed 32 yard rush (Anders Carlson kick),3,7
,12:16,Chargers,Stone Smartt 51 yard pass from Justin Herbert (Cameron Dicker kick),10,7
,0:07,Packers,Anders Carlson 28 yard field goal,10,10
3.0,10:44,Chargers,Cameron Dicker 26 yard field goal,13,10
,0:04,Packers,Christian Watson 11 yard pass from Jordan Love (Anders Carlson kick failed),13,16
4.0,5:24,Chargers,Keenan Allen 10 yard pass from Justin Herbert (Cameron Dicker kick),20,16
,2:29,Packers,Romeo Doubs 24 yard pass from Jordan Love (Anders Carlson kick),20,23
