Unnamed: 0,CAR,ATL
First Downs,22,22
Rush-Yds-TDs,25-61-1,38-204-2
Cmp-Att-Yd-TD-INT,24-35-340-2-1,11-28-154-2-2
Sacked-Yards,4-26,4-29
Net Pass Yards,314,125
Total Yards,375,329
Fumbles-Lost,6-3,3-2
Turnovers,4,4
Penalties-Yards,7-50,6-66
Third Down Conv.,5-12,7-14
Fourth Down Conv.,0-0,1-1
Time of Possession,29:48,32:37
