Unnamed: 0,CIN,CLE
First Downs,24,9
Rush-Yds-TDs,37-88-1,14-51-0
Cmp-Att-Yd-TD-INT,27-34-300-3-1,18-29-186-0-4
Sacked-Yards,1-0,4-34
Net Pass Yards,300,152
Total Yards,388,203
Fumbles-Lost,0-0,2-1
Turnovers,1,5
Penalties-Yards,8-75,9-93
Third Down Conv.,7-14,4-12
Fourth Down Conv.,1-1,0-2
Time of Possession,37:50,22:10
