Unnamed: 0,NYG,TAM
First Downs,24,19
Rush-Yds-TDs,33-114-0,23-136-1
Cmp-Att-Yd-TD-INT,26-40-213-2-2,19-36-247-0-0
Sacked-Yards,0-0,0-0
Net Pass Yards,213,247
Total Yards,327,383
Fumbles-Lost,1-0,4-3
Turnovers,2,3
Penalties-Yards,6-49,9-79
Third Down Conv.,9-16,6-13
Fourth Down Conv.,0-1,0-0
Time of Possession,34:55,25:05
