Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NYG 20,0,0,Eli Manning pass incomplete short right intended for Odell Beckham is intercepted by Sterling Moore at NYG-31 and returned for 18 yards,0.280,-4.710
1,14:51,1,10,NYG 13,0,0,Doug Martin right end for 4 yards (tackle by Jonathan Casillas),4.710,4.770
1,14:15,2,6,NYG 9,0,0,Doug Martin left guard for 2 yards (tackle by Jayron Hosley),4.770,4.330
1,13:34,3,4,NYG 7,0,0,Jameis Winston pass incomplete short left intended for Mike Evans,4.330,2.990
1,13:30,4,4,NYG 7,0,3,Connor Barth 25 yard field goal good,2.990,3.000
1,13:30,,,TAM 35,0,3,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
1,13:26,1,10,NYG 20,0,3,Eli Manning pass complete short left to Rueben Randle for 6 yards (tackle by Jude Adjei-Barimah and Danny Lansanah),0.280,0.540
1,12:51,2,4,NYG 26,0,3,Eli Manning pass incomplete short right intended for Odell Beckham,0.540,-0.160
1,12:44,3,4,NYG 26,0,3,"Eli Manning pass complete short middle to Odell Beckham for 16 yards (tackle by Bradley McDougald and Chris Conte). Penalty on Lavonte David: Unnecessary Roughness, 15 yards",-0.160,2.720
1,12:23,1,10,TAM 43,0,3,Eli Manning pass complete short left to Rueben Randle for 7 yards (tackle by Alterraun Verner),2.720,3.120
1,11:54,2,3,TAM 36,0,3,Shane Vereen left guard for 8 yards (tackle by Chris Conte and William Gholston),3.120,3.710
1,11:16,1,10,TAM 28,0,3,Eli Manning pass complete short left to Shane Vereen for 10 yards (tackle by Jude Adjei-Barimah),3.710,4.370
1,10:41,1,10,TAM 18,0,3,Shane Vereen right guard for 1 yard (tackle by Henry Melton and Kwon Alexander),4.370,3.940
1,10:07,2,9,TAM 17,0,3,Eli Manning pass incomplete deep middle intended for Will Tye (defended by Chris Conte),3.940,3.170
1,10:02,3,9,TAM 17,0,3,Eli Manning pass incomplete short left intended for Will Tye,3.170,2.310
1,9:57,4,9,TAM 17,3,3,Josh Brown 35 yard field goal good,2.310,3.000
1,9:57,,,NYG 35,3,3,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,9:52,1,10,TAM 20,3,3,Jameis Winston pass complete deep middle to Mike Evans for 68 yards (tackle by Jonathan Casillas),0.280,4.780
1,9:01,1,10,NYG 12,3,3,Doug Martin right guard for 2 yards (tackle by Jason Pierre-Paul and Jasper Brinkley),4.780,4.450
1,8:23,2,8,NYG 10,3,3,Jameis Winston pass incomplete short left intended for Mike Evans,4.450,3.480
1,8:17,3,8,NYG 10,3,3,Jameis Winston pass incomplete short left intended for Doug Martin. Penalty on Cameron Brate: Offensive Pass Interference (Declined),3.480,2.760
1,8:08,4,8,NYG 10,3,6,Connor Barth 28 yard field goal good,2.760,3.000
1,8:08,,,TAM 35,3,6,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
1,8:04,1,10,NYG 20,3,6,Andre Williams middle for 6 yards (tackle by Henry Melton and George Johnson),0.280,0.540
1,7:36,2,4,NYG 26,3,6,Andre Williams left guard for 6 yards (tackle by Bradley McDougald),0.540,1.070
1,7:02,1,10,NYG 32,3,6,Eli Manning pass complete short left to Rueben Randle for 6 yards (tackle by Jude Adjei-Barimah),1.070,1.340
1,6:39,2,4,NYG 38,3,6,Andre Williams left tackle for -1 yards (tackle by Keith Tandy and Kwon Alexander),1.340,0.500
1,6:03,3,5,NYG 37,3,6,"Penalty on William Gholston: Neutral Zone Infraction, 5 yards (no play)",0.500,1.730
1,5:32,1,10,NYG 42,3,6,"Eli Manning pass incomplete short middle intended for Dwayne Harris. Penalty on Lavonte David: Defensive Pass Interference, 8 yards (no play)",1.730,2.260
1,5:28,1,10,,3,6,Eli Manning pass complete short right to Dwayne Harris for 1 yard (tackle by Alterraun Verner),2.260,1.850
1,5:01,2,9,TAM 49,3,6,Eli Manning pass complete short middle to Andre Williams for 7 yards (tackle by Alterraun Verner),1.850,2.080
1,4:30,3,2,TAM 42,3,6,Eli Manning pass complete short right to Shane Vereen for 8 yards (tackle by Lavonte David),2.080,3.310
1,3:56,1,10,TAM 34,3,6,"Penalty on Tony McDaniel: Neutral Zone Infraction, 5 yards (no play)",3.310,4.040
1,3:38,1,5,TAM 29,3,6,Andre Williams left guard for 3 yards (tackle by Bradley McDougald),4.040,3.850
1,2:58,2,2,TAM 26,3,6,Eli Manning pass complete short middle to Odell Beckham for 13 yards (tackle by Alterraun Verner and Lavonte David),3.850,4.710
1,2:17,1,10,TAM 13,3,6,Eli Manning pass complete short left to Myles White for 3 yards (tackle by Jude Adjei-Barimah and Lavonte David),4.710,4.580
1,1:42,2,7,TAM 10,3,6,Andre Williams left guard for 2 yards (tackle by Danny Lansanah),4.580,4.100
1,1:00,3,5,TAM 8,9,6,"Eli Manning pass complete short left to Rueben Randle for 8 yards, touchdown",4.100,7.000
1,1:00,,,TAM 8,10,6,Josh Brown kicks extra point good,0.000,0.000
1,1:00,,,NYG 35,10,6,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,0:53,1,10,TAM 20,10,6,Doug Martin right end for -1 yards (tackle by Jasper Brinkley),0.280,-0.460
1,0:11,2,11,TAM 19,10,6,"Jameis Winston pass complete short middle to Cameron Brate for 5 yards (tackle by Devon Kennard). Penalty on Jayron Hosley: Defensive Holding, 5 yards (no play)",-0.460,0.540
Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 24,10,6,"Doug Martin middle for 2 yards (tackle by Johnathan Hankins). Doug Martin fumbles (forced by Johnathan Hankins), recovered by Jasper Brinkley at TAM-28 (tackle by Joe Hawley)",0.540,-3.710
2,14:54,1,10,TAM 28,10,6,Eli Manning pass incomplete short middle intended for Will Tye,3.710,3.170
2,14:48,2,10,TAM 28,10,6,Orleans Darkwa left guard for 3 yards (tackle by Gerald McCoy and Akeem Spence),3.170,2.870
2,14:03,3,7,TAM 25,10,6,Eli Manning pass complete short left to Odell Beckham for 10 yards (tackle by Keith Tandy),2.870,4.580
2,13:42,1,10,TAM 15,10,6,"Shane Vereen middle for 3 yards (tackle by Keith Tandy). Penalty on Ereck Flowers: Offensive Holding, 10 yards",4.580,4.110
2,13:25,1,17,TAM 22,10,6,Orleans Darkwa middle for 9 yards (tackle by Akeem Spence),4.110,4.280
2,12:59,2,8,TAM 13,10,6,Orleans Darkwa middle for 5 yards (tackle by Lavonte David),4.280,4.450
2,12:18,3,3,TAM 8,10,6,Eli Manning pass complete short right to Jerome Cunningham for 6 yards (tackle by Chris Conte and Lavonte David),4.450,6.740
2,12:00,1,2,TAM 2,10,6,Shane Vereen middle for -2 yards (tackle by Kwon Alexander and Chris Conte),6.740,5.340
2,11:25,2,4,TAM 4,16,6,"Eli Manning pass complete short right to Shane Vereen for 4 yards, touchdown",5.340,7.000
