Quarter,Time,Tm,Detail,NYG,TAM
1.0,13:26,Buccaneers,Connor Barth 25 yard field goal,0,3
,9:52,Giants,Josh Brown 35 yard field goal,3,3
,8:04,Buccaneers,Connor Barth 28 yard field goal,3,6
,0:53,Giants,Rueben Randle 8 yard pass from Eli Manning (Josh Brown kick),10,6
2.0,11:20,Giants,Shane Vereen 4 yard pass from Eli Manning (Josh Brown kick),17,6
,0:06,Buccaneers,Connor Barth 21 yard field goal,17,9
3.0,11:49,Giants,Josh Brown 35 yard field goal,20,9
,7:15,Buccaneers,Connor Barth 53 yard field goal,20,12
4.0,9:25,Buccaneers,Jameis Winston 10 yard rush (pass failed),20,18
,7:18,Giants,Josh Brown 53 yard field goal,23,18
,0:23,Giants,Josh Brown 44 yard field goal,26,18
,0:00,Giants,Trevin Wade 5 yard defensive fumble return (run failed),32,18
