Quarter,Time,Tm,Detail,STL,WAS
2.0,12:19,Rams,Jared Cook 35 yard pass from Shaun Hill (Greg Zuerlein kick failed),6,0
3.0,7:39,Rams,Greg Zuerlein 34 yard field goal,9,0
,3:52,Rams,Jared Cook 1 yard pass from Shaun Hill (Cory Harkey pass from Johnny Hekker),17,0
,1:36,Rams,Tavon Austin 78 yard punt return (Greg Zuerlein kick),24,0
