Unnamed: 0,STL,WAS
First Downs,19,13
Rush-Yds-TDs,30-131-0,12-27-0
Cmp-Att-Yd-TD-INT,16-22-213-2-0,23-36-232-0-2
Sacked-Yards,4-15,7-53
Net Pass Yards,198,179
Total Yards,329,206
Fumbles-Lost,2-0,2-0
Turnovers,0,2
Penalties-Yards,11-98,5-51
Third Down Conv.,6-12,3-12
Fourth Down Conv.,0-0,0-3
Time of Possession,32:49,27:11
