Quarter,Time,Down,ToGo,Location,STL,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 65 yards, returned by Andre Roberts for 23 yards (tackle by Daren Bates)",0.000,-0.480
1,14:54,1,10,WAS 23,0,0,Colt McCoy pass complete short left to Pierre Garcon for 10 yards (tackle by Janoris Jenkins),0.480,1.140
1,14:29,1,10,WAS 33,0,0,Alfred Morris right end for 12 yards (tackle by Robert Quinn),1.140,1.930
1,13:49,1,10,WAS 45,0,0,Colt McCoy pass incomplete short middle intended for Alfred Morris,1.930,1.380
1,13:45,2,10,WAS 45,0,0,Alfred Morris left end for no gain (tackle by Eugene Sims and Aaron Donald),1.380,0.700
1,13:03,3,10,WAS 45,0,0,Colt McCoy pass complete short left to Pierre Garcon for 11 yards (tackle by Janoris Jenkins),0.700,2.650
1,12:25,1,10,STL 44,0,0,Alfred Morris right end for -1 yards (tackle by William Hayes),2.650,1.980
1,11:44,2,11,STL 45,0,0,Colt McCoy pass complete short left to Pierre Garcon for 13 yards (tackle by Trumaine Johnson and T.J. McDonald),1.980,3.450
1,11:00,1,10,STL 32,0,0,Alfred Morris left guard for -3 yards (tackle by Chris Long),3.450,2.500
1,10:20,2,13,STL 35,0,0,Colt McCoy pass incomplete deep middle intended for Ryan Grant is intercepted by Rodney McLeod at STL-16 and returned for 1 yard,2.500,0.060
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
1,10:16,1,10,STL 17,0,0,Tre Mason up the middle for no gain (tackle by William Compton),-0.060,-0.580
1,9:46,2,10,STL 17,0,0,"Shaun Hill for no gain. Shaun Hill fumbles, recovered by Shaun Hill at STL-16",-0.580,-1.410
1,9:07,3,11,STL 16,0,0,Shaun Hill pass complete short middle to Jared Cook for 16 yards (tackle by Phillip Thomas and William Compton),-1.410,1.070
1,8:29,1,10,STL 32,0,0,Shaun Hill pass complete short right to Lance Kendricks for 11 yards (tackle by Ryan Clark and William Compton),1.070,1.800
1,7:46,1,10,STL 43,0,0,Shaun Hill pass complete short right to Tavon Austin for 9 yards (tackle by Phillip Thomas),1.800,2.470
1,7:09,2,1,WAS 48,0,0,Tre Mason left guard for no gain (tackle by Ryan Kerrigan),2.470,1.750
1,6:40,3,1,WAS 48,0,0,"Shaun Hill pass incomplete deep right intended for Jared Cook. Penalty on Ryan Clark: Unnecessary Roughness, 16 yards (no play)",1.750,3.450
1,6:33,1,10,WAS 32,0,0,Tre Mason left end for 5 yards (tackle by William Compton),3.450,3.580
1,6:00,2,5,WAS 27,0,0,Shaun Hill pass complete short right to Tavon Austin for 5 yards (tackle by Ryan Clark),3.580,4.110
1,5:31,1,10,WAS 22,0,0,"Shaun Hill pass complete short middle to Stedman Bailey for 5 yards (tackle by William Compton and Nick Sundberg). Penalty on Scott Wells: Illegal Use of Hands, 10 yards (no play)",4.110,3.450
1,5:02,1,20,WAS 32,0,0,"Shaun Hill pass complete short right to Tre Mason for 4 yards (tackle by Ryan Clark). Penalty on Cory Harkey: Offensive Pass Interference, 10 yards (no play)",3.450,2.790
1,4:31,1,30,WAS 42,0,0,Shaun Hill pass incomplete short right intended for Tre Mason,2.790,0.860
1,4:28,2,30,WAS 42,0,0,Tre Mason left end for -2 yards (tackle by Perry Riley),0.860,-0.030
1,3:46,3,32,WAS 44,0,0,Shaun Hill pass complete short middle to Benny Cunningham for 2 yards (tackle by E.J. Biggers),-0.030,0.460
1,3:09,4,30,WAS 42,0,0,Johnny Hekker punts 36 yards,0.460,0.380
1,2:56,1,10,WAS 6,0,0,Colt McCoy pass complete short middle to Niles Paul for 7 yards (tackle by Alec Ogletree),-0.380,-0.270
1,2:20,2,3,WAS 13,0,0,"Penalty on Niles Paul: False Start, 5 yards (no play)",-0.270,-0.630
1,1:51,2,8,WAS 8,0,0,Colt McCoy pass complete short middle to Alfred Morris for 11 yards (tackle by T.J. McDonald and E.J. Gaines),-0.630,0.150
1,1:10,1,10,WAS 19,0,0,Alfred Morris left guard for no gain (tackle by Mark Barron),0.150,-0.390
1,0:33,2,10,WAS 19,0,0,Colt McCoy pass incomplete short left intended for Pierre Garcon,-0.390,-1.070
1,0:30,3,10,WAS 19,0,0,Colt McCoy pass complete short middle to Andre Roberts for 6 yards (tackle by Alec Ogletree),-1.070,-1.700
Quarter,Time,Down,ToGo,Location,STL,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,WAS 25,0,0,"Tress Way punts 33 yards, out of bounds",-1.700,-1.730
2,14:53,1,10,STL 42,0,0,Shaun Hill pass incomplete deep middle intended for Kenny Britt,1.730,1.190
2,14:47,2,10,STL 42,0,0,Tavon Austin right end for 8 yards (tackle by Ryan Clark),1.190,1.550
2,14:13,3,2,,0,0,Benny Cunningham right end for 20 yards (tackle by Perry Riley and Phillip Thomas),1.550,3.580
2,13:33,1,10,WAS 30,0,0,Tre Mason right tackle for 5 yards (tackle by William Compton),3.580,3.710
2,12:58,2,5,WAS 25,0,0,"Shaun Hill pass complete short right to Tavon Austin for 7 yards (tackle by David Amerson). Penalty on Scott Wells: Offensive Holding, 10 yards (no play)",3.710,2.360
2,12:27,2,15,WAS 35,6,0,"Shaun Hill pass complete deep middle to Jared Cook for 35 yards, touchdown",2.360,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,12:27,,,WAS 2,6,0,Greg Zuerlein kicks extra point no good,0.000,-1.000
2,12:27,,,STL 35,6,0,"Greg Zuerlein kicks off 65 yards, returned by Andre Roberts for 11 yards (tackle by Chase Reynolds)",0.000,0.370
2,12:15,1,10,WAS 11,6,0,Colt McCoy pass complete short right to Pierre Garcon for 14 yards,-0.370,0.610
2,11:46,1,10,WAS 25,6,0,Alfred Morris right end for -7 yards (tackle by T.J. McDonald and James Laurinaitis),0.610,-0.980
2,11:04,2,17,WAS 18,6,0,Colt McCoy pass complete short middle to Santana Moss for 6 yards (tackle by James Laurinaitis and Alec Ogletree),-0.980,-0.760
2,10:24,3,11,WAS 24,6,0,Colt McCoy sacked by Mark Barron for -7 yards,-0.760,-2.320
2,9:54,4,18,WAS 17,6,0,"Tress Way punts 50 yards, returned by Tavon Austin for 37 yards (tackle by Darrel Young)",-2.320,-3.580
2,9:38,1,10,WAS 30,6,0,Tre Mason left guard for 1 yard (tackle by William Compton and Chris Baker),3.580,3.170
2,9:02,2,9,WAS 29,6,0,Tre Mason left end for 11 yards (tackle by Ryan Clark and David Amerson),3.170,4.370
2,8:21,1,10,WAS 18,6,0,Tre Mason right tackle for 12 yards (tackle by William Compton),4.370,5.830
2,7:42,1,6,WAS 6,6,0,Tre Mason left tackle for 2 yards (tackle by Stephen Bowen and William Compton),5.830,5.340
2,6:59,2,4,WAS 4,6,0,"Shaun Hill sacked by Ryan Kerrigan for -5 yards. Shaun Hill fumbles (forced by Ryan Kerrigan), recovered by Tre Mason at WAS-6",5.340,4.040
2,6:17,3,6,WAS 6,6,0,Shaun Hill sacked by Trent Murphy and Jason Hatcher for -4 yards,4.040,2.760
2,5:36,4,10,WAS 10,6,0,Greg Zuerlein 28 yard field goal no good,2.760,-0.280
2,5:32,1,10,WAS 20,6,0,"Colt McCoy right end for 4 yards (tackle by Robert Quinn). Colt McCoy fumbles (forced by Robert Quinn), recovered by Jordan Reed at WAS-24",0.280,0.270
2,4:54,2,6,WAS 24,6,0,Colt McCoy sacked by James Laurinaitis for -6 yards,0.270,-1.330
2,4:13,3,12,WAS 18,6,0,Colt McCoy pass complete short right to Jordan Reed for 11 yards (tackle by Trumaine Johnson and Mark Barron),-1.330,-1.440
2,3:28,4,1,WAS 29,6,0,"Tress Way punts 42 yards, returned by Tavon Austin for 10 yards (tackle by Steve Beauharnais). Penalty on Tavon Austin: Invalid Fair Catch Signal, 3 yards",-1.440,-0.670
2,3:20,1,10,STL 26,6,0,"Penalty on Greg Robinson: False Start, 5 yards (no play)",0.670,0.340
2,3:20,1,15,STL 21,6,0,Shaun Hill pass complete deep right to Kenny Britt for 41 yards (tackle by Bashaud Breeland),0.340,3.050
2,2:37,1,10,WAS 38,6,0,Tre Mason up the middle for 1 yard (tackle by Perry Riley and Phillip Thomas),3.050,2.640
2,2:00,2,9,WAS 37,6,0,Shaun Hill sacked by Ryan Kerrigan for -6 yards,2.640,2.640
2,1:54,2,9,WAS 37,6,0,Timeout #1 by Washington Redskins,2.640,1.160
2,1:54,3,15,WAS 43,6,0,Shaun Hill pass incomplete short right intended for Kenny Britt (defended by Bashaud Breeland),1.160,0.400
2,1:46,4,15,WAS 43,6,0,"Johnny Hekker punts 27 yards, fair catch by Andre Roberts",0.400,0.140
2,1:39,1,10,WAS 16,6,0,Colt McCoy pass incomplete short left intended for Pierre Garcon (defended by Alec Ogletree),-0.140,-0.660
2,1:36,2,10,WAS 16,6,0,Colt McCoy pass complete short right to Andre Roberts for 5 yards (tackle by T.J. McDonald and Alec Ogletree),-0.660,-0.700
2,1:07,3,5,WAS 21,6,0,"Colt McCoy pass complete short right to Roy Helu for 41 yards (tackle by Trumaine Johnson). Penalty on Kory Lichtensteiger: Ineligible Downfield Pass, 5 yards (no play)",-0.700,-1.320
2,0:55,3,10,WAS 16,6,0,Colt McCoy right tackle for 7 yards (tackle by James Laurinaitis). Penalty on Trent Williams: Offensive Holding (Declined),-1.320,-1.830
2,0:46,4,3,WAS 23,6,0,"Tress Way punts 52 yards, returned by Tavon Austin for 28 yards (tackle by Niles Paul)",-1.830,-2.460
2,0:32,1,10,WAS 47,6,0,Shaun Hill pass incomplete deep middle intended for Jared Cook,2.460,1.910
2,0:25,2,10,WAS 47,6,0,Shaun Hill pass complete short right to Benny Cunningham for 1 yard (tackle by William Compton),1.910,1.910
2,0:22,2,10,WAS 47,6,0,Timeout #1 by St. Louis Rams,1.910,1.350
2,0:22,3,9,WAS 46,6,0,Shaun Hill pass complete short middle to Benny Cunningham for 15 yards (tackle by Bashaud Breeland),1.350,3.510
2,0:14,1,10,WAS 31,6,0,Shaun Hill pass complete short middle to Stedman Bailey for 11 yards (tackle by Perry Riley),3.510,3.510
2,0:02,1,10,WAS 31,6,0,Timeout #2 by St. Louis Rams,3.510,4.240
2,0:02,1,10,WAS 20,6,0,Greg Zuerlein 38 yard field goal no good,4.240,0.740
Quarter,Time,Down,ToGo,Location,STL,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,6,0,"Kai Forbath kicks off 62 yards, returned by Benny Cunningham for 20 yards (tackle by Bashaud Breeland)",0.000,0.480
3,14:53,1,10,STL 23,6,0,Tre Mason left guard for 3 yards (tackle by Perry Riley),0.480,0.340
3,14:20,2,7,STL 26,6,0,Tre Mason left tackle for 6 yards (tackle by Perry Riley and Ryan Clark),0.340,0.430
3,13:41,3,1,STL 32,6,0,Shaun Hill pass complete short left to Benny Cunningham for 2 yards (tackle by William Compton),0.430,1.200
3,13:04,1,10,STL 34,6,0,Tavon Austin right end for 8 yards (tackle by Ryan Clark),1.200,1.740
3,12:29,2,2,STL 42,6,0,Tavon Austin right end for 14 yards (tackle by Ryan Clark),1.740,2.650
3,11:59,1,10,WAS 44,6,0,Tre Mason left guard for 15 yards (tackle by Chris Baker),2.650,3.640
3,11:23,1,10,WAS 29,6,0,Tre Mason up the middle for 2 yards (tackle by Chris Baker and Barry Cofield),3.640,3.370
3,10:45,2,8,WAS 27,6,0,Shaun Hill pass incomplete short right intended for Tre Mason,3.370,2.680
3,10:41,3,8,WAS 27,6,0,Shaun Hill pass complete short left to Kenny Britt for 11 yards (tackle by David Amerson),2.680,4.510
3,10:12,1,10,WAS 16,6,0,Tre Mason left tackle for -1 yards (tackle by Jarvis Jenkins),4.510,3.770
3,9:33,2,11,WAS 17,6,0,Shaun Hill sacked by Chris Baker for -3 yards,3.770,2.740
3,8:44,3,14,WAS 20,6,0,"Penalty on Shaun Hill: Delay of Game, 5 yards (no play)",2.740,2.080
3,8:21,3,19,WAS 25,6,0,Shaun Hill pass complete short middle to Jared Cook for 9 yards (tackle by Trent Murphy and Perry Riley),2.080,2.380
3,7:44,4,10,WAS 16,9,0,Greg Zuerlein 34 yard field goal good,2.380,3.000
3,7:44,,,STL 35,9,0,"Greg Zuerlein kicks off 70 yards, returned by Andre Roberts for 33 yards (tackle by Rodney McLeod)",0.000,-0.810
3,7:34,1,10,WAS 28,9,0,Alfred Morris right tackle for 1 yard (tackle by Robert Quinn and Alec Ogletree),0.810,0.400
3,7:00,2,9,WAS 29,9,0,Colt McCoy pass complete short left to Pierre Garcon for 4 yards (tackle by Mark Barron),0.400,0.230
3,6:19,3,5,WAS 33,9,0,Colt McCoy pass incomplete short left intended for Jordan Reed (defended by James Laurinaitis),0.230,-1.180
3,6:15,4,5,WAS 33,9,0,Tress Way right tackle for 2 yards (tackle by Daren Bates),-1.180,-3.250
3,6:07,1,10,WAS 35,9,0,"Tre Mason left end for 5 yards (tackle by David Amerson). Penalty on Cory Harkey: Offensive Holding, 10 yards (no play)",3.250,2.590
3,5:44,1,20,WAS 45,9,0,Shaun Hill pass incomplete deep right intended for Kenny Britt,2.590,1.350
3,5:35,2,20,WAS 45,9,0,Shaun Hill pass complete short left to Benny Cunningham for 8 yards (tackle by Perry Riley),1.350,1.750
3,4:52,3,12,WAS 37,9,0,Shaun Hill pass complete short middle to Stedman Bailey for 36 yards (tackle by David Amerson),1.750,6.970
,,,,,,,"WAS challenged the runner was down by contact ruling, and the play was upheld.",,
3,3:57,1,1,WAS 1,15,0,"Shaun Hill pass complete short left to Jared Cook for 1 yard, touchdown",6.970,7.000
3,3:57,,,,17,0,"Two Point Attempt: Johnny Hekker pass complete to Cory Harkey, conversion succeeds",0.000,1.000
3,3:57,,,STL 35,17,0,"Greg Zuerlein kicks off 71 yards, returned by Andre Roberts for 24 yards (tackle by Maurice Alexander)",0.000,-0.040
3,3:46,1,10,WAS 18,17,0,Colt McCoy pass complete short left to Jordan Reed for 5 yards (tackle by Aaron Donald),0.040,0.280
3,3:12,2,5,WAS 23,17,0,Alfred Morris up the middle for 4 yards (tackle by William Hayes),0.280,-0.020
3,2:36,3,1,WAS 27,17,0,Colt McCoy sacked by Eugene Sims and Aaron Donald for -4 yards,-0.020,-1.830
3,2:00,4,5,WAS 23,23,0,"Tress Way punts 55 yards, returned by Tavon Austin for 78 yards, touchdown",-1.830,-7.000
3,1:36,,,WAS 2,24,0,Greg Zuerlein kicks extra point good,0.000,0.000
3,1:36,,,STL 35,24,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
3,1:36,1,10,WAS 20,24,0,Colt McCoy pass incomplete short right intended for Jordan Reed,0.280,-0.270
3,1:30,2,10,WAS 20,24,0,Colt McCoy pass complete short left to Santana Moss for 19 yards (tackle by Rodney McLeod),-0.270,1.530
3,0:58,1,10,WAS 39,24,0,Colt McCoy pass incomplete short middle intended for Santana Moss (defended by Robert Quinn),1.530,0.990
3,0:53,2,10,WAS 39,24,0,"Roy Helu left tackle for 1 yard (tackle by Michael Brockers and James Laurinaitis). Penalty on Trent Williams: Offensive Holding, 10 yards (no play)",0.990,-0.360
3,0:18,2,20,WAS 29,24,0,Colt McCoy pass complete short right to Pierre Garcon for 14 yards (tackle by Trumaine Johnson),-0.360,0.830
Quarter,Time,Down,ToGo,Location,STL,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,WAS 43,24,0,Colt McCoy sacked by James Laurinaitis and Robert Quinn for -8 yards,0.830,-1.040
4,14:23,4,14,WAS 35,24,0,"Tress Way punts 43 yards. Penalty on Trumaine Johnson: Offensive Holding, 10 yards",-1.040,0.350
4,14:11,1,10,STL 12,24,0,Tavon Austin right end for 18 yards (tackle by William Compton),-0.350,0.940
4,13:33,1,10,STL 30,24,0,Tre Mason left guard for 5 yards (tackle by William Compton and Ryan Clark),0.940,1.070
4,12:52,2,5,STL 35,24,0,Tre Mason left guard for no gain (tackle by William Compton),1.070,0.370
4,12:23,3,5,STL 35,24,0,"Johnny Hekker sacked by Frank Kearse for -2 yards. Penalty on Frank Kearse: Face Mask (15 Yards), 15 yards (no play)",0.370,2.260
4,11:58,1,10,,24,0,Tavon Austin right end for -2 yards (tackle by Ryan Clark and Ryan Kerrigan),2.260,1.440
4,11:21,2,12,STL 48,24,0,Tre Mason up the middle for no gain (tackle by Phillip Thomas),1.440,0.760
4,10:39,3,12,STL 48,24,0,"Benny Cunningham up the middle for 2 yards (tackle by Trent Murphy and William Compton). Penalty on Kenny Britt: Unnecessary Roughness, 15 yards",0.760,-1.040
4,10:17,4,25,STL 35,24,0,"Johnny Hekker punts 61 yards, returned by Andre Roberts for no gain. Penalty on Chase Reynolds: Unnecessary Roughness, 15 yards",-1.040,-0.150
4,10:05,1,10,WAS 19,24,0,Colt McCoy pass incomplete short middle intended for Santana Moss,0.150,-0.390
4,10:00,2,10,WAS 19,24,0,Colt McCoy pass complete short right to Pierre Garcon for 4 yards (tackle by Trumaine Johnson),-0.390,-0.550
4,10:00,3,6,WAS 23,24,0,"Penalty on Robert Quinn: Neutral Zone Infraction, 5 yards (no play)",-0.550,0.100
4,9:04,3,1,WAS 28,24,0,Colt McCoy pass complete short right to Ryan Grant for 4 yards (tackle by Trumaine Johnson),0.100,1.070
4,8:41,1,10,WAS 32,24,0,Colt McCoy pass incomplete short right intended for Alfred Morris (defended by Trumaine Johnson),1.070,0.530
4,8:35,2,10,WAS 32,24,0,Colt McCoy pass incomplete short right intended for Silas Redd,0.530,-0.160
4,8:30,3,10,WAS 32,24,0,Colt McCoy pass complete short middle to Silas Redd for 14 yards (tackle by Rodney McLeod),-0.160,1.990
