Quarter,Time,Tm,Detail,DEN,KAN
1.0,2:41,Chiefs,Junior Hemingway 17 yard pass from Alex Smith (Ryan Succop kick),0,7
2.0,14:53,Broncos,Eric Decker 41 yard pass from Peyton Manning (Matt Prater kick),7,7
,14:40,Chiefs,Knile Davis 108 yard kickoff return (Ryan Succop kick),7,14
,10:57,Chiefs,Anthony Fasano 12 yard pass from Alex Smith (Ryan Succop kick),7,21
,4:16,Broncos,Knowshon Moreno 3 yard pass from Peyton Manning (Matt Prater kick),14,21
3.0,11:51,Broncos,Eric Decker 37 yard pass from Peyton Manning (Matt Prater kick),21,21
,6:48,Broncos,Eric Decker 15 yard pass from Peyton Manning (Matt Prater kick),28,21
4.0,14:16,Broncos,Eric Decker 1 yard pass from Peyton Manning (Matt Prater kick),35,21
,6:32,Chiefs,Jamaal Charles 1 yard rush (Ryan Succop kick),35,28
