Unnamed: 0,DEN,KAN
First Downs,25,27
Rush-Yds-TDs,31-132-0,25-159-1
Cmp-Att-Yd-TD-INT,22-35-403-5-2,26-42-293-2-1
Sacked-Yards,0-0,0-0
Net Pass Yards,403,293
Total Yards,535,452
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,10-75,9-102
Third Down Conv.,8-14,5-13
Fourth Down Conv.,0-0,1-2
Time of Possession,28:04,31:56
