Unnamed: 0,WAS,PIT
First Downs,18,17
Rush-Yds-TDs,21-45-1,14-21-0
Cmp-Att-Yd-TD-INT,31-46-296-1-0,33-53-305-2-1
Sacked-Yards,3-23,0-0
Net Pass Yards,273,305
Total Yards,318,326
Fumbles-Lost,1-0,2-0
Turnovers,0,1
Penalties-Yards,9-62,6-45
Third Down Conv.,4-17,6-15
Fourth Down Conv.,0-1,0-2
Time of Possession,30:26,29:34
