Quarter,Time,Down,ToGo,Location,WAS,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Washington won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Ben Roethlisberger pass incomplete deep right intended for James Washington,0.610,0.060
1,14:55,2,10,PIT 25,0,0,Ben Roethlisberger pass complete short left to Ray-Ray McCloud for 6 yards (tackle by Cole Holcomb and Jonathan Bostic),0.060,0.170
1,14:13,3,4,PIT 31,0,0,Ben Roethlisberger pass complete short middle to Eric Ebron for 3 yards (tackle by Kamren Curl and Jonathan Bostic),0.170,-1.110
1,13:31,4,1,PIT 34,0,0,"Jordan Berry punts 52 yards, fair catch by Steven Sims at WAS-14",-1.110,0.280
1,13:25,1,10,WAS 14,0,0,Alex Smith pass complete short middle to Terry McLaurin for 12 yards (tackle by Joe Haden),-0.280,0.670
1,13:03,1,10,WAS 26,0,0,Antonio Gibson left guard for 1 yard (tackle by Alex Highsmith and Cameron Heyward),0.670,0.270
1,12:36,2,9,WAS 27,0,0,Alex Smith pass incomplete short middle intended for Isaiah Wright,0.270,-0.430
1,12:33,3,9,WAS 27,0,0,Alex Smith pass complete short right to Steven Sims for 8 yards (tackle by Cameron Sutton),-0.430,-1.040
1,12:01,4,1,WAS 35,0,0,"Tress Way punts 45 yards, fair catch by Ray-Ray McCloud at PIT-20",-1.040,-0.280
1,11:51,1,10,PIT 20,0,0,Benny Snell right tackle for no gain (tackle by Daron Payne and Ryan Kerrigan),0.280,-0.270
1,11:08,2,10,PIT 20,0,0,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for no gain (tackle by Kendall Fuller),-0.270,-0.960
1,10:23,3,10,PIT 20,0,0,"Penalty on PIT: False Start, 5 yards (no play)",-0.960,-1.860
1,10:04,3,15,PIT 15,0,0,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster. Penalty on J.C. Hassenauer: Ineligible Downfield Pass (Declined),-1.860,-2.440
1,9:57,4,15,PIT 15,0,0,"Jordan Berry punts 59 yards, returned by Steven Sims for 9 yards (tackle by Sean Davis). Penalty on James Smith-Williams: Illegal Block Above the Waist, 10 yards",-2.440,-0.610
1,9:45,1,10,WAS 25,0,0,Antonio Gibson left guard for 13 yards (tackle by Alex Highsmith),0.610,1.470
1,9:06,1,10,WAS 38,0,0,Alex Smith sacked by Robert Spillane for -9 yards,1.470,-0.290
1,8:24,2,19,WAS 29,0,0,Alex Smith pass complete short middle to Logan Thomas for 8 yards (tackle by Terrell Edmunds and Robert Spillane),-0.290,0.100
1,7:41,3,11,WAS 37,0,0,Alex Smith pass complete short left to Logan Thomas for 6 yards (tackle by Cameron Sutton),0.100,-0.520
1,7:00,4,5,WAS 43,0,0,"Tress Way punts 37 yards, fair catch by Ray-Ray McCloud at PIT-20. Penalty on Marcus Allen: Roughing the Kicker, 15 yards (no play)",-0.520,2.790
1,6:54,1,10,PIT 42,0,0,Peyton Barber up the middle for 1 yard (tackle by Olasunkanmi Adeniyi and Vince Williams),2.790,2.380
1,6:16,2,9,PIT 41,0,0,Alex Smith pass incomplete short left intended for Cam Sims (defended by Cameron Sutton),2.380,1.680
1,6:13,3,9,PIT 41,0,0,Alex Smith pass complete short right to Logan Thomas for no gain (tackle by Mike Hilton),1.680,0.530
1,5:33,4,9,PIT 41,0,0,"Tress Way punts 28 yards, fair catch by Ray-Ray McCloud at PIT-13. Penalty on Khaleke Hudson: Offensive Holding, 10 yards",0.530,-0.480
1,5:27,1,10,PIT 23,0,0,Anthony McFarland right tackle for no gain (tackle by Cole Holcomb),0.480,-0.070
1,4:46,2,10,PIT 23,0,0,Ben Roethlisberger pass complete deep right to James Washington for 30 yards (tackle by Ronald Darby),-0.070,2.460
1,4:08,1,10,WAS 47,0,0,Anthony McFarland up the middle for 7 yards (tackle by Kamren Curl),2.460,2.860
1,3:38,2,3,WAS 40,0,0,Anthony McFarland right tackle for -1 yards (tackle by Daron Payne and Cole Holcomb),2.860,2.010
1,3:00,3,4,WAS 41,0,0,Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson,2.010,0.530
1,2:56,4,4,WAS 41,0,0,"Jordan Berry punts 32 yards, fair catch by Steven Sims at WAS-9",0.530,0.380
1,2:49,1,10,WAS 9,0,0,Peyton Barber up the middle for 3 yards (tackle by T.J. Watt and Cameron Heyward),-0.380,-0.560
1,2:08,2,7,WAS 12,0,0,Alex Smith pass incomplete short middle intended for Isaiah Wright (defended by Robert Spillane),-0.560,-1.070
