Quarter,Time,Tm,Detail,WAS,PIT
2.0,10:33,Steelers,Diontae Johnson 3 yard pass from Ben Roethlisberger (Matthew Wright kick),0,7
,3:54,Steelers,James Washington 50 yard pass from Ben Roethlisberger (Matthew Wright kick),0,14
,0:01,Washington,Dustin Hopkins 49 yard field goal,3,14
3.0,8:16,Washington,Peyton Barber 1 yard rush (Dustin Hopkins kick),10,14
4.0,14:57,Steelers,Matthew Wright 37 yard field goal,10,17
,9:09,Washington,Logan Thomas 15 yard pass from Alex Smith (Dustin Hopkins kick),17,17
,2:04,Washington,Dustin Hopkins 45 yard field goal,20,17
,0:17,Washington,Dustin Hopkins 45 yard field goal,23,17
